ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
52	"ENSMUSG00000036932"	"Aifm1"	chrX	-	48483154	48484635	48483154	48483262	48484526	48484635
53	"ENSMUSG00000025860"	"Xiap"	chrX	+	42071241	42072637	42071241	42071503	42072473	42072637
54	"ENSMUSG00000037475"	"Thoc2"	chrX	-	41822692	41823546	41822692	41822871	41823361	41823546
55	"ENSMUSG00000036502"	"Tmem255a"	chrX	-	38224580	38225125	38224580	38224669	38225053	38225125
56	"ENSMUSG00000031066"	"Usp11"	chrX	+	20712325	20712982	20712325	20712443	20712836	20712982
57	"ENSMUSG00000031066"	"Usp11"	chrX	+	20716746	20717804	20716746	20716953	20717754	20717804
58	"ENSMUSG00000031065"	"Cdk16"	chrX	+	20696017	20696467	20696017	20696141	20696346	20696467
59	"ENSMUSG00000031065"	"Cdk16"	chrX	+	20696730	20696964	20696730	20696836	20696921	20696964
60	"ENSMUSG00000041096"	"Tspyl2"	chrX	-	152340085	152340380	152340085	152340197	152340302	152340380
61	"ENSMUSG00000029034"	"Cpsf3l"	chr4	+	155885564	155886156	155885564	155885703	155886091	155886156
62	"ENSMUSG00000029034"	"Cpsf3l"	chr4	+	155888047	155888326	155888047	155888109	155888183	155888326
63	"ENSMUSG00000051007"	"Pddc1"	chr7	-	141409845	141410885	141409845	141409940	141410777	141410885
64	"ENSMUSG00000025144"	"Stra13"	chr11	-	120711702	120711895	120711702	120711756	120711843	120711895
65	"ENSMUSG00000076437"	"2700094K13Rik"	chr2	-	84670244	84670676	84670244	84670390	84670482	84670676
66	"ENSMUSG00000037321"	"Tap1"	chr17	+	34192836	34192965	34192836	34192857	34192941	34192965
67	"ENSMUSG00000042272"	"Sestd1"	chr2	-	77198288	77199060	77198288	77198403	77198865	77199060
68	"ENSMUSG00000035047"	"Kri1"	chr9	-	21280163	21280489	21280163	21280259	21280362	21280489
69	"ENSMUSG00000035047"	"Kri1"	chr9	-	21281661	21281911	21281661	21281739	21281814	21281911
70	"ENSMUSG00000019738"	"Polr2i"	chr7	+	30232331	30232536	30232331	30232404	30232481	30232536
71	"ENSMUSG00000019738"	"Polr2i"	chr7	+	30232749	30232981	30232749	30232823	30232906	30232981
72	"ENSMUSG00000041921"	"Metap1d"	chr2	+	71509740	71511560	71509740	71509890	71511411	71511560
73	"ENSMUSG00000022761"	"Lztr1"	chr16	+	17525422	17526331	17525422	17525503	17525676	17526331
74	"ENSMUSG00000037982"	"Gm9725"	chr8	+	81013575	81014953	81013575	81014644	81014646	81014953
75	"ENSMUSG00000036500"	"Akp3"	chr1	+	87125626	87126052	87125626	87125801	87125879	87126052
76	"ENSMUSG00000036053"	"Fmnl2"	chr2	+	53108251	53108458	53108251	53108286	53108388	53108458
77	"ENSMUSG00000036202"	"Rif1"	chr2	+	52093502	52094662	52093502	52093589	52094588	52094662
78	"ENSMUSG00000003166"	"Dgcr2"	chr16	-	17858359	17859526	17858359	17858570	17859403	17859526
79	"ENSMUSG00000003166"	"Dgcr2"	chr16	-	17858359	17859526	17858359	17858579	17859403	17859526
80	"ENSMUSG00000036002"	"Fam214b"	chr4	-	43035835	43037206	43035835	43036804	43037062	43037206
81	"ENSMUSG00000037306"	"Man1c1"	chr4	-	134702944	134704290	134702944	134703766	134704196	134704290
82	"ENSMUSG00000057110"	"Cntrl"	chr2	+	35175537	35176322	35175537	35175600	35176127	35176322
83	"ENSMUSG00000026869"	"Psmd5"	chr2	-	34856447	34857829	34856447	34856557	34857637	34857829
84	"ENSMUSG00000026869"	"Psmd5"	chr2	-	34865526	34866095	34865526	34865655	34865981	34866095
85	"ENSMUSG00000002546"	"Golga2"	chr2	+	32299031	32299310	32299031	32299125	32299203	32299310
86	"ENSMUSG00000002550"	"Uck1"	chr2	-	32258276	32258667	32258276	32258419	32258570	32258667
87	"ENSMUSG00000039515"	"Ppp2r4"	chr2	+	30438228	30439764	30438228	30438353	30439663	30439764
88	"ENSMUSG00000039648"	"Ccbl1"	chr2	-	30185125	30185753	30185125	30185569	30185666	30185753
89	"ENSMUSG00000039686"	"Zer1"	chr2	-	30107494	30108122	30107494	30107668	30107975	30108122
90	"ENSMUSG00000039686"	"Zer1"	chr2	-	30107975	30108335	30107975	30108122	30108220	30108335
91	"ENSMUSG00000039686"	"Zer1"	chr2	-	30108220	30110381	30108220	30108335	30110204	30110381
92	"ENSMUSG00000026803"	"Ttf1"	chr2	+	29069891	29071376	29069891	29070077	29071297	29071376
93	"ENSMUSG00000009621"	"Vav2"	chr2	-	27269580	27270215	27269580	27269667	27270127	27270215
94	"ENSMUSG00000036067"	"Slc2a6"	chr2	-	27023087	27023643	27023087	27023249	27023534	27023643
95	"ENSMUSG00000036067"	"Slc2a6"	chr2	-	27023534	27024793	27023534	27023643	27024584	27024793
96	"ENSMUSG00000014873"	"Surf2"	chr2	+	26917427	26919055	26917427	26917531	26918864	26919055
97	"ENSMUSG00000014873"	"Surf2"	chr2	+	26917427	26919055	26917427	26917531	26918872	26919055
98	"ENSMUSG00000014873"	"Surf2"	chr2	+	26917427	26919055	26917427	26917531	26918928	26919055
99	"ENSMUSG00000086775"	"Snhg7os"	chr2	+	26645501	26645944	26645501	26645603	26645722	26645944
100	"ENSMUSG00000086775"	"Snhg7os"	chr2	+	26645501	26645944	26645501	26645603	26645747	26645944
101	"ENSMUSG00000026927"	"Sdccag3"	chr2	-	26385497	26386063	26385497	26385609	26385989	26386063
102	"ENSMUSG00000026927"	"Sdccag3"	chr2	-	26386654	26387671	26386654	26387311	26387555	26387671
103	"ENSMUSG00000036281"	"Snapc4"	chr2	-	26372730	26373080	26372730	26372825	26372973	26373080
104	"ENSMUSG00000036281"	"Snapc4"	chr2	-	26373318	26374185	26373318	26373466	26374020	26374185
105	"ENSMUSG00000015093"	"Clic3"	chr2	+	25457660	25457974	25457660	25457770	25457848	25457974
106	"ENSMUSG00000015093"	"Clic3"	chr2	+	25458303	25458776	25458303	25458479	25458564	25458776
107	"ENSMUSG00000026958"	"Dpp7"	chr2	-	25353152	25354293	25353152	25353217	25354232	25354293
108	"ENSMUSG00000026958"	"Dpp7"	chr2	-	25354892	25355721	25354892	25355028	25355557	25355721
109	"ENSMUSG00000026958"	"Dpp7"	chr2	-	25354892	25355953	25354892	25355028	25355813	25355953
110	"ENSMUSG00000026958"	"Dpp7"	chr2	-	25355813	25356142	25355813	25355953	25356028	25356142
111	"ENSMUSG00000029208"	"Guf1"	chr5	+	69556952	69558296	69556952	69557165	69558184	69558296
112	"ENSMUSG00000029208"	"Guf1"	chr5	+	69567127	69568497	69567127	69567261	69568395	69568497
113	"ENSMUSG00000026965"	"Anapc2"	chr2	+	25272914	25273932	25272914	25273537	25273799	25273932
114	"ENSMUSG00000006471"	"Ndor1"	chr2	-	25249793	25250197	25249793	25250003	25250095	25250197
115	"ENSMUSG00000027246"	"Ell3"	chr2	-	121440115	121440426	121440115	121440158	121440233	121440426
116	"ENSMUSG00000017428"	"Psmd11"	chr11	+	80469801	80470418	80469801	80469927	80470382	80470418
117	"ENSMUSG00000017428"	"Psmd11"	chr11	+	80469801	80470418	80469801	80470030	80470382	80470418
118	"ENSMUSG00000017418"	"Arl5b"	chr2	+	15076255	15082452	15076255	15076295	15081901	15082452
119	"ENSMUSG00000034101"	"Ctnnd1"	chr2	-	84608328	84609074	84608328	84608416	84608959	84609074
120	"ENSMUSG00000019320"	"Noxo1"	chr17	+	24699543	24700015	24699543	24699657	24699897	24700015
121	"ENSMUSG00000015451"	"C4a"	chr17	-	34815025	34815234	34815025	34815155	34815157	34815234
122	"ENSMUSG00000022562"	"Oplah"	chr15	-	76296602	76297018	76296602	76296781	76296920	76297018
123	"ENSMUSG00000022562"	"Oplah"	chr15	-	76297618	76298040	76297618	76297768	76297905	76298040
124	"ENSMUSG00000045994"	"B3gat1"	chr9	+	26751504	26751890	26751504	26751599	26751743	26751890
125	"ENSMUSG00000038374"	"Rbm8a"	chr3	+	96631431	96633791	96631431	96631568	96631688	96633791
126	"ENSMUSG00000004642"	"Slbp"	chr5	-	33645499	33646069	33645499	33645637	33646009	33646069
127	"ENSMUSG00000037262"	"Kin"	chr2	+	10090112	10090363	10090112	10090156	10090240	10090363
128	"ENSMUSG00000029442"	"Wdr66"	chr5	+	123289881	123290066	123289881	123289989	123289991	123290066
129	"ENSMUSG00000017754"	"Pltp"	chr2	-	164852472	164852680	164852472	164852536	164852616	164852680
130	"ENSMUSG00000028969"	"Cdk5"	chr5	-	24422331	24422558	24422331	24422388	24422497	24422558
131	"ENSMUSG00000096385"	"Gm11168"	chr9	+	3005069	3005194	3005069	3005072	3005074	3005194
132	"ENSMUSG00000055024"	"Ep300"	chr15	+	81639740	81640141	81639740	81639891	81639994	81640141
133	"ENSMUSG00000074797"	"Itpa"	chr2	+	130671400	130671620	130671400	130671458	130671555	130671620
134	"ENSMUSG00000017210"	"Med24"	chr11	-	98705118	98705602	98705118	98705267	98705521	98705602
135	"ENSMUSG00000017210"	"Med24"	chr11	-	98716413	98718142	98716413	98716525	98717909	98718142
136	"ENSMUSG00000025221"	"Kcnip2"	chr19	-	45796278	45797186	45796278	45796332	45797090	45797186
137	"ENSMUSG00000074818"	"Pdzd7"	chr19	-	45028723	45029323	45028723	45028893	45028972	45029323
138	"ENSMUSG00000037578"	"Pkd2l1"	chr19	-	44152032	44152462	44152032	44152154	44152363	44152462
139	"ENSMUSG00000025188"	"Hps1"	chr19	-	42756257	42757906	42756257	42756340	42757792	42757906
140	"ENSMUSG00000057738"	"Sptan1"	chr2	+	30029619	30030196	30029619	30029674	30029999	30030196
141	"ENSMUSG00000024798"	"Htr7"	chr19	-	35969308	35970064	35969308	35969715	35969863	35970064
142	"ENSMUSG00000036813"	"Entpd8"	chr2	+	25083219	25083734	25083219	25083379	25083497	25083734
143	"ENSMUSG00000036813"	"Entpd8"	chr2	+	25083219	25083734	25083219	25083379	25083667	25083734
144	"ENSMUSG00000032480"	"Dhx30"	chr9	-	110084728	110085053	110084728	110084868	110084949	110085053
145	"ENSMUSG00000032480"	"Dhx30"	chr9	-	110085684	110086031	110085684	110085878	110085949	110086031
146	"ENSMUSG00000032480"	"Dhx30"	chr9	-	110086931	110087195	110086931	110087036	110087119	110087195
147	"ENSMUSG00000032480"	"Dhx30"	chr9	-	110092315	110093159	110092315	110092436	110092857	110093159
148	"ENSMUSG00000032480"	"Dhx30"	chr9	-	110115035	110115582	110115035	110115161	110115490	110115582
149	"ENSMUSG00000032480"	"Dhx30"	chr9	-	110115035	110115582	110115035	110115211	110115490	110115582
150	"ENSMUSG00000038199"	"4931409K22Rik"	chr5	-	24550122	24550805	24550122	24550207	24550599	24550805
151	"ENSMUSG00000028621"	"Cyb5rl"	chr4	+	107068611	107070547	107068611	107068823	107070115	107070547
152	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23108587	23108851	23108587	23108633	23108718	23108851
153	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23109984	23110343	23109984	23110153	23110233	23110343
154	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23110579	23110723	23111125	23111263
155	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23111125	23111592	23111125	23111263	23111502	23111592
156	"ENSMUSG00000007610"	"Gtpbp3"	chr8	+	71490334	71491590	71490334	71490537	71491424	71491590
157	"ENSMUSG00000013033"	"Adgrl1"	chr8	+	83937196	83937557	83937196	83937325	83937460	83937557
158	"ENSMUSG00000066621"	"Tecpr1"	chr5	-	144196131	144196458	144196131	144196251	144196351	144196458
159	"ENSMUSG00000066621"	"Tecpr1"	chr5	-	144214055	144214419	144214055	144214156	144214244	144214419
160	"ENSMUSG00000066621"	"Tecpr1"	chr5	-	144216902	144217408	144216902	144217025	144217225	144217408
161	"ENSMUSG00000036098"	"Myrf"	chr19	-	10215741	10216149	10215741	10215810	10216060	10216149
162	"ENSMUSG00000004100"	"Ppan"	chr9	+	20889337	20889684	20889337	20889439	20889633	20889684
163	"ENSMUSG00000004100"	"Ppan"	chr9	+	20891082	20891365	20891082	20891206	20891286	20891365
164	"ENSMUSG00000024773"	"Atg2a"	chr19	+	6258550	6258985	6258550	6258633	6258863	6258985
165	"ENSMUSG00000054874"	"Pcnxl3"	chr19	-	5686626	5687218	5686626	5686666	5687118	5687218
166	"ENSMUSG00000040663"	"Clcf1"	chr19	+	4220177	4223490	4220177	4220344	4222073	4223490
167	"ENSMUSG00000024843"	"Chka"	chr19	+	3889879	3892213	3889879	3889988	3892106	3892213
168	"ENSMUSG00000024695"	"Zfp91"	chr19	-	12775994	12776462	12775994	12776073	12776411	12776462
169	"ENSMUSG00000034006"	"Pqlc1"	chr18	+	80256306	80257118	80256306	80256403	80256781	80257118
170	"ENSMUSG00000082361"	"Btc"	chr5	-	91360745	91362451	91360745	91360853	91362304	91362451
171	"ENSMUSG00000019368"	"Sec14l4"	chr11	+	4043286	4043759	4043286	4043370	4043652	4043759
172	"ENSMUSG00000019368"	"Sec14l4"	chr11	+	4043652	4043972	4043652	4043759	4043832	4043972
173	"ENSMUSG00000026437"	"Cdk18"	chr1	-	132116446	132116701	132116446	132116489	132116595	132116701
174	"ENSMUSG00000054759"	"Krtap5-2"	chr7	-	142174534	142176005	142174534	142175128	142175662	142176005
175	"ENSMUSG00000048794"	"Ccdc37"	chr6	-	90409341	90409650	90409341	90409493	90409601	90409650
176	"ENSMUSG00000020134"	"Peli1"	chr11	+	21140563	21142657	21140563	21140693	21142555	21142657
177	"ENSMUSG00000007050"	"Lsm2"	chr17	+	34984979	34985139	34984979	34985008	34985108	34985139
178	"ENSMUSG00000003033"	"Ap1m1"	chr8	+	72253208	72253633	72253208	72253280	72253474	72253633
179	"ENSMUSG00000089847"	"Timm10b"	chr7	+	105640761	105641228	105640761	105640857	105641027	105641228
180	"ENSMUSG00000057246"	"BC051142"	chr17	+	34421852	34421987	34421852	34421882	34421957	34421987
181	"ENSMUSG00000057246"	"BC051142"	chr17	+	34459862	34460734	34459862	34460119	34460193	34460734
182	"ENSMUSG00000019647"	"Sema6a"	chr18	-	47281794	47281971	47281794	47281823	47281901	47281971
183	"ENSMUSG00000042055"	"Wdr11"	chr7	+	129628993	129629983	129628993	129629056	129629917	129629983
184	"ENSMUSG00000042055"	"Wdr11"	chr7	+	129630619	129631269	129630619	129630797	129631173	129631269
185	"ENSMUSG00000042055"	"Wdr11"	chr7	+	129632709	129633729	129632709	129632855	129633649	129633729
186	"ENSMUSG00000036452"	"Arhgap26"	chr18	+	39357552	39357828	39357552	39357663	39357737	39357828
187	"ENSMUSG00000036452"	"Arhgap26"	chr18	+	39357552	39357828	39357552	39357663	39357798	39357828
188	"ENSMUSG00000024454"	"Hdac3"	chr18	-	37940952	37941766	37940952	37941110	37941378	37941766
189	"ENSMUSG00000024454"	"Hdac3"	chr18	-	37940952	37941766	37940952	37941110	37941707	37941766
190	"ENSMUSG00000024454"	"Hdac3"	chr18	-	37941378	37941766	37941378	37941458	37941707	37941766
191	"ENSMUSG00000024454"	"Hdac3"	chr18	-	37943677	37944209	37943677	37943751	37944128	37944209
192	"ENSMUSG00000020818"	"Mfsd11"	chr11	+	116863905	116865956	116863905	116863946	116865890	116865956
193	"ENSMUSG00000006289"	"Osgep"	chr14	-	50916799	50917503	50916799	50916865	50917453	50917503
194	"ENSMUSG00000015085"	"Entpd2"	chr2	+	25399281	25399736	25399281	25399536	25399616	25399736
195	"ENSMUSG00000025962"	"Fastkd2"	chr1	+	63735462	63735968	63735462	63735571	63735844	63735968
196	"ENSMUSG00000044533"	"Rps2"	chr17	+	24720272	24720731	24720272	24720452	24720533	24720731
197	"ENSMUSG00000035478"	"Mbd3"	chr10	-	80392538	80393280	80392538	80393018	80393094	80393280
198	"ENSMUSG00000006058"	"Snf8"	chr11	+	96046279	96047430	96046279	96046354	96047194	96047430
199	"ENSMUSG00000030110"	"Ret"	chr6	-	118151747	118155435	118151747	118154010	118155287	118155435
200	"ENSMUSG00000106306"	"RP24-349N15.3"	chr3	-	135839630	135840269	135839630	135839834	135840106	135840269
201	"ENSMUSG00000090137"	"Uba52"	chr8	-	70509295	70509634	70509295	70509382	70509520	70509634
202	"ENSMUSG00000020156"	"Mum1"	chr10	+	80228994	80230127	80228994	80229080	80230056	80230127
203	"ENSMUSG00000020156"	"Mum1"	chr10	+	80236110	80238920	80236110	80236181	80238314	80238920
204	"ENSMUSG00000020156"	"Mum1"	chr10	+	80236110	80238920	80236110	80236181	80238859	80238920
205	"ENSMUSG00000020156"	"Mum1"	chr10	+	80238314	80238920	80238314	80238391	80238859	80238920
206	"ENSMUSG00000009995"	"Taz"	chrX	+	74282749	74283400	74282749	74283116	74283271	74283400
207	"ENSMUSG00000009995"	"Taz"	chrX	+	74288177	74288513	74288177	74288219	74288447	74288513
208	"ENSMUSG00000009995"	"Taz"	chrX	+	74288177	74288513	74288177	74288219	74288450	74288513
209	"ENSMUSG00000009995"	"Taz"	chrX	+	74288450	74289019	74288450	74288513	74288928	74289019
210	"ENSMUSG00000034116"	"Vav1"	chr17	+	57279099	57279401	57279099	57279284	57279356	57279401
211	"ENSMUSG00000042625"	"Safb2"	chr17	-	56562938	56563431	56562938	56563243	56563361	56563431
212	"ENSMUSG00000029491"	"Pde6b"	chr5	+	108423439	108424362	108423439	108423583	108424296	108424362
213	"ENSMUSG00000029491"	"Pde6b"	chr5	+	108426797	108427194	108426797	108426907	108427106	108427194
214	"ENSMUSG00000038126"	"Mphosph9"	chr5	-	124315188	124315896	124315188	124315286	124315372	124315896
215	"ENSMUSG00000023990"	"Tfeb"	chr17	+	47769237	47769519	47769237	47769261	47769426	47769519
216	"ENSMUSG00000025127"	"Gcgr"	chr11	+	120536059	120536568	120536059	120536167	120536249	120536568
217	"ENSMUSG00000025127"	"Gcgr"	chr11	+	120536656	120537054	120536656	120536813	120536894	120537054
218	"ENSMUSG00000023952"	"Gtpbp2"	chr17	+	46164193	46164833	46164193	46164378	46164724	46164833
219	"ENSMUSG00000023952"	"Gtpbp2"	chr17	+	46165777	46166446	46165777	46165997	46166310	46166446
220	"ENSMUSG00000029534"	"St7"	chr6	+	17850356	17852412	17850356	17850425	17852257	17852412
221	"ENSMUSG00000074646"	"6430550D23Rik"	chr2	-	156003100	156003485	156003100	156003250	156003324	156003485
222	"ENSMUSG00000038502"	"Ptov1"	chr7	-	44863534	44864487	44863534	44863732	44864382	44864487
223	"ENSMUSG00000038502"	"Ptov1"	chr7	-	44864761	44865002	44864761	44864835	44864912	44865002
224	"ENSMUSG00000034009"	"Rxfp1"	chr3	-	79648072	79650824	79648072	79648291	79650413	79650824
225	"ENSMUSG00000070424"	"Art5"	chr7	-	102097780	102098510	102097780	102097934	102098228	102098510
226	"ENSMUSG00000024426"	"Atat1"	chr17	-	35908562	35908966	35908562	35908664	35908852	35908966
227	"ENSMUSG00000024426"	"Atat1"	chr17	-	35909087	35909350	35909087	35909148	35909258	35909350
228	"ENSMUSG00000089661"	"Mia"	chr7	-	27180168	27180833	27180168	27180279	27180699	27180833
229	"ENSMUSG00000019518"	"Ap4m1"	chr5	+	138172348	138172893	138172348	138172437	138172786	138172893
230	"ENSMUSG00000019518"	"Ap4m1"	chr5	+	138172348	138172893	138172348	138172479	138172786	138172893
231	"ENSMUSG00000019518"	"Ap4m1"	chr5	+	138176051	138176263	138176051	138176118	138176209	138176263
232	"ENSMUSG00000019518"	"Ap4m1"	chr5	+	138177922	138178180	138177922	138177973	138178068	138178180
233	"ENSMUSG00000054128"	"H2-T3"	chr17	-	36189600	36190122	36189600	36189870	36190049	36190122
234	"ENSMUSG00000038762"	"Abcf1"	chr17	-	35963125	35963392	35963125	35963236	35963320	35963392
235	"ENSMUSG00000039220"	"Ppp1r10"	chr17	+	35927909	35928329	35927909	35928010	35928181	35928329
236	"ENSMUSG00000035929"	"H2-Q4"	chr17	+	35379819	35380636	35379819	35380173	35380360	35380636
237	"ENSMUSG00000036819"	"Jmjd4"	chr11	+	59450674	59453645	59450674	59450840	59453510	59453645
238	"ENSMUSG00000043807"	"Ly6g5b"	chr17	-	35115117	35115428	35115117	35115246	35115342	35115428
239	"ENSMUSG00000062044"	"Lmtk3"	chr7	+	45786450	45786960	45786450	45786584	45786809	45786960
240	"ENSMUSG00000015467"	"Egfl8"	chr17	-	34613776	34613930	34613776	34613807	34613897	34613930
241	"ENSMUSG00000096727"	"Psmb9"	chr17	-	34183614	34184413	34183614	34183744	34184281	34184413
242	"ENSMUSG00000024335"	"Brd2"	chr17	-	34113931	34114478	34113931	34114177	34114349	34114478
243	"ENSMUSG00000024334"	"H2-Oa"	chr17	+	34093832	34094589	34093832	34094081	34094307	34094589
244	"ENSMUSG00000073422"	"H2-Ke6"	chr17	-	34026032	34026470	34026032	34026225	34026395	34026470
245	"ENSMUSG00000073422"	"H2-Ke6"	chr17	-	34026850	34027101	34026850	34026935	34027015	34027101
246	"ENSMUSG00000073422"	"H2-Ke6"	chr17	-	34027405	34027840	34027405	34027522	34027622	34027840
247	"ENSMUSG00000008668"	"Rps18"	chr17	-	33952220	33952591	33952220	33952293	33952402	33952591
248	"ENSMUSG00000008668"	"Rps18"	chr17	-	33952220	33952591	33952220	33952312	33952402	33952591
249	"ENSMUSG00000024312"	"Wdr46"	chr17	+	33940884	33941272	33940884	33941091	33941191	33941272
250	"ENSMUSG00000024299"	"Adamts10"	chr17	+	33538067	33538410	33538067	33538173	33538263	33538410
251	"ENSMUSG00000024299"	"Adamts10"	chr17	+	33549479	33550670	33549479	33549609	33550465	33550670
252	"ENSMUSG00000020460"	"Rps27a"	chr11	-	29546702	29547260	29546702	29546788	29547205	29547260
253	"ENSMUSG00000013562"	"4833413E03Rik"	chr17	+	31557125	31557791	31557125	31557611	31557612	31557791
254	"ENSMUSG00000054134"	"Umodl1"	chr17	+	30986068	30986635	30986068	30986296	30986383	30986635
255	"ENSMUSG00000054134"	"Umodl1"	chr17	+	31009803	31010708	31009803	31010240	31010278	31010708
