ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1228	"ENSMUSG00000022255"	"Mtdh"	chr15	+	34114023	34118110	34114023	34114108	34117879	34118110
1274	"ENSMUSG00000022721"	"Trmt2a"	chr16	+	18250819	18251660	18250819	18251001	18251358	18251660
1280	"ENSMUSG00000006958"	"Chrd"	chr16	+	20738552	20739164	20738552	20738816	20739110	20739164
1309	"ENSMUSG00000008855"	"Hdac5"	chr11	-	102196538	102197436	102196538	102196672	102197338	102197436
1313	"ENSMUSG00000015536"	"Mocs2"	chr13	+	114825210	114826281	114825210	114825265	114826204	114826281
1374	"ENSMUSG00000041774"	"Ydjc"	chr16	+	17147597	17148846	17147597	17147697	17148155	17148846
1405	"ENSMUSG00000026878"	"Rab14"	chr2	-	35180204	35183831	35180204	35182447	35183743	35183831
1485	"ENSMUSG00000031537"	"Ikbkb"	chr8	-	22668944	22671745	22668944	22669096	22671630	22671745
1492	"ENSMUSG00000059796"	"Eif4a1"	chr11	-	69669077	69670747	69669077	69669246	69670614	69670747
1496	"ENSMUSG00000025733"	"Rhot2"	chr17	-	25839984	25840568	25839984	25840107	25840437	25840568
1543	"ENSMUSG00000000632"	"Sez6"	chr11	+	77973782	77974636	77973782	77973977	77974439	77974636
1549	"ENSMUSG00000017405"	"Nek8"	chr11	-	78170872	78172683	78170872	78171298	78172450	78172683
1563	"ENSMUSG00000038930"	"Rccd1"	chr7	-	80320091	80321181	80320091	80320213	80320861	80321181
1568	"ENSMUSG00000039205"	"Ciz1"	chr2	+	32363197	32363656	32363197	32363298	32363622	32363656
1622	"ENSMUSG00000021235"	"Coq6"	chr12	+	84370255	84371558	84370255	84371031	84371450	84371558
1634	"ENSMUSG00000035086"	"Becn1"	chr11	-	101294000	101295164	101294000	101294228	101294965	101295164
1636	"ENSMUSG00000035086"	"Becn1"	chr11	-	101294000	101295164	101294000	101294228	101294969	101295164
1637	"ENSMUSG00000035086"	"Becn1"	chr11	-	101294000	101295164	101294000	101294147	101295034	101295164
1658	"ENSMUSG00000047446"	"Arl4a"	chr12	-	40006699	40009820	40006699	40006793	40009701	40009820
1678	"ENSMUSG00000039307"	"Hexdc"	chr11	+	121220863	121221590	121220863	121221161	121221500	121221590
1680	"ENSMUSG00000020284"	"1810043G02Rik"	chr10	+	77979752	77983041	77979752	77980547	77982869	77983041
1708	"ENSMUSG00000037318"	"Traf3ip3"	chr1	-	193194824	193195422	193194824	193194849	193195274	193195422
1722	"ENSMUSG00000027752"	"Exosc8"	chr3	-	54731074	54732745	54731074	54731171	54732699	54732745
1724	"ENSMUSG00000052752"	"Traf7"	chr17	-	24509955	24510572	24509955	24510075	24510455	24510572
1738	"ENSMUSG00000085385"	"Snhg17"	chr2	-	158359181	158360599	158359181	158359331	158360458	158360599
1744	"ENSMUSG00000040040"	"Ift88"	chr14	+	57479896	57481511	57479896	57480005	57481395	57481511
1749	"ENSMUSG00000038990"	"Cables2"	chr2	-	180261076	180263155	180261076	180261180	180263077	180263155
1754	"ENSMUSG00000028687"	"Mutyh"	chr4	+	116817668	116818282	116817668	116817805	116818240	116818282
1765	"ENSMUSG00000056962"	"Jmjd6"	chr11	-	116839837	116840545	116839837	116839931	116840447	116840545
1806	"ENSMUSG00000001034"	"Mapk7"	chr11	-	61492903	61494266	61492903	61493185	61493505	61494266
1811	"ENSMUSG00000001034"	"Mapk7"	chr11	-	61492903	61494266	61492903	61493185	61493646	61494266
1853	"ENSMUSG00000074923"	"Pak6"	chr2	+	118693866	118694640	118693866	118694000	118694514	118694640
1855	"ENSMUSG00000027297"	"Ltk"	chr2	-	119752065	119752598	119752065	119752156	119752496	119752598
1857	"ENSMUSG00000027298"	"Tyro3"	chr2	+	119812059	119813299	119812059	119812181	119813162	119813299
1900	"ENSMUSG00000056941"	"Commd7"	chr2	-	153618833	153621819	153618833	153619512	153621769	153621819
1909	"ENSMUSG00000005882"	"Uqcc1"	chr2	-	155910356	155911836	155910356	155910467	155911745	155911836
1925	"ENSMUSG00000027936"	"Crtc2"	chr3	+	90258464	90259492	90258464	90258526	90259385	90259492
1930	"ENSMUSG00000017721"	"Pigt"	chr2	+	164501080	164501650	164501080	164501168	164501484	164501650
1951	"ENSMUSG00000027569"	"Mrgbp"	chr2	+	180583400	180584871	180583400	180583522	180584693	180584871
1953	"ENSMUSG00000027569"	"Mrgbp"	chr2	+	180583400	180584871	180583400	180583522	180584796	180584871
1960	"ENSMUSG00000016346"	"Kcnq2"	chr2	-	181113062	181114729	181113062	181113238	181114638	181114729
2068	"ENSMUSG00000019039"	"Dalrd3"	chr9	+	108571044	108571674	108571044	108571173	108571612	108571674
2069	"ENSMUSG00000019039"	"Dalrd3"	chr9	+	108571781	108572297	108571781	108571864	108572186	108572297
2080	"ENSMUSG00000027932"	"Slc27a3"	chr3	-	90386747	90387449	90386747	90386946	90387254	90387449
2086	"ENSMUSG00000053819"	"Camk2d"	chr3	+	126770784	126771846	126770784	126770857	126771773	126771846
2108	"ENSMUSG00000005687"	"Bcas2"	chr3	+	103174339	103177419	103174339	103174501	103177338	103177419
2136	"ENSMUSG00000021485"	"Mxd3"	chr13	-	55328369	55329374	55328369	55328484	55329268	55329374
2152	"ENSMUSG00000028034"	"Fubp1"	chr3	+	152232394	152236826	152232394	152234570	152236606	152236826
2160	"ENSMUSG00000027575"	"Arfgap1"	chr2	+	180972694	180974156	180972694	180972795	180974059	180974156
2167	"ENSMUSG00000028245"	"Nsmaf"	chr4	-	6418471	6421136	6418471	6418523	6420049	6421136
2210	"ENSMUSG00000028467"	"Gba2"	chr4	-	43569180	43569955	43569180	43569285	43569829	43569955
2226	"ENSMUSG00000073433"	"Arhgdig"	chr17	-	26199751	26200370	26199751	26199828	26200190	26200370
2252	"ENSMUSG00000022508"	"Bcl6"	chr16	-	23968306	23971599	23968306	23968437	23971414	23971599
2260	"ENSMUSG00000091625"	"Lsm5"	chr6	-	56703005	56703409	56703005	56703033	56703317	56703409
2278	"ENSMUSG00000028716"	"Pdzk1ip1"	chr4	+	115088707	115089212	115088707	115088776	115089038	115089212
2284	"ENSMUSG00000034171"	"Faah"	chr4	-	116001103	116003102	116001103	116001203	116002976	116003102
2322	"ENSMUSG00000085517"	"Gm12963"	chr4	-	130027966	130028346	130027966	130028058	130028275	130028346
2360	"ENSMUSG00000006215"	"Zbtb17"	chr4	+	141465523	141466107	141465523	141465640	141465976	141466107
2435	"ENSMUSG00000029148"	"Nrbp1"	chr5	+	31243762	31243991	31243762	31243832	31243899	31243991
2461	"ENSMUSG00000084845"	"Tmem240"	chr4	+	155735397	155740564	155735397	155735504	155739845	155740564
2489	"ENSMUSG00000073889"	"Il11ra1"	chr4	+	41763824	41765121	41763824	41763885	41765006	41765121
2506	"ENSMUSG00000047193"	"Dync2h1"	chr9	-	7168458	7169709	7168458	7168572	7169476	7169709
2526	"ENSMUSG00000003549"	"Ercc1"	chr7	+	19355100	19355361	19355100	19355179	19355292	19355361
2539	"ENSMUSG00000018076"	"Med13l"	chr5	+	118759101	118763916	118759101	118759263	118762700	118763916
2555	"ENSMUSG00000000915"	"Hip1r"	chr5	+	124000711	124001311	124000711	124000774	124001205	124001311
2589	"ENSMUSG00000039382"	"Wdr45"	chrX	+	7723314	7723753	7723314	7723357	7723564	7723753
2594	"ENSMUSG00000036948"	"BC037034"	chr5	-	138262169	138262744	138262169	138262317	138262657	138262744
2631	"ENSMUSG00000024807"	"Syvn1"	chr19	+	6050521	6051310	6050521	6050685	6051154	6051310
2656	"ENSMUSG00000068329"	"Htra2"	chr6	-	83052697	83053070	83052697	83052726	83053000	83053070
2657	"ENSMUSG00000068329"	"Htra2"	chr6	-	83052697	83053070	83052697	83052803	83053000	83053070
2663	"ENSMUSG00000030032"	"Wdr54"	chr6	-	83153516	83154975	83153516	83153617	83154921	83154975
2763	"ENSMUSG00000071172"	"Srsf3"	chr17	+	29038489	29041293	29038489	29038624	29041206	29041293
2814	"ENSMUSG00000005150"	"Wdr83"	chr8	-	85079580	85080225	85079580	85079691	85080119	85080225
2815	"ENSMUSG00000005150"	"Wdr83"	chr8	-	85079580	85080225	85079580	85079707	85080119	85080225
2850	"ENSMUSG00000070425"	"Xntrpc"	chr7	+	102082040	102083018	102082040	102082441	102082972	102083018
2853	"ENSMUSG00000027582"	"Zgpat"	chr2	+	181379773	181382314	181379773	181380179	181382193	181382314
2911	"ENSMUSG00000025512"	"Chid1"	chr7	-	141522608	141527705	141522608	141522701	141527598	141527705
2941	"ENSMUSG00000031842"	"Pde4c"	chr8	+	70746531	70747979	70746531	70746644	70747814	70747979
2973	"ENSMUSG00000020776"	"Fbf1"	chr11	-	116144432	116145760	116144432	116144542	116145622	116145760
2999	"ENSMUSG00000031995"	"St14"	chr9	-	31106013	31106874	31106013	31106254	31106716	31106874
3000	"ENSMUSG00000039048"	"Foxred1"	chr9	-	35209037	35210165	35209037	35209156	35209944	35210165
3005	"ENSMUSG00000028028"	"Alpk1"	chr3	-	127684341	127686343	127684341	127684437	127686256	127686343
3009	"ENSMUSG00000037266"	"Rsrp1"	chr4	+	134925292	134926818	134925292	134925432	134926025	134926818
3011	"ENSMUSG00000032115"	"Hyou1"	chr9	+	44380815	44381408	44380815	44380909	44381253	44381408
3055	"ENSMUSG00000062270"	"Morf4l1"	chr9	-	90097371	90100523	90097371	90097460	90100442	90100523
3066	"ENSMUSG00000029054"	"Gabrd"	chr4	-	155385934	155387291	155385934	155386146	155387153	155387291
3080	"ENSMUSG00000041528"	"Rnf123"	chr9	-	108069171	108069801	108069171	108069282	108069675	108069801
3085	"ENSMUSG00000023259"	"Slc26a6"	chr9	+	108856331	108857105	108856331	108856442	108856940	108857105
