ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
13	"ENSMUSG00000044348"	"Slc25a53"	chrX	-	137015256	137016339	137015256	137015382	137016248	137016339	13	5,4,1,4	23,41,63,39	10,10,2,4	53,39,40,37	298	149	0.182300551596327	0.420860246682356	0.098,0.047,0.008,0.049	0.086,0.114,0.024,0.051	-0.018
14	"ENSMUSG00000067369"	"Trmt2b"	chrX	-	134238142	134238586	134238142	134238242	134238466	134238586	14	1,2,0,2	25,23,39,41	0,0,0,1	53,42,43,26	298	149	0.0421473355405916	0.19634857176658	0.02,0.042,0.0,0.024	0.0,0.0,0.0,0.019	0.017
15	"ENSMUSG00000067369"	"Trmt2b"	chrX	-	134240078	134240569	134240078	134240180	134240354	134240569	15	3,8,16,1	33,26,44,42	3,9,1,3	56,43,24,38	298	149	0.436251047801136	0.669859644096691	0.043,0.133,0.154,0.012	0.026,0.095,0.02,0.038	0.041
16	"ENSMUSG00000031256"	"Cstf2"	chrX	+	134069844	134073277	134069844	134069907	134073135	134073277	16	72,86,152,59	48,46,61,53	175,202,183,154	60,52,34,60	298	149	0.000302459528820576	0.0220302753071367	0.429,0.483,0.555,0.358	0.593,0.66,0.729,0.562	-0.18
17	"ENSMUSG00000031256"	"Cstf2"	chrX	+	134069844	134073277	134069844	134069907	134073213	134073277	17	110,136,199,86	20,16,29,27	211,250,214,193	28,23,32,20	298	149	0.0460918076072935	0.203523319430197	0.733,0.81,0.774,0.614	0.79,0.845,0.77,0.828	-0.076
19	"ENSMUSG00000031310"	"Zmym3"	chrX	-	101415760	101416461	101415760	101415938	101416166	101416461	19	13,12,40,10	196,219,321,240	9,28,37,17	274,301,329,287	298	149	0.931509514548866	0.999202115572178	0.032,0.027,0.059,0.02	0.016,0.044,0.053,0.029	-0.001
20	"ENSMUSG00000079487"	"Med12"	chrX	+	101293957	101294175	101293957	101294012	101294087	101294175	20	48,49,118,82	2,3,11,8	96,131,92,110	9,13,7,13	224	149	0.335571073234598	0.579427957871234	0.941,0.916,0.877,0.872	0.876,0.87,0.897,0.849	0.028
21	"ENSMUSG00000046032"	"Snx12"	chrX	-	101211958	101213864	101211958	101212346	101213773	101213864	21	357,400,467,445	6,12,12,8	385,440,434,321	7,10,10,5	298	149	0.636495472500266	0.823841324620374	0.967,0.943,0.951,0.965	0.965,0.957,0.956,0.97	-0.006
22	"ENSMUSG00000031297"	"Slc7a3"	chrX	-	101080100	101080871	101080100	101080267	101080707	101080871	22	18,16,22,9	52,66,69,68	22,23,10,25	81,71,69,65	298	149	0.68293561621767	0.85612327596318	0.148,0.108,0.138,0.062	0.12,0.139,0.068,0.161	-0.008
24	"ENSMUSG00000057421"	"Las1l"	chrX	-	95947769	95950446	95947769	95947855	95950336	95950446	24	25,22,45,25	152,152,213,146	34,58,56,34	183,204,203,169	298	149	0.045355694944324	0.202045797577351	0.076,0.067,0.096,0.079	0.085,0.124,0.121,0.091	-0.026
25	"ENSMUSG00000057421"	"Las1l"	chrX	-	95953221	95955211	95953221	95953303	95955141	95955211	25	10,9,22,14	132,148,223,128	24,23,23,14	162,205,192,163	298	149	0.0634732142974951	0.244489418034796	0.036,0.03,0.047,0.052	0.069,0.053,0.057,0.041	-0.014
26	"ENSMUSG00000025151"	"Maged1"	chrX	-	94536873	94537356	94536873	94536988	94537293	94537356	26	47,77,126,77	1800,1925,2621,2834	138,108,117,95	2237,2444,2140,2178	298	149	0.012677109903304	0.102631452630341	0.013,0.02,0.023,0.013	0.03,0.022,0.027,0.021	-0.008
27	"ENSMUSG00000025151"	"Maged1"	chrX	-	94537293	94537584	94537293	94537356	94537541	94537584	27	23,69,86,55	1714,1858,2485,2646	91,56,79,54	2101,2297,2024,2063	298	149	0.242003006317589	0.48870510013649	0.007,0.018,0.017,0.01	0.021,0.012,0.019,0.013	-0.003
28	"ENSMUSG00000025151"	"Maged1"	chrX	-	94537675	94538065	94537675	94537755	94537973	94538065	28	203,333,524,288	2158,2397,3352,3548	462,498,390,374	2704,2776,2517,2575	298	149	0.00334856846123932	0.0565515554702732	0.045,0.065,0.072,0.039	0.079,0.082,0.072,0.068	-0.02
29	"ENSMUSG00000043929"	"Klhl15"	chrX	+	94234989	94235420	94234989	94235125	94235220	94235420	29	4,2,1,5	0,0,1,4	1,7,3,5	0,1,0,1	244	149	0.326412399054923	0.570836309676696	1.0,1.0,0.379,0.433	1.0,0.81,1.0,0.753	-0.188
30	"ENSMUSG00000000881"	"Dlg3"	chrX	+	100772822	100773409	100772822	100772959	100773264	100773409	30	6,10,4,5	306,328,417,431	15,8,8,11	293,420,392,335	298	149	0.0890562938933335	0.29914064433239	0.01,0.015,0.005,0.006	0.025,0.009,0.01,0.016	-0.006
31	"ENSMUSG00000033460"	"Armcx1"	chrX	+	134718369	134718818	134718369	134718461	134718655	134718818	31	41,40,94,35	2,1,1,0	74,124,107,74	5,0,2,3	298	149	0.805511840220132	0.934808590538728	0.911,0.952,0.979,1.0	0.881,1.0,0.964,0.925	0.018
32	"ENSMUSG00000033460"	"Armcx1"	chrX	+	134718369	134718818	134718369	134718461	134718725	134718818	32	49,51,108,38	108,136,146,134	86,147,124,80	131,157,150,153	298	149	0.01642187955616	0.117780609331607	0.185,0.158,0.27,0.124	0.247,0.319,0.292,0.207	-0.082
35	"ENSMUSG00000031398"	"Plxna3"	chrX	+	74333745	74334348	74333745	74333846	74334224	74334348	35	14,14,32,14	19,38,61,27	20,40,50,34	39,38,37,43	298	149	0.0364159526710307	0.182048598254127	0.269,0.156,0.208,0.206	0.204,0.345,0.403,0.283	-0.099
36	"ENSMUSG00000031398"	"Plxna3"	chrX	+	74335042	74335498	74335042	74335157	74335297	74335498	36	25,45,67,25	16,22,36,35	62,110,64,76	20,20,34,27	289	149	0.0185914087988066	0.123616954857997	0.446,0.513,0.49,0.269	0.615,0.739,0.493,0.592	-0.18
37	"ENSMUSG00000031398"	"Plxna3"	chrX	+	74335769	74336191	74335769	74335866	74336000	74336191	37	8,7,25,9	22,22,36,33	14,27,32,24	48,41,54,48	283	149	0.403481394617714	0.643286374437676	0.161,0.143,0.268,0.126	0.133,0.257,0.238,0.208	-0.034
38	"ENSMUSG00000015291"	"Gdi1"	chrX	+	74307671	74308261	74307671	74307870	74308129	74308261	38	316,390,714,285	2828,2777,4308,3596	582,723,803,602	2773,3442,3226,2931	298	149	5.13708769371846e-05	0.0187447566284325	0.053,0.066,0.077,0.038	0.095,0.095,0.111,0.093	-0.04
39	"ENSMUSG00000015291"	"Gdi1"	chrX	+	74309075	74310134	74309075	74309175	74309962	74310134	39	109,128,169,102	2512,2539,3939,3274	151,200,295,203	2705,3269,3065,2855	298	149	0.00499813651614767	0.0672386126351407	0.021,0.025,0.021,0.015	0.027,0.03,0.046,0.034	-0.014
40	"ENSMUSG00000019087"	"Atp6ap1"	chrX	+	74300577	74301358	74300577	74300771	74301323	74301358	40	55,86,188,73	1879,1620,2797,2264	120,126,117,125	1988,2038,1852,1971	298	149	0.00239131373149259	0.0489856994693635	0.014,0.026,0.033,0.016	0.029,0.03,0.031,0.031	-0.008
41	"ENSMUSG00000008682"	"Rpl10"	chrX	+	74271659	74271907	74271659	74271718	74271799	74271907	41	59,57,104,48	2338,2566,3235,4204	52,84,52,48	2511,3069,2887,2250	230	149	0.930306188852372	0.999202115572178	0.016,0.014,0.02,0.007	0.013,0.017,0.012,0.014	0.0
42	"ENSMUSG00000031386"	"Hcfc1"	chrX	-	73946709	73947050	73946709	73946847	73946934	73947050	42	8,12,30,14	140,138,256,125	19,22,21,24	142,204,168,174	236	149	0.113522296763356	0.339187061268635	0.035,0.052,0.069,0.066	0.078,0.064,0.073,0.08	-0.018
43	"ENSMUSG00000031387"	"Renbp"	chrX	-	73929115	73930517	73929115	73930262	73930407	73930517	43	2,2,7,5	8,26,43,21	6,4,9,8	19,17,17,13	294	149	0.0146049776545296	0.111244674867178	0.112,0.038,0.076,0.108	0.138,0.107,0.212,0.238	-0.09
44	"ENSMUSG00000031389"	"Arhgap4"	chrX	-	73899844	73900469	73899844	73899872	73900098	73900469	44	7,9,20,8	10,6,17,9	10,19,9,15	17,19,22,20	298	149	0.0866493009601437	0.29620696560838	0.259,0.429,0.37,0.308	0.227,0.333,0.17,0.273	0.091
45	"ENSMUSG00000031389"	"Arhgap4"	chrX	-	73900098	73900469	73900098	73900183	73900277	73900469	45	11,8,33,14	3,4,9,12	15,23,31,23	7,9,16,9	243	149	0.888034981123447	0.989388788198517	0.692,0.551,0.692,0.417	0.568,0.61,0.543,0.61	0.005
46	"ENSMUSG00000002010"	"Idh3g"	chrX	-	73780573	73781030	73780573	73780707	73780897	73781030	46	93,131,257,128	491,530,659,657	231,278,200,182	595,632,668,532	298	149	0.0106763551247171	0.0937300787572566	0.087,0.11,0.163,0.089	0.163,0.18,0.13,0.146	-0.043
47	"ENSMUSG00000002010"	"Idh3g"	chrX	-	73782005	73782716	73782005	73782103	73782674	73782716	47	50,67,109,49	7,24,31,30	77,127,96,85	25,28,31,19	298	149	0.284273445927019	0.532154347270975	0.781,0.583,0.637,0.45	0.606,0.694,0.608,0.691	-0.037
48	"ENSMUSG00000031385"	"Plxnb3"	chrX	+	73766940	73767672	73766940	73767180	73767520	73767672	48	11,12,36,12	0,0,0,0	36,41,17,25	1,0,0,0	298	149	0.13537482239824	0.366025894581984	1.0,1.0,1.0,1.0	0.947,1.0,1.0,1.0	0.013
49	"ENSMUSG00000057836"	"Xlr3a"	chrX	-	73090858	73093304	73090858	73090958	73093269	73093304	49	0,1,3,0	0,0,0,1	4,1,2,1	1,0,0,0	298	149	0.38542296877668	0.623315614576641	NA,1.0,1.0,0.0	0.667,1.0,1.0,1.0	-0.25
50	"ENSMUSG00000035967"	"Ddx26b"	chrX	+	56493038	56496734	56493038	56493133	56496515	56496734	50	85,173,238,114	7,5,9,10	272,308,296,238	14,12,12,10	298	149	0.530092102983326	0.742063674770336	0.859,0.945,0.93,0.851	0.907,0.928,0.925,0.922	-0.024
51	"ENSMUSG00000035967"	"Ddx26b"	chrX	+	56506879	56507840	56506879	56507062	56507213	56507840	51	195,256,422,187	0,0,0,0	398,500,382,313	0,0,0,1	298	149	0.198035168879863	0.43813455455629	1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.994	0.002
52	"ENSMUSG00000036932"	"Aifm1"	chrX	-	48483154	48484635	48483154	48483262	48484526	48484635	52	15,16,33,22	89,136,143,155	17,23,25,23	134,151,167,103	298	149	0.869753222131732	0.977478267931921	0.078,0.056,0.103,0.066	0.06,0.071,0.07,0.1	0.0
53	"ENSMUSG00000025860"	"Xiap"	chrX	+	42071241	42072637	42071241	42071503	42072473	42072637	53	2,9,7,1	0,0,2,0	3,6,5,5	0,0,0,0	298	149	0.217659699128741	0.458797423610318	1.0,1.0,0.636,1.0	1.0,1.0,1.0,1.0	-0.091
54	"ENSMUSG00000037475"	"Thoc2"	chrX	-	41822692	41823546	41822692	41822871	41823361	41823546	54	19,34,63,24	55,68,88,72	59,57,79,39	73,76,61,81	298	149	0.00555454957672241	0.071521438359321	0.147,0.2,0.264,0.143	0.288,0.273,0.393,0.194	-0.098
55	"ENSMUSG00000036502"	"Tmem255a"	chrX	-	38224580	38225125	38224580	38224669	38225053	38225125	55	6,4,6,10	100,92,139,99	4,3,12,12	123,89,100,113	298	149	0.763684006358216	0.910154761524117	0.029,0.021,0.021,0.048	0.016,0.017,0.057,0.05	-0.005
56	"ENSMUSG00000031066"	"Usp11"	chrX	+	20712325	20712982	20712325	20712443	20712836	20712982	56	19,20,32,14	269,320,408,363	19,22,27,23	330,359,329,327	298	149	0.597961192910321	0.796987232213315	0.034,0.03,0.038,0.019	0.028,0.03,0.039,0.034	-0.002
57	"ENSMUSG00000031066"	"Usp11"	chrX	+	20716746	20717804	20716746	20716953	20717754	20717804	57	79,100,155,68	272,343,377,517	125,162,159,144	349,371,362,337	298	149	0.00226991224324091	0.048705585141621	0.127,0.127,0.171,0.062	0.152,0.179,0.18,0.176	-0.05
58	"ENSMUSG00000031065"	"Cdk16"	chrX	+	20696017	20696467	20696017	20696141	20696346	20696467	58	80,96,183,100	1762,1895,2743,2716	137,157,147,152	2006,2222,2040,2038	298	149	0.000265037581083205	0.0220302753071367	0.022,0.025,0.032,0.018	0.033,0.034,0.035,0.036	-0.01
59	"ENSMUSG00000031065"	"Cdk16"	chrX	+	20696730	20696964	20696730	20696836	20696921	20696964	59	43,77,119,65	1102,1146,1838,1660	116,87,109,91	1245,1424,1324,1235	234	149	0.00982634021152284	0.0910919109482533	0.024,0.041,0.04,0.024	0.056,0.037,0.05,0.045	-0.015
60	"ENSMUSG00000041096"	"Tspyl2"	chrX	-	152340085	152340380	152340085	152340197	152340302	152340380	60	93,90,169,81	150,174,218,218	152,167,148,154	234,248,202,220	254	149	0.0873901144454581	0.297985964010742	0.267,0.233,0.313,0.179	0.276,0.283,0.301,0.291	-0.04
61	"ENSMUSG00000029034"	"Cpsf3l"	chr4	+	155885564	155886156	155885564	155885703	155886091	155886156	61	12,12,25,11	123,143,162,150	29,40,31,24	156,171,143,164	298	149	0.00192760191980956	0.0445490221467099	0.047,0.04,0.072,0.035	0.085,0.105,0.098,0.068	-0.041
62	"ENSMUSG00000029034"	"Cpsf3l"	chr4	+	155888047	155888326	155888047	155888109	155888183	155888326	62	3,5,9,4	96,116,172,114	12,13,7,5	98,154,131,146	223	149	0.123073173221773	0.349936761715745	0.02,0.028,0.034,0.023	0.076,0.053,0.034,0.022	-0.02
63	"ENSMUSG00000051007"	"Pddc1"	chr7	-	141409845	141410885	141409845	141409940	141410777	141410885	63	29,21,49,23	112,106,196,156	45,48,35,35	147,145,139,122	298	149	0.0149769219792555	0.113438647148198	0.115,0.09,0.111,0.069	0.133,0.142,0.112,0.125	-0.032
64	"ENSMUSG00000025144"	"Stra13"	chr11	-	120711702	120711895	120711702	120711756	120711843	120711895	64	16,14,13,15	91,103,119,113	11,25,20,13	102,120,126,114	236	149	0.637923765883891	0.823933892275779	0.1,0.079,0.065,0.077	0.064,0.116,0.091,0.067	-0.004
65	"ENSMUSG00000076437"	"2700094K13Rik"	chr2	-	84670244	84670676	84670244	84670390	84670482	84670676	65	5,11,9,11	158,159,196,209	10,18,8,14	175,210,225,125	241	149	0.264288868377204	0.509898748977738	0.019,0.041,0.028,0.032	0.034,0.05,0.022,0.065	-0.013
67	"ENSMUSG00000042272"	"Sestd1"	chr2	-	77198288	77199060	77198288	77198403	77198865	77199060	67	13,13,27,16	168,194,195,193	15,19,12,18	142,230,206,166	298	149	0.743333321395105	0.895311047239361	0.037,0.032,0.065,0.04	0.05,0.04,0.028,0.051	0.001
68	"ENSMUSG00000035047"	"Kri1"	chr9	-	21280163	21280489	21280163	21280259	21280362	21280489	68	7,16,26,10	74,85,146,116	18,33,43,12	127,174,130,103	252	149	0.107520047859552	0.332454186640167	0.053,0.1,0.095,0.048	0.077,0.101,0.164,0.064	-0.027
69	"ENSMUSG00000035047"	"Kri1"	chr9	-	21281661	21281911	21281661	21281739	21281814	21281911	69	13,9,12,2	84,144,163,123	14,4,16,9	133,170,182,126	224	149	0.999202115572178	0.999202115572178	0.093,0.04,0.047,0.011	0.065,0.015,0.055,0.045	0.003
70	"ENSMUSG00000019738"	"Polr2i"	chr7	+	30232331	30232536	30232331	30232404	30232481	30232536	70	86,117,187,144	102,114,125,139	105,131,125,102	107,153,157,91	226	149	0.111501697723106	0.336702993558827	0.357,0.404,0.497,0.406	0.393,0.361,0.344,0.425	0.035
71	"ENSMUSG00000019738"	"Polr2i"	chr7	+	30232749	30232981	30232749	30232823	30232906	30232981	71	27,37,33,45	134,156,222,233	24,38,28,28	144,196,222,130	232	149	0.401971066833684	0.641635044107605	0.115,0.132,0.087,0.11	0.097,0.111,0.075,0.122	0.01
72	"ENSMUSG00000041921"	"Metap1d"	chr2	+	71509740	71511560	71509740	71509890	71511411	71511560	72	48,70,94,42	29,38,66,67	116,131,100,117	54,36,45,36	298	149	0.00337926400575228	0.0565515554702732	0.453,0.479,0.416,0.239	0.518,0.645,0.526,0.619	-0.18
73	"ENSMUSG00000022761"	"Lztr1"	chr16	+	17525422	17526331	17525422	17525503	17525676	17526331	73	68,88,120,115	450,353,572,562	106,106,112,93	482,535,489,466	298	149	0.577866757790693	0.784265459299271	0.07,0.111,0.095,0.093	0.099,0.09,0.103,0.091	-0.004
77	"ENSMUSG00000036202"	"Rif1"	chr2	+	52093502	52094662	52093502	52093589	52094588	52094662	77	6,15,13,5	19,12,22,17	2,14,3,9	13,24,12,10	298	149	0.620494781860806	0.813290300606699	0.136,0.385,0.228,0.128	0.071,0.226,0.111,0.31	0.04
78	"ENSMUSG00000003166"	"Dgcr2"	chr16	-	17858359	17859526	17858359	17858570	17859403	17859526	78	19,22,32,18	120,129,176,159	20,25,20,35	127,159,140,120	298	149	0.40715944260952	0.647034177617394	0.073,0.079,0.083,0.054	0.073,0.073,0.067,0.127	-0.013
79	"ENSMUSG00000003166"	"Dgcr2"	chr16	-	17858359	17859526	17858359	17858579	17859403	17859526	79	11,9,18,4	147,142,218,189	14,16,15,23	136,190,162,166	298	149	0.0120583539550552	0.100017757958494	0.036,0.031,0.04,0.01	0.049,0.04,0.044,0.065	-0.02
80	"ENSMUSG00000036002"	"Fam214b"	chr4	-	43035835	43037206	43035835	43036804	43037062	43037206	80	17,26,36,31	59,77,112,104	36,61,35,30	77,106,76,74	298	149	0.00457030876107878	0.065133036882354	0.126,0.144,0.138,0.13	0.189,0.223,0.187,0.169	-0.057
82	"ENSMUSG00000057110"	"Cntrl"	chr2	+	35175537	35176322	35175537	35175600	35176127	35176322	82	12,18,39,19	12,10,25,7	41,39,27,35	20,20,25,7	298	149	0.458678157207001	0.686091321895489	0.333,0.474,0.438,0.576	0.506,0.494,0.351,0.714	-0.061
83	"ENSMUSG00000026869"	"Psmd5"	chr2	-	34856447	34857829	34856447	34856557	34857637	34857829	83	15,11,41,26	230,229,356,333	29,29,43,31	277,312,234,269	298	149	0.00579189317044715	0.0728152814433996	0.032,0.023,0.054,0.038	0.05,0.044,0.084,0.054	-0.021
84	"ENSMUSG00000026869"	"Psmd5"	chr2	-	34865526	34866095	34865526	34865655	34865981	34866095	84	8,7,10,11	212,226,255,291	18,12,11,9	233,315,251,228	298	149	0.189270241065498	0.428991392993383	0.019,0.015,0.019,0.019	0.037,0.019,0.021,0.019	-0.006
85	"ENSMUSG00000002546"	"Golga2"	chr2	+	32299031	32299310	32299031	32299125	32299203	32299310	85	5,8,19,10	185,194,307,308	7,12,13,11	220,256,254,228	227	149	0.823329812478479	0.944942195645928	0.017,0.026,0.039,0.021	0.02,0.03,0.033,0.031	-0.003
86	"ENSMUSG00000002550"	"Uck1"	chr2	-	32258276	32258667	32258276	32258419	32258570	32258667	86	24,34,49,17	164,207,255,220	26,67,28,44	186,249,241,221	298	149	0.366965799738232	0.609131689682123	0.068,0.076,0.088,0.037	0.065,0.119,0.055,0.091	-0.015
87	"ENSMUSG00000039515"	"Ppp2r4"	chr2	+	30438228	30439764	30438228	30438353	30439663	30439764	87	52,38,65,37	544,592,916,905	58,102,57,68	719,799,640,693	298	149	0.0195447928656264	0.12716988206381	0.046,0.031,0.034,0.02	0.039,0.06,0.043,0.047	-0.014
88	"ENSMUSG00000039648"	"Ccbl1"	chr2	-	30185125	30185753	30185125	30185569	30185666	30185753	88	1,0,3,6	32,29,67,39	10,2,8,1	57,64,38,36	246	149	0.43170835811549	0.665150655466829	0.019,0.0,0.026,0.085	0.096,0.019,0.113,0.017	-0.029
89	"ENSMUSG00000039686"	"Zer1"	chr2	-	30107494	30108122	30107494	30107668	30107975	30108122	89	11,9,19,9	199,233,309,270	26,26,15,18	283,326,275,290	298	149	0.0260721349755904	0.147487558523005	0.027,0.019,0.03,0.016	0.044,0.038,0.027,0.03	-0.012
90	"ENSMUSG00000039686"	"Zer1"	chr2	-	30107975	30108335	30107975	30108122	30108220	30108335	90	8,9,16,3	264,271,429,363	8,17,4,9	375,400,348,391	247	149	0.837418832817477	0.956241775311848	0.018,0.02,0.022,0.005	0.013,0.025,0.007,0.014	0.002
91	"ENSMUSG00000039686"	"Zer1"	chr2	-	30108220	30110381	30108220	30108335	30110204	30110381	91	5,15,19,5	295,312,496,490	11,15,4,10	433,461,420,427	298	149	0.839428995087949	0.957728271188951	0.008,0.023,0.019,0.005	0.013,0.016,0.005,0.012	0.002
92	"ENSMUSG00000026803"	"Ttf1"	chr2	+	29069891	29071376	29069891	29070077	29071297	29071376	92	8,1,2,1	15,22,33,27	6,8,1,1	37,40,25,20	298	149	0.999202115572178	0.999202115572178	0.211,0.022,0.029,0.018	0.075,0.091,0.02,0.024	0.018
94	"ENSMUSG00000036067"	"Slc2a6"	chr2	-	27023087	27023643	27023087	27023249	27023534	27023643	94	33,35,97,45	159,159,224,213	58,89,62,74	195,222,154,191	298	149	0.0351684448325562	0.178413761688295	0.094,0.099,0.178,0.096	0.129,0.167,0.168,0.162	-0.04
95	"ENSMUSG00000036067"	"Slc2a6"	chr2	-	27023534	27024793	27023534	27023643	27024584	27024793	95	33,32,56,28	0,0,0,0	35,71,53,53	0,0,0,1	298	149	0.147046032972546	0.379674095695736	1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.964	0.009
96	"ENSMUSG00000014873"	"Surf2"	chr2	+	26917427	26919055	26917427	26917531	26918864	26919055	96	44,54,121,43	7,9,13,16	93,112,98,72	13,12,10,9	298	149	0.171359568999256	0.40932533089575	0.759,0.75,0.823,0.573	0.782,0.824,0.831,0.8	-0.083
97	"ENSMUSG00000014873"	"Surf2"	chr2	+	26917427	26919055	26917427	26917531	26918872	26919055	97	41,53,117,44	112,126,146,161	87,102,91,68	123,153,129,138	298	149	0.0848200898909284	0.292542759011569	0.155,0.174,0.286,0.12	0.261,0.25,0.261,0.198	-0.059
98	"ENSMUSG00000014873"	"Surf2"	chr2	+	26917427	26919055	26917427	26917531	26918928	26919055	98	97,127,219,113	56,55,65,64	185,170,192,140	59,63,68,57	298	149	0.148615061287862	0.38235501971682	0.464,0.536,0.628,0.469	0.611,0.574,0.585,0.551	-0.056
101	"ENSMUSG00000026927"	"Sdccag3"	chr2	-	26385497	26386063	26385497	26385609	26385989	26386063	101	439,511,833,513	125,133,221,163	684,879,710,734	121,154,167,165	298	149	0.00585450387647224	0.0728152814433996	0.637,0.658,0.653,0.611	0.739,0.741,0.68,0.69	-0.073
102	"ENSMUSG00000026927"	"Sdccag3"	chr2	-	26386654	26387671	26386654	26387311	26387555	26387671	102	228,201,283,230	176,190,359,239	235,292,257,198	226,287,250,207	298	149	0.90579416127531	0.998570869628127	0.393,0.346,0.283,0.325	0.342,0.337,0.339,0.324	0.001
103	"ENSMUSG00000036281"	"Snapc4"	chr2	-	26372730	26373080	26372730	26372825	26372973	26373080	103	14,16,26,15	53,67,114,60	34,20,15,18	96,119,114,97	297	149	0.343827649052633	0.585828584145129	0.117,0.107,0.103,0.111	0.151,0.078,0.062,0.085	0.015
104	"ENSMUSG00000036281"	"Snapc4"	chr2	-	26373318	26374185	26373318	26373466	26374020	26374185	104	64,54,126,79	28,29,38,37	122,133,137,122	42,38,44,50	298	149	0.158690519135755	0.392641072432471	0.533,0.482,0.624,0.516	0.592,0.636,0.609,0.55	-0.058
105	"ENSMUSG00000015093"	"Clic3"	chr2	+	25457660	25457974	25457660	25457770	25457848	25457974	105	0,0,0,1	1,0,7,1	2,0,0,0	3,0,0,2	227	149	0.761004437736723	0.908100617669947	0.0,NA,0.0,0.396	0.304,NA,NA,0.0	-0.02
107	"ENSMUSG00000026958"	"Dpp7"	chr2	-	25353152	25354293	25353152	25353217	25354232	25354293	107	50,53,126,42	2,0,2,2	77,121,106,111	0,1,0,0	298	149	0.00875172589949158	0.0857996085195323	0.926,1.0,0.969,0.913	1.0,0.984,1.0,1.0	-0.044
