ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
47	"ENSMUSG00000087368"	"BC065397"	chrX	+	136760417	136760575	136761990	136762088	136759855	136759918	136788520	136788617
48	"ENSMUSG00000087368"	"BC065397"	chrX	+	136761990	136762088	136788520	136788617	136760417	136760575	136802851	136803355
49	"ENSMUSG00000031422"	"Morf4l2"	chrX	-	136735545	136735622	136739804	136739894	136732952	136734501	136741209	136741352
50	"ENSMUSG00000044550"	"Tceal3"	chrX	+	136592858	136592963	136639726	136639846	136590847	136590931	136644994	136646507
51	"ENSMUSG00000044550"	"Tceal3"	chrX	+	136594201	136594250	136639726	136639846	136592858	136592963	136644994	136646507
52	"ENSMUSG00000043384"	"Gprasp1"	chrX	+	135743441	135743522	135743562	135743614	135742732	135742978	135744498	135744575
53	"ENSMUSG00000043384"	"Gprasp1"	chrX	+	135796141	135796336	135796948	135797037	135751944	135752017	135797552	135797629
54	"ENSMUSG00000043384"	"Gprasp1"	chrX	+	135796141	135796336	135797552	135797629	135751944	135752017	135797787	135797864
55	"ENSMUSG00000043384"	"Gprasp1"	chrX	+	135796948	135797037	135797552	135797629	135796141	135796336	135797787	135797864
56	"ENSMUSG00000043384"	"Gprasp1"	chrX	+	135797552	135797629	135797787	135797864	135751944	135752017	135798022	135798094
57	"ENSMUSG00000043384"	"Gprasp1"	chrX	+	135797552	135797629	135797787	135797864	135796948	135797037	135798022	135798094
58	"ENSMUSG00000043384"	"Gprasp1"	chrX	+	135797787	135797864	135798022	135798094	135797552	135797629	135798390	135798473
59	"ENSMUSG00000052676"	"Zmat1"	chrX	-	134977647	134977747	134990563	134990629	134971371	134974026	134992134	134992309
60	"ENSMUSG00000049804"	"Armcx4"	chrX	+	134687147	134687225	134688016	134688106	134686518	134686637	134688449	134688532
61	"ENSMUSG00000049804"	"Armcx4"	chrX	+	134688016	134688106	134688449	134688532	134687147	134687225	134688819	134688904
62	"ENSMUSG00000067369"	"Trmt2b"	chrX	-	134266260	134266315	134267330	134267561	134263726	134263861	134276845	134276927
63	"ENSMUSG00000051323"	"Pcdh19"	chrX	-	133625268	133625438	133681080	133681408	133582874	133588577	133685117	133687264
64	"ENSMUSG00000051323"	"Pcdh19"	chrX	-	133625268	133625441	133681080	133681408	133582878	133588577	133685117	133685893
65	"ENSMUSG00000034480"	"Diap2"	chrX	+	129825926	129825947	129902899	129903039	129821238	129821343	129939244	129939319
66	"ENSMUSG00000034755"	"Pcdh11x"	chrX	+	120594704	120594785	120637594	120637624	120399401	120401897	120726500	120726699
67	"ENSMUSG00000034755"	"Pcdh11x"	chrX	+	120811139	120811163	120899554	120899700	120726500	120726699	120905697	120906344
68	"ENSMUSG00000025597"	"Klhl4"	chrX	+	114522298	114522435	114525631	114525828	114521614	114521779	114530022	114530154
69	"ENSMUSG00000025597"	"Klhl4"	chrX	+	114525631	114525828	114530022	114530154	114522298	114522435	114543001	114543170
70	"ENSMUSG00000025597"	"Klhl4"	chrX	+	114525631	114525828	114530022	114530235	114522298	114522435	114543001	114543170
71	"ENSMUSG00000025529"	"Zfp711"	chrX	+	112624738	112624876	112628103	112628148	112623951	112624107	112631825	112631910
72	"ENSMUSG00000073010"	"Gm5127"	chrX	+	106703863	106704021	106708734	106708833	106674560	106674666	106709075	106709862
73	"ENSMUSG00000031229"	"Atrx"	chrX	-	105836309	105836427	105839840	105839978	105832446	105832577	105845496	105845674
74	"ENSMUSG00000031229"	"Atrx"	chrX	-	105899880	105899993	105910573	105910643	105890916	105890972	105911469	105911654
75	"ENSMUSG00000033906"	"Zdhhc15"	chrX	-	104574168	104574238	104588300	104588421	104572504	104572537	104598091	104598186
76	"ENSMUSG00000033906"	"Zdhhc15"	chrX	-	104588300	104588421	104598091	104598186	104574168	104574238	104632583	104632610
77	"ENSMUSG00000033906"	"Zdhhc15"	chrX	-	104598091	104598186	104632583	104632610	104588300	104588421	104670663	104671064
78	"ENSMUSG00000073016"	"Uprt"	chrX	+	104495735	104495778	104498274	104498344	104482817	104483349	104499403	104499466
79	"ENSMUSG00000034055"	"Phka1"	chrX	-	102520753	102520924	102528066	102528117	102517442	102517496	102531921	102531960
80	"ENSMUSG00000034055"	"Phka1"	chrX	-	102520753	102520924	102528066	102528117	102517442	102517496	102532076	102532115
81	"ENSMUSG00000034055"	"Phka1"	chrX	-	102531921	102531960	102532076	102532115	102520753	102520924	102532402	102532518
82	"ENSMUSG00000034055"	"Phka1"	chrX	-	102531921	102531960	102532076	102532115	102528066	102528117	102532402	102532518
83	"ENSMUSG00000034055"	"Phka1"	chrX	-	102636542	102636711	102639080	102639128	102625587	102625670	102642220	102642379
84	"ENSMUSG00000067567"	"Hdac8"	chrX	-	102307638	102307744	102402584	102402679	102284638	102285168	102405536	102405709
85	"ENSMUSG00000034160"	"Ogt"	chrX	+	101673042	101673213	101673322	101673439	101672447	101672573	101673541	101673712
86	"ENSMUSG00000031310"	"Zmym3"	chrX	-	101417286	101417330	101418272	101418952	101416908	101416981	101420145	101420849
87	"ENSMUSG00000031310"	"Zmym3"	chrX	-	101417286	101417330	101418272	101418952	101416908	101416981	101420158	101420216
88	"ENSMUSG00000031310"	"Zmym3"	chrX	-	101417286	101417330	101418272	101418952	101416908	101416981	101420539	101420685
89	"ENSMUSG00000031302"	"Nlgn3"	chrX	+	101301784	101302431	101308756	101308906	101299174	101299296	101315131	101315317
90	"ENSMUSG00000031302"	"Nlgn3"	chrX	+	101302287	101302431	101308756	101308906	101299167	101299296	101315131	101315317
91	"ENSMUSG00000046032"	"Snx12"	chrX	-	101213773	101213864	101214400	101214525	101102367	101102435	101215482	101215578
92	"ENSMUSG00000046032"	"Snx12"	chrX	-	101214400	101214525	101215482	101215578	101211958	101213864	101222261	101222549
93	"ENSMUSG00000031216"	"Stard8"	chrX	+	99063364	99063446	99064393	99064457	99060727	99060799	99065557	99065672
94	"ENSMUSG00000046532"	"Ar"	chrX	+	98251685	98251837	98286588	98286705	98149720	98151334	98305236	98305524
95	"ENSMUSG00000000881"	"Dlg3"	chrX	+	100808052	100808152	100809861	100809907	100807179	100807255	100811501	100811543
96	"ENSMUSG00000000881"	"Dlg3"	chrX	+	100808052	100808152	100809861	100809907	100807179	100807255	100812725	100812776
97	"ENSMUSG00000000881"	"Dlg3"	chrX	+	100808052	100808152	100811501	100811543	100807179	100807255	100812725	100812776
98	"ENSMUSG00000000881"	"Dlg3"	chrX	+	100809861	100809907	100811501	100811543	100807179	100807255	100812725	100812776
99	"ENSMUSG00000000881"	"Dlg3"	chrX	+	100811501	100811543	100812725	100812776	100807999	100808152	100813336	100813438
100	"ENSMUSG00000000881"	"Dlg3"	chrX	+	100811501	100811543	100812725	100812776	100809861	100809907	100813336	100813438
101	"ENSMUSG00000031403"	"Dkc1"	chrX	+	75100989	75101120	75104339	75104460	75100432	75100559	75105653	75105772
102	"ENSMUSG00000031399"	"Fam3a"	chrX	-	74387437	74387496	74390473	74390497	74386911	74387084	74390990	74391104
103	"ENSMUSG00000015291"	"Gdi1"	chrX	+	74306844	74306944	74307102	74307237	74306578	74306686	74307671	74307870
104	"ENSMUSG00000019087"	"Atp6ap1"	chrX	+	74300577	74300688	74301960	74302021	74300249	74300324	74302361	74302600
105	"ENSMUSG00000019087"	"Atp6ap1"	chrX	+	74300577	74300771	74301960	74302021	74300249	74300324	74303221	74303269
106	"ENSMUSG00000019087"	"Atp6ap1"	chrX	+	74302361	74302600	74303221	74303269	74301935	74302021	74303357	74303586
107	"ENSMUSG00000031392"	"Irak1"	chrX	-	74018129	74018366	74019899	74019965	74017129	74017511	74020327	74020535
108	"ENSMUSG00000031392"	"Irak1"	chrX	-	74021848	74021963	74022184	74022249	74020942	74021061	74022472	74022664
109	"ENSMUSG00000031392"	"Irak1"	chrX	-	74021848	74021963	74022184	74022249	74020942	74021061	74022848	74022952
110	"ENSMUSG00000031392"	"Irak1"	chrX	-	74022184	74022249	74022472	74022661	74021848	74021963	74022848	74022952
111	"ENSMUSG00000031392"	"Irak1"	chrX	-	74022184	74022249	74022472	74022664	74021848	74021963	74022848	74022952
112	"ENSMUSG00000031392"	"Irak1"	chrX	-	74022472	74022661	74022848	74023065	74022237	74022249	74023365	74023533
113	"ENSMUSG00000031389"	"Arhgap4"	chrX	-	73897753	73897888	73897968	73898013	73897552	73897658	73898131	73898192
114	"ENSMUSG00000031389"	"Arhgap4"	chrX	-	73897753	73897888	73897968	73898046	73897552	73897658	73898131	73898192
115	"ENSMUSG00000031389"	"Arhgap4"	chrX	-	73904247	73904469	73906156	73906219	73900634	73900736	73906428	73906591
116	"ENSMUSG00000002006"	"Pdzd4"	chrX	-	73796829	73796892	73798193	73798292	73796375	73796477	73798757	73798848
117	"ENSMUSG00000002006"	"Pdzd4"	chrX	-	73796829	73796892	73798757	73798848	73796375	73796477	73799833	73800087
118	"ENSMUSG00000002006"	"Pdzd4"	chrX	-	73796829	73796892	73798193	73798292	73796375	73796477	73824281	73824969
119	"ENSMUSG00000002006"	"Pdzd4"	chrX	-	73796829	73796892	73799833	73800087	73796375	73796477	73824281	73824969
120	"ENSMUSG00000002006"	"Pdzd4"	chrX	-	73798193	73798292	73799833	73800087	73796375	73796477	73824281	73824969
121	"ENSMUSG00000002006"	"Pdzd4"	chrX	-	73798193	73798292	73798757	73798848	73796829	73796892	73799833	73800087
122	"ENSMUSG00000002006"	"Pdzd4"	chrX	-	73798193	73798292	73799833	73800087	73796829	73796892	73824281	73824969
123	"ENSMUSG00000002006"	"Pdzd4"	chrX	-	73798757	73798848	73799833	73800087	73798193	73798292	73824281	73824969
124	"ENSMUSG00000002010"	"Idh3g"	chrX	-	73782005	73782103	73782297	73782309	73781676	73781789	73782674	73782716
125	"ENSMUSG00000031385"	"Plxnb3"	chrX	+	73763977	73764147	73764361	73764513	73763782	73763876	73765266	73765372
126	"ENSMUSG00000031378"	"Abcd1"	chrX	+	73734008	73734154	73734461	73734607	73730793	73730888	73736789	73736874
127	"ENSMUSG00000002015"	"Bcap31"	chrX	-	73706996	73707144	73714792	73714928	73689546	73689682	73716117	73716175
128	"ENSMUSG00000031371"	"Haus7"	chrX	-	73445809	73445924	73452998	73453060	73437314	73437565	73454866	73454934
129	"ENSMUSG00000031371"	"Haus7"	chrX	-	73446927	73447137	73452998	73453060	73445809	73445924	73454866	73454934
130	"ENSMUSG00000031371"	"Haus7"	chrX	-	73448810	73448902	73452998	73453060	73448191	73448350	73454866	73454934
131	"ENSMUSG00000035776"	"Cd99l2"	chrX	-	71440524	71440611	71441073	71441145	71438133	71438199	71450610	71450673
132	"ENSMUSG00000035776"	"Cd99l2"	chrX	-	71441073	71441145	71450610	71450673	71440524	71440611	71492521	71492849
133	"ENSMUSG00000059401"	"Mamld1"	chrX	+	71121357	71121468	71146185	71146435	71117480	71119394	71152189	71152274
134	"ENSMUSG00000035847"	"Ids"	chrX	-	70359948	70360149	70362976	70363154	70358266	70358437	70363801	70363938
135	"ENSMUSG00000031189"	"Aff2"	chrX	+	69523435	69523568	69544408	69545269	69360293	69360838	69693943	69693988
136	"ENSMUSG00000031189"	"Aff2"	chrX	+	69544408	69545269	69693943	69693988	69523435	69523568	69725041	69725078
137	"ENSMUSG00000071753"	"C230004F18Rik"	chrX	+	61122011	61122159	61133365	61133503	61119341	61119424	61134720	61134796
138	"ENSMUSG00000031400"	"G6pdx"	chrX	-	74411965	74412091	74412318	74412477	74411564	74411658	74413863	74414081
139	"ENSMUSG00000031400"	"G6pdx"	chrX	-	74411965	74412091	74412318	74412480	74411564	74411658	74413863	74414081
140	"ENSMUSG00000031133"	"Arhgef6"	chrX	-	57241805	57241826	57243389	57243515	57240593	57240687	57244604	57244750
141	"ENSMUSG00000062184"	"Hs6st2"	chrX	-	51428657	51428744	51471373	51471406	51387211	51390361	51679889	51680408
142	"ENSMUSG00000031105"	"Slc25a14"	chrX	+	48623961	48624197	48625595	48625640	48623577	48623828	48629251	48629345
143	"ENSMUSG00000031105"	"Slc25a14"	chrX	+	48623961	48624206	48625595	48625640	48623577	48623828	48628135	48628183
144	"ENSMUSG00000031105"	"Slc25a14"	chrX	+	48629251	48629345	48630888	48631036	48623748	48623828	48634756	48634851
145	"ENSMUSG00000031105"	"Slc25a14"	chrX	+	48629251	48629345	48630888	48631036	48623961	48624197	48634756	48634851
146	"ENSMUSG00000036916"	"Zfp280c"	chrX	-	48588702	48588749	48591672	48591761	48578379	48578529	48594363	48594452
147	"ENSMUSG00000036959"	"Bcorl1"	chrX	+	48367768	48371032	48375022	48375188	48367418	48367509	48376996	48377077
148	"ENSMUSG00000036959"	"Bcorl1"	chrX	+	48375022	48375188	48376996	48377077	48369267	48371032	48383921	48384145
149	"ENSMUSG00000001173"	"Ocrl"	chrX	+	47943505	47943641	47947002	47947113	47941108	47941218	47947706	47947872
150	"ENSMUSG00000001173"	"Ocrl"	chrX	+	47947002	47947113	47947706	47947872	47943505	47943641	47948124	47948360
151	"ENSMUSG00000025860"	"Xiap"	chrX	+	42068356	42068482	42094366	42095272	42067835	42068056	42096612	42096712
152	"ENSMUSG00000037475"	"Thoc2"	chrX	-	41881908	41882000	41897791	41897850	41879885	41879937	41911800	41911886
153	"ENSMUSG00000036502"	"Tmem255a"	chrX	-	38235840	38235903	38245715	38245858	38233102	38233192	38252243	38252401
154	"ENSMUSG00000036572"	"Upf3b"	chrX	-	37104428	37104527	37108914	37109021	37102026	37102137	37109147	37109254
155	"ENSMUSG00000050379"	"Sept6"	chrX	-	36922839	36923030	36930098	36930267	36911325	36913254	36934383	36934480
156	"ENSMUSG00000017057"	"Il13ra1"	chrX	+	36152017	36152114	36155542	36155627	36148978	36149111	36168813	36171259
157	"ENSMUSG00000085489"	"Gm3669"	chrX	-	29883733	29883897	29884093	29884126	29883062	29883175	29884636	29884723
158	"ENSMUSG00000096911"	"Gm2165"	chrX	+	28698042	28698075	28698271	28698435	28697445	28697532	28698993	28699106
159	"ENSMUSG00000093817"	"Gm2101"	chrX	+	27690057	27690090	27690286	27690450	27689460	27689547	27691008	27691121
160	"ENSMUSG00000031065"	"Cdk16"	chrX	+	20696730	20696836	20696921	20696964	20696547	20696645	20697119	20697210
161	"ENSMUSG00000031065"	"Cdk16"	chrX	+	20696921	20696964	20697119	20697210	20696730	20696836	20698450	20698528
162	"ENSMUSG00000031060"	"Rbm10"	chrX	+	20645436	20645597	20645768	20645866	20644864	20645041	20645958	20646046
163	"ENSMUSG00000031060"	"Rbm10"	chrX	+	20645768	20645866	20645958	20646046	20645436	20645597	20647321	20647505
164	"ENSMUSG00000037369"	"Kdm6a"	chrX	+	18208735	18208785	18216937	18216996	18199157	18199266	18222756	18222877
165	"ENSMUSG00000025037"	"Maoa"	chrX	+	16658567	16658672	16659444	16659536	16639063	16639201	16662316	16662458
166	"ENSMUSG00000031012"	"Cask"	chrX	-	13550946	13550982	13552372	13552441	13549164	13549361	13554877	13554946
167	"ENSMUSG00000031012"	"Cask"	chrX	-	13614469	13614592	13620649	13620825	13608733	13608817	13626194	13626297
168	"ENSMUSG00000031012"	"Cask"	chrX	-	13682970	13683048	13714665	13714771	13677584	13677657	13785936	13786030
169	"ENSMUSG00000031012"	"Cask"	chrX	-	13714665	13714771	13785936	13786049	13682970	13683048	13846007	13846541
170	"ENSMUSG00000044148"	"1810030O07Rik"	chrX	-	12662649	12662829	12664499	12664649	12657861	12658024	12669526	12669646
171	"ENSMUSG00000031174"	"Rpgr"	chrX	-	10181954	10182052	10194817	10194983	10178270	10178336	10195971	10196154
172	"ENSMUSG00000022295"	"Atp6v1c1"	chr15	+	38672856	38673020	38673896	38673964	38661903	38662083	38676027	38676113
173	"ENSMUSG00000025453"	"Nnt"	chr13	-	119396746	119396976	119404551	119404754	119393471	119394828	119408902	119408997
174	"ENSMUSG00000005621"	"Zfp592"	chr7	+	81009433	81009539	81023270	81025509	80993680	80993762	81029448	81029627
175	"ENSMUSG00000042284"	"Itga1"	chr13	-	115031104	115031193	115035272	115035385	115030882	115030994	115049282	115049403
176	"ENSMUSG00000042284"	"Itga1"	chr13	-	115035272	115035385	115049282	115049403	115031104	115031193	115101470	115101964
177	"ENSMUSG00000021594"	"Srd5a1"	chr13	-	69586584	69586735	69594915	69595017	69573448	69575196	69600230	69600397
178	"ENSMUSG00000021594"	"Srd5a1"	chr13	-	69594915	69595017	69600230	69600397	69586584	69586735	69610966	69611442
179	"ENSMUSG00000025144"	"Stra13"	chr11	-	120711389	120711478	120711702	120711895	120710942	120711306	120713692	120713738
180	"ENSMUSG00000012640"	"Zfp715"	chr7	-	43301169	43301265	43301610	43301737	43296522	43300176	43311030	43311185
181	"ENSMUSG00000027071"	"P2rx3"	chr2	-	85024109	85024173	85024381	85024453	85023482	85023576	85024855	85024991
182	"ENSMUSG00000097284"	"4930480K23Rik"	chr14	+	69739406	69739495	69740724	69740849	69738237	69738387	69743412	69745869
183	"ENSMUSG00000030630"	"Fah"	chr7	-	84599053	84599144	84600776	84600826	84597177	84597275	84601032	84601154
184	"ENSMUSG00000018412"	"Kansl1"	chr11	-	104368679	104368778	104378684	104378826	104357480	104357596	104423921	104425293
185	"ENSMUSG00000018412"	"Kansl1"	chr11	-	104378684	104378826	104423921	104425293	104368679	104368778	104441724	104442291
186	"ENSMUSG00000018412"	"Kansl1"	chr11	-	104378684	104378826	104423921	104425293	104368679	104368778	104467638	104467752
187	"ENSMUSG00000041921"	"Metap1d"	chr2	+	71515636	71515800	71522532	71522630	71512125	71512168	71523801	71523849
188	"ENSMUSG00000041921"	"Metap1d"	chr2	+	71522532	71522630	71523801	71523849	71512125	71512168	71524716	71524780
189	"ENSMUSG00000041921"	"Metap1d"	chr2	+	71522532	71522630	71523801	71523849	71515636	71515800	71524716	71524795
190	"ENSMUSG00000034738"	"Nostrin"	chr2	+	69152334	69152418	69158768	69158831	69144769	69144855	69161069	69161168
191	"ENSMUSG00000022761"	"Lztr1"	chr16	+	17522557	17522723	17523276	17523433	17522380	17522476	17524095	17524222
192	"ENSMUSG00000044647"	"Csrnp3"	chr2	+	65877964	65878052	65948958	65949129	65845841	65845884	66002302	66002562
193	"ENSMUSG00000044647"	"Csrnp3"	chr2	+	65948958	65949129	66002302	66002562	65877964	65878052	66019439	66019736
194	"ENSMUSG00000000392"	"Fap"	chr2	-	62552273	62552326	62553782	62553857	62548569	62548642	62554744	62554839
195	"ENSMUSG00000000392"	"Fap"	chr2	-	62553782	62553857	62554744	62554839	62552273	62552326	62556100	62556199
196	"ENSMUSG00000000392"	"Fap"	chr2	-	62554744	62554839	62556100	62556184	62553782	62553857	62573438	62573523
197	"ENSMUSG00000000392"	"Fap"	chr2	-	62554744	62554839	62556100	62556199	62553782	62553857	62573438	62573523
198	"ENSMUSG00000026970"	"Rbms1"	chr2	-	60759758	60759806	60762052	60762146	60758803	60758854	60762269	60762319
199	"ENSMUSG00000026977"	"March7"	chr2	+	60245211	60245260	60247487	60247512	60243556	60243670	60247889	60247957
200	"ENSMUSG00000073643"	"Wdfy1"	chr1	-	79717202	79717315	79724644	79724757	79714873	79715000	79726565	79726716
201	"ENSMUSG00000073643"	"Wdfy1"	chr1	-	79719123	79719274	79726565	79726716	79717202	79717315	79729655	79729710
202	"ENSMUSG00000073643"	"Wdfy1"	chr1	-	79719123	79719274	79726565	79726716	79717202	79717315	79733799	79733873
203	"ENSMUSG00000073643"	"Wdfy1"	chr1	-	79722213	79722268	79729655	79729710	79718973	79719274	79733799	79733873
204	"ENSMUSG00000006494"	"Pdk1"	chr2	+	71885981	71886059	71887381	71887458	71883842	71883932	71888895	71888994
205	"ENSMUSG00000026827"	"Gpd2"	chr2	+	57267972	57268082	57289844	57290016	57237634	57237988	57304360	57304485
206	"ENSMUSG00000026827"	"Gpd2"	chr2	+	57289844	57290016	57304360	57304485	57267972	57268082	57305807	57305905
207	"ENSMUSG00000060988"	"Galnt13"	chr2	+	54732985	54733154	54854601	54854768	54516441	54516681	54855027	54855235
208	"ENSMUSG00000060988"	"Galnt13"	chr2	+	54880054	54880172	54933388	54933569	54857794	54857965	55060464	55060604
209	"ENSMUSG00000060988"	"Galnt13"	chr2	+	54933388	54933569	55060464	55060604	54880054	54880172	55073897	55073996
210	"ENSMUSG00000060988"	"Galnt13"	chr2	+	55060464	55060604	55073897	55073996	54933388	54933569	55098562	55098697
211	"ENSMUSG00000060988"	"Galnt13"	chr2	+	55060464	55060604	55073897	55074104	54933388	54933569	55098562	55098697
212	"ENSMUSG00000060988"	"Galnt13"	chr2	+	55073897	55073996	55098562	55098697	55060464	55060604	55112820	55112961
213	"ENSMUSG00000060988"	"Galnt13"	chr2	+	55073897	55074104	55098562	55098697	55060464	55060604	55112820	55118309
214	"ENSMUSG00000023826"	"Park2"	chr17	+	11067128	11067292	11237461	11237702	10840383	10840489	11303589	11303711
215	"ENSMUSG00000023826"	"Park2"	chr17	+	11067128	11067292	11237461	11237702	10840383	10840489	11303592	11303711
216	"ENSMUSG00000023826"	"Park2"	chr17	+	11838601	11838663	11854726	11854876	11635309	11635446	12004044	12004128
217	"ENSMUSG00000023826"	"Park2"	chr17	+	11854726	11854876	12004044	12004128	11838601	11838663	12050625	12050743
218	"ENSMUSG00000023826"	"Park2"	chr17	+	12004044	12004128	12050625	12050743	11854726	11854876	12061540	12063361
219	"ENSMUSG00000020594"	"Pum2"	chr12	+	8744614	8744743	8747156	8747294	8744336	8744466	8748110	8748236
220	"ENSMUSG00000003166"	"Dgcr2"	chr16	-	17844982	17845135	17849590	17849794	17843971	17844208	17856751	17856928
221	"ENSMUSG00000026761"	"Orc4"	chr2	-	48910185	48910294	48912561	48912648	48909418	48909514	48917164	48917338
222	"ENSMUSG00000026761"	"Orc4"	chr2	-	48912561	48912648	48917164	48917338	48910185	48910294	48927095	48927247
