	GeneID	chr	strand	shortSplice	longSplice	shareSplice
117	ENSMUSG00000041966	chr2	+	71075446	71075367	71063495
118	ENSMUSG00000022761	chr16	+	17525676	17525422	17524222
123	ENSMUSG00000026977	chr2	+	60233933	60233898	60232367
125	ENSMUSG00000023826	chr17	+	11303592	11303589	11067292
126	ENSMUSG00000023826	chr17	+	11303592	11303589	11237702
127	ENSMUSG00000023826	chr17	+	11556914	11556647	11492794
128	ENSMUSG00000020594	chr12	+	8719002	8718987	8713937
129	ENSMUSG00000020594	chr12	+	8719005	8718987	8713937
130	ENSMUSG00000020594	chr12	+	8719005	8719002	8713937
131	ENSMUSG00000036202	chr2	+	52116841	52116834	52116394
132	ENSMUSG00000036202	chr2	+	52116841	52116834	52116745
138	ENSMUSG00000026749	chr2	+	38557855	38557815	38550671
139	ENSMUSG00000023019	chr15	+	99719202	99719133	99718329
141	ENSMUSG00000057110	chr2	+	35147234	35147231	35144421
142	ENSMUSG00000057110	chr2	+	35147234	35147231	35145236
143	ENSMUSG00000023118	chr7	+	19047520	19047449	19045961
144	ENSMUSG00000023118	chr7	+	19047520	19047449	19046902
145	ENSMUSG00000089682	chr14	+	54884624	54884373	54883884
146	ENSMUSG00000009563	chr2	+	32758756	32758670	32757539
148	ENSMUSG00000001855	chr2	+	32039322	32039319	32038172
149	ENSMUSG00000026843	chr2	+	31592465	31592462	31583260
150	ENSMUSG00000026843	chr2	+	31594847	31594842	31592496
157	ENSMUSG00000026798	chr2	+	29795383	29795380	29790530
158	ENSMUSG00000026798	chr2	+	29795383	29795380	29790559
159	ENSMUSG00000026798	chr2	+	29795935	29795829	29795510
160	ENSMUSG00000026812	chr2	+	28672784	28672781	28672504
161	ENSMUSG00000026812	chr2	+	28675662	28675642	28675248
162	ENSMUSG00000026812	chr2	+	28678966	28678951	28678205
163	ENSMUSG00000014873	chr2	+	26918872	26918864	26917531
164	ENSMUSG00000014873	chr2	+	26918928	26918864	26917531
165	ENSMUSG00000014873	chr2	+	26918928	26918872	26917531
170	ENSMUSG00000029208	chr5	+	69568395	69567127	69566504
171	ENSMUSG00000026991	chr2	+	59308084	59308007	59305492
172	ENSMUSG00000026991	chr2	+	59308089	59308007	59305492
173	ENSMUSG00000026991	chr2	+	59308089	59308084	59305492
174	ENSMUSG00000026991	chr2	+	59311696	59311693	59310290
175	ENSMUSG00000040112	chr6	+	147061422	147061204	147055991
176	ENSMUSG00000037683	chr2	+	19296815	19296803	19296424
177	ENSMUSG00000026743	chr2	+	18162607	18162316	18159711
178	ENSMUSG00000017428	chr11	+	80470382	80469801	80465076
179	ENSMUSG00000017428	chr11	+	80473092	80471709	80471594
180	ENSMUSG00000017418	chr2	+	15069836	15069819	15068199
181	ENSMUSG00000017418	chr2	+	15069857	15069819	15068199
182	ENSMUSG00000017418	chr2	+	15069857	15069836	15068199
184	ENSMUSG00000057914	chr2	+	14984253	14984250	14982883
186	ENSMUSG00000023206	chr2	+	11723511	11723412	11720105
191	ENSMUSG00000038374	chr3	+	96630305	96630301	96630028
192	ENSMUSG00000038374	chr3	+	96630305	96630301	96630065
193	ENSMUSG00000038374	chr3	+	96630479	96630476	96630361
195	ENSMUSG00000037262	chr2	+	10090240	10090112	10085824
196	ENSMUSG00000027469	chr2	+	152867186	152867183	152855002
197	ENSMUSG00000027469	chr2	+	152867186	152867183	152855015
198	ENSMUSG00000026655	chr2	+	3778419	3778417	3772979
205	ENSMUSG00000023307	chr19	+	37220668	37220638	37220486
207	ENSMUSG00000041180	chr19	+	36601431	36601428	36599719
208	ENSMUSG00000041180	chr19	+	36601469	36601428	36599719
209	ENSMUSG00000041180	chr19	+	36601469	36601431	36599719
210	ENSMUSG00000041180	chr19	+	36609264	36609255	36606474
212	ENSMUSG00000027018	chr2	+	71434054	71434033	71421739
219	ENSMUSG00000022884	chr16	+	23108587	23108584	23107820
220	ENSMUSG00000022884	chr16	+	23108587	23108584	23107880
221	ENSMUSG00000022884	chr16	+	23111125	23110579	23110343
223	ENSMUSG00000007610	chr8	+	71489427	71489424	71489318
224	ENSMUSG00000007610	chr8	+	71490894	71490654	71490537
225	ENSMUSG00000026096	chr1	+	53317906	53317901	53315099
226	ENSMUSG00000024677	chr19	+	11526699	11526620	11523966
231	ENSMUSG00000072653	chr6	+	47945882	47945836	47945751
233	ENSMUSG00000022351	chr15	+	59322866	59322835	59321494
234	ENSMUSG00000038274	chr19	+	6058245	6058242	6058001
246	ENSMUSG00000031558	chr5	+	48249820	48249777	48247221
252	ENSMUSG00000007050	chr17	+	34985108	34984979	34982687
254	ENSMUSG00000057246	chr17	+	34417478	34417241	34416604
255	ENSMUSG00000057246	chr17	+	34417485	34417241	34416604
256	ENSMUSG00000057246	chr17	+	34417478	34417462	34416604
257	ENSMUSG00000057246	chr17	+	34417485	34417462	34416604
258	ENSMUSG00000057246	chr17	+	34417485	34417478	34416604
259	ENSMUSG00000021906	chr14	+	32099533	32099388	32096628
260	ENSMUSG00000021906	chr14	+	32100985	32100954	32099631
261	ENSMUSG00000048000	chr1	+	87407001	87406983	87403846
262	ENSMUSG00000048000	chr1	+	87407537	87407534	87407455
263	ENSMUSG00000048000	chr1	+	87440387	87440359	87436891
264	ENSMUSG00000036452	chr18	+	39357737	39357552	39306852
265	ENSMUSG00000036452	chr18	+	39357798	39357737	39357663
268	ENSMUSG00000020818	chr11	+	116859323	116859298	116858581
269	ENSMUSG00000020818	chr11	+	116859348	116859298	116858581
270	ENSMUSG00000020818	chr11	+	116859348	116859323	116858581
271	ENSMUSG00000026270	chr1	+	92943830	92943678	92943466
272	ENSMUSG00000024483	chr18	+	36614762	36614714	36613976
273	ENSMUSG00000024483	chr18	+	36655473	36655422	36654266
275	ENSMUSG00000074182	chr3	+	145578251	145578220	145576996
276	ENSMUSG00000051278	chr3	+	127595878	127594459	127590108
277	ENSMUSG00000033628	chr18	+	30311219	30311146	30305042
278	ENSMUSG00000024236	chr18	+	5114530	5114507	5108708
281	ENSMUSG00000024231	chr18	+	3414173	3414129	3405787
282	ENSMUSG00000024231	chr18	+	3426806	3426757	3426223
285	ENSMUSG00000036257	chr12	+	44283310	44282577	44269301
287	ENSMUSG00000024247	chr17	+	83221052	83220965	83220156
288	ENSMUSG00000020156	chr10	+	80238859	80238314	80236181
289	ENSMUSG00000009995	chrX	+	74288450	74288177	74288099
290	ENSMUSG00000009995	chrX	+	74288450	74288447	74288219
291	ENSMUSG00000009995	chrX	+	74288983	74288928	74288714
292	ENSMUSG00000003279	chr17	+	70761158	70761074	70662809
293	ENSMUSG00000003279	chr17	+	70761158	70761074	70718225
294	ENSMUSG00000000127	chr17	+	63981482	63981479	63973157
295	ENSMUSG00000034023	chr6	+	113560085	113560052	113556373
296	ENSMUSG00000034023	chr6	+	113572643	113572539	113571016
303	ENSMUSG00000027939	chr3	+	90190856	90190852	90189595
304	ENSMUSG00000043241	chr2	+	6046900	6046897	6040561
305	ENSMUSG00000034165	chr17	+	47593644	47593608	47578773
306	ENSMUSG00000034165	chr17	+	47593653	47593608	47578773
307	ENSMUSG00000034165	chr17	+	47593653	47593644	47578773
308	ENSMUSG00000034165	chr17	+	47593644	47593608	47578792
309	ENSMUSG00000034165	chr17	+	47593653	47593608	47578792
310	ENSMUSG00000034165	chr17	+	47593653	47593644	47578792
311	ENSMUSG00000038545	chr17	+	46655663	46655514	46654659
313	ENSMUSG00000023952	chr17	+	46167341	46167222	46166650
314	ENSMUSG00000029534	chr6	+	17852257	17850356	17848079
318	ENSMUSG00000020364	chr11	+	51061402	51061399	51060986
323	ENSMUSG00000039220	chr17	+	35924036	35924012	35923425
326	ENSMUSG00000073411	chr17	+	35266481	35266466	35266303
327	ENSMUSG00000036819	chr11	+	59453827	59453791	59453645
328	ENSMUSG00000036819	chr11	+	59453877	59453791	59453645
329	ENSMUSG00000036819	chr11	+	59453877	59453827	59453645
330	ENSMUSG00000024392	chr17	+	35142925	35142922	35142839
331	ENSMUSG00000024392	chr17	+	35146266	35146245	35146169
333	ENSMUSG00000034786	chr17	+	34590779	34590741	34590563
334	ENSMUSG00000039656	chr17	+	34036872	34036860	34036757
337	ENSMUSG00000024299	chr17	+	33537091	33537086	33531797
338	ENSMUSG00000024299	chr17	+	33549483	33549479	33549385
339	ENSMUSG00000024299	chr17	+	33551267	33551251	33551190
341	ENSMUSG00000030653	chr7	+	101503298	101503286	101502942
343	ENSMUSG00000090083	chr17	+	29626505	29626399	29621637
344	ENSMUSG00000020886	chr11	+	70030603	70030594	70030452
345	ENSMUSG00000085316	chr2	+	116910728	116910720	116901075
347	ENSMUSG00000017686	chr11	+	80243401	80243369	80242681
348	ENSMUSG00000040276	chr17	+	27701825	27701731	27685425
349	ENSMUSG00000062296	chr9	+	111347468	111347465	111345513
351	ENSMUSG00000026879	chr2	+	35282659	35282650	35266903
361	ENSMUSG00000071266	chr17	+	22451096	22451078	22446893
362	ENSMUSG00000027338	chr2	+	131954820	131954790	131953582
364	ENSMUSG00000014767	chr17	+	15502964	15502961	15501202
365	ENSMUSG00000014767	chr17	+	15502964	15502961	15501357
366	ENSMUSG00000068036	chr17	+	13807279	13807276	13804134
367	ENSMUSG00000068036	chr17	+	13808934	13808931	13807392
370	ENSMUSG00000032604	chr9	+	108513723	108513668	108513378
373	ENSMUSG00000073468	chr17	+	8323276	8321799	8320681
374	ENSMUSG00000026027	chr1	+	58993098	58992892	58992755
375	ENSMUSG00000021219	chr12	+	83137389	83137385	83133744
377	ENSMUSG00000026921	chr2	+	26590656	26590576	26590495
380	ENSMUSG00000022401	chr15	+	81415902	81415846	81414548
381	ENSMUSG00000006392	chr4	+	118411697	118411657	118409386
382	ENSMUSG00000006392	chr4	+	118410886	118410884	118409549
383	ENSMUSG00000006392	chr4	+	118411697	118411657	118411003
386	ENSMUSG00000039956	chr16	+	90747523	90747374	90738669
387	ENSMUSG00000029068	chr4	+	155820328	155818538	155817987
389	ENSMUSG00000007570	chr17	+	28318061	28318032	28317611
390	ENSMUSG00000007570	chr17	+	28326151	28326093	28322771
391	ENSMUSG00000035242	chr10	+	80828718	80828710	80828633
399	ENSMUSG00000035270	chr16	+	56258144	56257903	56254248
400	ENSMUSG00000032280	chr9	+	61401855	61401852	61394682
401	ENSMUSG00000032280	chr9	+	61401855	61401852	61394712
406	ENSMUSG00000025875	chr13	+	54793263	54793194	54792886
407	ENSMUSG00000025875	chr13	+	54795414	54795410	54795178
408	ENSMUSG00000025875	chr13	+	54796721	54796597	54796218
409	ENSMUSG00000004846	chr5	+	136991330	136991299	136991084
410	ENSMUSG00000071550	chr16	+	44419124	44419097	44418178
411	ENSMUSG00000034135	chr9	+	46211849	46211669	46210815
412	ENSMUSG00000034135	chr9	+	46221159	46221066	46220342
413	ENSMUSG00000050875	chr18	+	59066909	59066816	59065885
414	ENSMUSG00000050875	chr18	+	59066928	59066816	59065885
415	ENSMUSG00000050875	chr18	+	59066928	59066909	59065885
416	ENSMUSG00000042942	chr18	+	10557378	10557239	10556027
418	ENSMUSG00000034243	chr16	+	36886133	36886130	36875263
419	ENSMUSG00000034243	chr16	+	36886133	36886130	36885188
424	ENSMUSG00000026781	chr2	+	23099564	23099561	23094517
425	ENSMUSG00000029592	chr5	+	114111871	114111868	114111215
426	ENSMUSG00000039754	chr5	+	136139461	136139337	136136399
427	ENSMUSG00000097290	chr16	+	21800774	21800714	21795975
428	ENSMUSG00000033653	chr16	+	21456228	21456222	21448403
430	ENSMUSG00000034730	chr15	+	74539706	74539692	74539313
431	ENSMUSG00000034730	chr15	+	74580664	74580564	74574168
432	ENSMUSG00000034730	chr15	+	74580664	74580564	74575924
433	ENSMUSG00000034730	chr15	+	74580664	74580564	74577493
436	ENSMUSG00000024073	chr17	+	74594363	74594321	74593249
437	ENSMUSG00000024073	chr17	+	74613394	74613376	74612345
438	ENSMUSG00000006498	chr10	+	79859071	79858951	79858824
439	ENSMUSG00000006498	chr10	+	79859088	79859071	79858981
440	ENSMUSG00000006498	chr10	+	79859601	79859351	79859271
441	ENSMUSG00000055692	chr16	+	17277193	17276961	17276887
442	ENSMUSG00000055692	chr16	+	17277527	17277341	17277039
443	ENSMUSG00000055692	chr16	+	17277527	17277341	17277250
444	ENSMUSG00000055692	chr16	+	17277850	17277668	17277592
445	ENSMUSG00000022779	chr16	+	16875071	16875068	16870898
446	ENSMUSG00000022779	chr16	+	16887857	16887831	16887723
447	ENSMUSG00000026418	chr1	+	135805054	135805052	135803285
448	ENSMUSG00000022792	chr16	+	16306497	16306462	16304703
453	ENSMUSG00000022701	chr16	+	43905350	43905345	43898231
456	ENSMUSG00000027412	chr2	+	160901657	160901627	160899829
462	ENSMUSG00000053161	chr1	+	83180364	83180344	83179365
463	ENSMUSG00000015217	chrX	+	71558056	71558052	71556190
464	ENSMUSG00000015217	chrX	+	71558056	71558052	71556237
465	ENSMUSG00000015217	chrX	+	71558056	71558052	71557108
470	ENSMUSG00000023852	chr17	+	15760327	15760305	15758732
484	ENSMUSG00000023025	chr15	+	99984919	99984916	99972983
487	ENSMUSG00000029389	chr5	+	124566380	124566113	124562682
488	ENSMUSG00000029389	chr5	+	124566845	124566833	124566495
489	ENSMUSG00000027624	chr2	+	156510735	156510732	156509307
490	ENSMUSG00000027624	chr2	+	156510756	156510732	156509307
491	ENSMUSG00000027624	chr2	+	156510756	156510735	156509307
498	ENSMUSG00000037416	chr18	+	49912642	49912606	49903028
499	ENSMUSG00000001105	chr11	+	78538833	78538811	78538738
508	ENSMUSG00000073791	chr4	+	99831392	99831389	99829454
510	ENSMUSG00000071054	chr17	+	56601055	56601047	56600971
511	ENSMUSG00000071054	chr17	+	56605556	56605550	56605399
517	ENSMUSG00000034563	chr9	+	73005654	73005640	73001875
522	ENSMUSG00000022394	chr15	+	81686991	81686939	81686321
523	ENSMUSG00000033538	chr9	+	5321425	5321257	5308914
525	ENSMUSG00000042303	chr15	+	81006406	81006403	81003870
531	ENSMUSG00000052133	chr16	+	35661568	35661565	35661462
532	ENSMUSG00000039262	chr2	+	32219216	32219213	32218759
533	ENSMUSG00000039262	chr2	+	32221083	32221079	32220176
534	ENSMUSG00000022550	chr15	+	76593435	76593430	76593309
535	ENSMUSG00000022550	chr15	+	76594363	76594152	76594051
536	ENSMUSG00000035790	chr16	+	32103883	32103850	32103044
538	ENSMUSG00000022558	chr15	+	76414261	76414218	76412980
539	ENSMUSG00000022558	chr15	+	76428243	76427511	76427216
540	ENSMUSG00000022558	chr15	+	76452448	76452427	76452349
542	ENSMUSG00000080316	chr17	+	17836108	17836084	17832139
543	ENSMUSG00000080316	chr17	+	17837669	17837664	17837586
544	ENSMUSG00000080316	chr17	+	17838338	17838315	17838243
547	ENSMUSG00000031770	chr8	+	94389523	94389520	94389433
549	ENSMUSG00000035818	chr19	+	56471700	56471697	56471043
550	ENSMUSG00000035818	chr19	+	56474140	56474137	56473264
551	ENSMUSG00000079562	chr5	+	33360369	33360351	33358622
555	ENSMUSG00000037995	chr1	+	172490660	172490654	172490443
556	ENSMUSG00000037995	chr1	+	172494477	172494405	172494214
557	ENSMUSG00000037995	chr1	+	172496179	172496150	172496067
558	ENSMUSG00000032816	chr9	+	65126757	65126754	65125422
559	ENSMUSG00000022439	chr15	+	84328863	84328761	84328359
561	ENSMUSG00000021356	chr13	+	30753447	30753444	30752779
565	ENSMUSG00000022324	chr15	+	34433089	34433032	34432751
571	ENSMUSG00000043051	chr8	+	125261016	125261014	125251065
572	ENSMUSG00000039458	chr15	+	12266611	12266606	12263897
573	ENSMUSG00000039458	chr15	+	12266611	12266606	12265711
574	ENSMUSG00000029149	chr5	+	31253097	31253093	31253002
575	ENSMUSG00000005268	chr15	+	10317507	10317502	10314273
577	ENSMUSG00000025212	chr19	+	45049106	45049103	45047890
578	ENSMUSG00000027843	chr3	+	103903377	103903369	103902191
579	ENSMUSG00000003423	chr7	+	45156305	45156292	45154540
581	ENSMUSG00000032740	chr11	+	29470317	29470314	29465738
584	ENSMUSG00000033060	chr14	+	101913239	101913158	101912160
585	ENSMUSG00000025736	chr17	+	25829997	25829941	25829853
588	ENSMUSG00000034739	chr9	+	44105404	44105386	44105282
589	ENSMUSG00000034739	chr9	+	44105404	44105386	44105300
595	ENSMUSG00000035900	chr15	+	86129649	86129619	86128713
596	ENSMUSG00000035900	chr15	+	86134880	86134785	86133759
597	ENSMUSG00000032469	chr9	+	99580244	99580138	99579442
598	ENSMUSG00000032469	chr9	+	99582390	99582316	99582102
599	ENSMUSG00000002728	chr2	+	145912392	145912366	145911763
600	ENSMUSG00000025793	chr11	+	120471527	120471479	120470127
601	ENSMUSG00000025793	chr11	+	120479089	120479086	120478754
602	ENSMUSG00000025793	chr11	+	120479236	120479086	120478754
603	ENSMUSG00000025793	chr11	+	120479236	120479089	120478754
610	ENSMUSG00000032323	chr9	+	58019292	58018193	58006555
611	ENSMUSG00000032323	chr9	+	58019292	58018193	58016429
614	ENSMUSG00000040940	chr7	+	24912309	24912056	24908424
615	ENSMUSG00000040940	chr7	+	24916803	24916800	24916053
616	ENSMUSG00000040940	chr7	+	24919183	24918519	24918000
621	ENSMUSG00000038618	chr7	+	141217028	141216999	141216851
622	ENSMUSG00000048186	chr2	+	4796532	4796529	4788575
623	ENSMUSG00000020389	chr11	+	52004912	52004909	52004417
624	ENSMUSG00000020389	chr11	+	52004912	52004909	52004327
625	ENSMUSG00000020389	chr11	+	52084373	52084370	52033611
626	ENSMUSG00000020389	chr11	+	52084373	52084370	52036020
627	ENSMUSG00000020389	chr11	+	52084373	52084370	52040620
633	ENSMUSG00000032599	chr9	+	108796670	108796654	108796572
636	ENSMUSG00000001763	chr6	+	29710589	29710586	29709998
638	ENSMUSG00000036636	chr17	+	25153731	25153560	25153154
641	ENSMUSG00000004561	chr14	+	51885403	51885387	51885304
644	ENSMUSG00000087231	chr6	+	67064612	67063394	67043918
645	ENSMUSG00000032872	chr9	+	87066686	87066648	87059451
646	ENSMUSG00000036062	chr4	+	42933778	42933615	42916829
650	ENSMUSG00000021843	chr14	+	47667300	47667295	47664315
652	ENSMUSG00000027652	chr2	+	158443303	158443237	158440971
653	ENSMUSG00000027652	chr2	+	158450188	158450176	158448449
654	ENSMUSG00000057132	chr14	+	52152202	52152065	52150493
656	ENSMUSG00000038147	chr1	+	171884587	171884584	171873439
662	ENSMUSG00000041408	chr14	+	34695004	34694986	34692734
663	ENSMUSG00000041408	chr14	+	34739311	34739230	34738020
664	ENSMUSG00000042744	chr5	+	121301768	121301741	121299643
665	ENSMUSG00000021901	chr14	+	31257625	31257288	31256791
666	ENSMUSG00000026790	chr2	+	29893037	29893000	29892276
667	ENSMUSG00000026790	chr2	+	29912568	29912565	29904107
668	ENSMUSG00000011658	chr7	+	44898515	44898502	44897624
671	ENSMUSG00000007817	chr14	+	25646734	25646716	25645857
672	ENSMUSG00000029165	chr5	+	30891105	30891059	30890770
673	ENSMUSG00000029165	chr5	+	30891157	30891059	30890770
674	ENSMUSG00000029165	chr5	+	30891157	30891105	30890770
675	ENSMUSG00000029165	chr5	+	30895768	30895765	30895199
676	ENSMUSG00000029165	chr5	+	30905108	30905017	30904815
678	ENSMUSG00000026199	chr1	+	75195599	75195568	75195256
689	ENSMUSG00000019428	chr8	+	70531524	70531521	70531273
690	ENSMUSG00000019428	chr8	+	70534482	70534387	70534194
691	ENSMUSG00000036155	chr1	+	127306636	127306633	127249839
692	ENSMUSG00000024948	chr19	+	6341766	6341743	6341516
693	ENSMUSG00000024948	chr19	+	6341769	6341743	6341516
694	ENSMUSG00000024948	chr19	+	6341902	6341743	6341516
695	ENSMUSG00000024948	chr19	+	6341769	6341766	6341516
696	ENSMUSG00000024948	chr19	+	6343487	6343460	6343386
697	ENSMUSG00000024948	chr19	+	6343971	6343801	6343523
698	ENSMUSG00000024948	chr19	+	6353277	6353260	6353190
699	ENSMUSG00000025224	chr19	+	46268419	46268390	46268116
700	ENSMUSG00000040389	chr3	+	108611359	108611355	108610043
702	ENSMUSG00000032125	chr9	+	37410699	37410678	37410489
703	ENSMUSG00000053332	chr1	+	161036207	161035982	161035804
704	ENSMUSG00000053332	chr1	+	161036548	161036207	161036014
705	ENSMUSG00000053332	chr1	+	161037504	161037287	161036852
706	ENSMUSG00000053332	chr1	+	161038456	161038224	161038037
709	ENSMUSG00000033249	chr8	+	105272809	105272705	105272584
715	ENSMUSG00000022386	chr15	+	85892621	85892566	85890327
720	ENSMUSG00000036036	chr17	+	37006058	37006049	37003315
721	ENSMUSG00000036036	chr17	+	37006058	37006049	37004903
722	ENSMUSG00000026280	chr1	+	93778284	93775627	93775234
728	ENSMUSG00000032727	chr13	+	111711688	111711685	111709807
741	ENSMUSG00000031979	chr8	+	124528977	124528975	124527165
743	ENSMUSG00000052337	chr6	+	71852762	71852729	71851880
744	ENSMUSG00000052337	chr6	+	71852765	71852729	71851880
745	ENSMUSG00000052337	chr6	+	71852765	71852762	71851880
746	ENSMUSG00000023007	chr15	+	99314598	99314577	99310035
747	ENSMUSG00000023007	chr15	+	99315190	99315111	99314980
748	ENSMUSG00000023007	chr15	+	99315482	99315479	99315286
749	ENSMUSG00000023007	chr15	+	99315834	99315722	99315581
753	ENSMUSG00000024947	chr19	+	6337481	6337478	6337281
754	ENSMUSG00000024947	chr19	+	6338825	6338282	6337688
758	ENSMUSG00000064036	chr18	+	73873223	73873220	73870047
759	ENSMUSG00000064036	chr18	+	73873223	73873220	73872064
760	ENSMUSG00000021548	chr13	+	85202440	85202332	85190876
761	ENSMUSG00000021548	chr13	+	85197530	85197350	85196325
762	ENSMUSG00000021548	chr13	+	85202440	85202332	85197561
763	ENSMUSG00000005583	chr13	+	83575537	83575534	83504376
764	ENSMUSG00000005583	chr13	+	83575537	83575534	83520480
765	ENSMUSG00000005583	chr13	+	83662402	83662306	83656352
766	ENSMUSG00000020836	chr11	+	77469378	77469375	77469287
767	ENSMUSG00000042831	chr7	+	30310027	30309985	30309559
768	ENSMUSG00000042831	chr7	+	30312505	30312236	30311900
769	ENSMUSG00000042831	chr7	+	30312590	30312236	30311900
770	ENSMUSG00000042831	chr7	+	30312590	30312505	30311900
771	ENSMUSG00000042831	chr7	+	30312590	30312505	30312388
772	ENSMUSG00000033985	chr4	+	116801452	116801448	116801244
774	ENSMUSG00000026455	chr1	+	134458465	134458427	134455665
775	ENSMUSG00000026455	chr1	+	134489015	134488934	134487742
777	ENSMUSG00000028601	chr4	+	108172750	108172738	108172175
778	ENSMUSG00000028601	chr4	+	108172879	108172738	108172175
779	ENSMUSG00000028601	chr4	+	108172879	108172750	108172175
780	ENSMUSG00000025231	chr19	+	46453161	46453158	46450963
781	ENSMUSG00000058740	chr2	+	25903364	25903358	25901990
782	ENSMUSG00000058740	chr2	+	25907274	25907256	25906835
783	ENSMUSG00000058740	chr2	+	25911108	25911025	25910286
784	ENSMUSG00000044081	chr13	+	67752987	67752953	67729702
785	ENSMUSG00000034059	chr2	+	84737419	84737063	84736965
787	ENSMUSG00000053062	chr16	+	84818759	84818757	84816373
788	ENSMUSG00000022214	chr14	+	55561235	55561074	55560975
789	ENSMUSG00000022214	chr14	+	55562946	55562891	55561442
791	ENSMUSG00000021555	chr13	+	59625463	59625418	59624603
792	ENSMUSG00000037605	chr5	+	81309872	81309870	81197631
794	ENSMUSG00000024160	chr17	+	24890832	24890567	24890460
795	ENSMUSG00000024160	chr17	+	24891359	24891304	24891136
796	ENSMUSG00000044308	chr2	+	69917079	69917076	69914553
797	ENSMUSG00000044308	chr2	+	69955966	69955964	69954361
799	ENSMUSG00000021481	chr13	+	55115482	55115479	55113139
800	ENSMUSG00000021481	chr13	+	55122329	55122281	55113139
801	ENSMUSG00000021481	chr13	+	55115482	55115479	55113770
802	ENSMUSG00000021481	chr13	+	55122329	55122281	55115624
803	ENSMUSG00000022216	chr14	+	55579803	55579770	55579627
804	ENSMUSG00000022216	chr14	+	55579930	55579770	55579627
805	ENSMUSG00000022216	chr14	+	55580743	55580594	55580427
806	ENSMUSG00000022216	chr14	+	55580782	55580743	55580663
813	ENSMUSG00000036639	chr5	+	140332422	140332394	140331955
814	ENSMUSG00000015656	chr9	+	40802795	40802738	40802623
819	ENSMUSG00000037851	chr13	+	49708409	49708405	49706805
820	ENSMUSG00000053477	chr18	+	69564036	69564033	69465447
821	ENSMUSG00000053477	chr18	+	69564036	69564033	69520026
