	GeneID	chr	strand	SeStart	SeEnd	upstreamEnd	DownstreamStart
78	ENSMUSG00000047757	chrX	+	164992730	164992894	164987797	164995343
79	ENSMUSG00000031382	chrX	+	164438006	164438219	164437225	164445728
80	ENSMUSG00000031382	chrX	+	164450454	164450562	164445808	164452898
81	ENSMUSG00000031382	chrX	+	164454387	164454522	164453049	164455796
82	ENSMUSG00000031380	chrX	+	164385803	164386029	164373919	164391601
83	ENSMUSG00000031380	chrX	+	164385803	164386029	164373919	164394432
84	ENSMUSG00000031380	chrX	+	164391601	164391792	164373919	164394432
85	ENSMUSG00000031380	chrX	+	164391601	164391792	164386029	164394432
86	ENSMUSG00000031367	chrX	+	163916474	163916583	163911507	163917705
87	ENSMUSG00000031367	chrX	+	163920905	163921000	163917843	163931362
88	ENSMUSG00000031367	chrX	+	163920905	163921000	163917843	163932132
89	ENSMUSG00000031367	chrX	+	163931362	163931371	163917843	163932132
90	ENSMUSG00000031367	chrX	+	163931362	163931371	163921000	163932132
91	ENSMUSG00000031360	chrX	+	162902575	162902676	162901914	162903433
92	ENSMUSG00000031360	chrX	+	162902575	162902676	162901914	162910008
93	ENSMUSG00000031360	chrX	+	162903433	162903638	162901394	162910008
94	ENSMUSG00000031360	chrX	+	162903433	162903638	162901839	162910008
95	ENSMUSG00000031360	chrX	+	162903433	162903638	162901747	162910008
96	ENSMUSG00000031360	chrX	+	162903433	162903638	162901914	162910008
97	ENSMUSG00000031360	chrX	+	162903433	162903638	162902380	162910008
98	ENSMUSG00000031360	chrX	+	162913207	162913308	162910179	162921198
99	ENSMUSG00000031360	chrX	+	162931626	162931759	162927556	162934286
100	ENSMUSG00000031360	chrX	+	162975182	162975279	162941844	162996704
101	ENSMUSG00000031360	chrX	+	163000061	163000158	162996760	163011061
102	ENSMUSG00000031360	chrX	+	163011061	163011206	162975279	163029766
103	ENSMUSG00000031360	chrX	+	163011061	163011206	163000158	163029766
112	ENSMUSG00000031295	chrX	+	160502746	160502904	160502292	160523271
113	ENSMUSG00000031295	chrX	+	160502752	160502904	160502292	160523271
114	ENSMUSG00000031295	chrX	+	160523271	160523430	160502904	160527729
115	ENSMUSG00000031295	chrX	+	160528846	160529015	160527777	160529914
116	ENSMUSG00000031295	chrX	+	160543633	160543687	160541515	160544211
117	ENSMUSG00000031295	chrX	+	160552712	160552820	160549270	160554300
118	ENSMUSG00000031295	chrX	+	160582966	160582996	160581279	160584463
119	ENSMUSG00000031295	chrX	+	160584463	160584517	160581279	160586778
120	ENSMUSG00000031295	chrX	+	160588964	160589018	160586949	160590167
121	ENSMUSG00000031295	chrX	+	160588964	160589018	160586949	160590938
122	ENSMUSG00000031295	chrX	+	160590165	160590368	160589018	160590938
123	ENSMUSG00000031295	chrX	+	160590167	160590368	160586949	160590938
124	ENSMUSG00000031295	chrX	+	160590167	160590368	160589018	160590938
125	ENSMUSG00000031298	chrX	+	160434772	160434902	160430394	160438194
126	ENSMUSG00000031298	chrX	+	160456004	160456037	160438313	160461342
127	ENSMUSG00000031298	chrX	+	160463327	160463369	160461381	160465577
128	ENSMUSG00000031298	chrX	+	160477048	160477440	160475557	160478984
129	ENSMUSG00000031298	chrX	+	160478984	160479147	160475557	160480226
130	ENSMUSG00000044150	chrX	+	159555474	159555650	159553894	159557442
131	ENSMUSG00000067194	chrX	+	159376380	159376464	159372415	159377458
132	ENSMUSG00000031309	chrX	+	159278109	159278203	159256188	159279166
133	ENSMUSG00000031309	chrX	+	159278109	159278203	159256188	159285265
134	ENSMUSG00000031309	chrX	+	159279166	159279203	159256188	159285265
135	ENSMUSG00000031309	chrX	+	159279166	159279203	159278203	159285265
136	ENSMUSG00000031309	chrX	+	159285265	159285322	159256188	159311463
137	ENSMUSG00000031309	chrX	+	159285265	159285322	159256188	159326840
138	ENSMUSG00000031309	chrX	+	159327771	159327851	159326921	159330557
139	ENSMUSG00000031309	chrX	+	159328370	159328477	159327851	159330557
140	ENSMUSG00000031309	chrX	+	159332150	159332221	159330929	159336694
153	ENSMUSG00000046550	chrX	+	153832434	153832548	153832329	153833190
154	ENSMUSG00000086316	chrX	+	153725704	153725841	153723937	153741039
155	ENSMUSG00000086316	chrX	+	153728861	153728939	153725841	153741039
157	ENSMUSG00000041658	chrX	+	153148451	153148535	153144075	153150361
158	ENSMUSG00000041658	chrX	+	153158194	153158290	153153353	153160401
159	ENSMUSG00000041658	chrX	+	153160401	153160524	153153353	153163077
164	ENSMUSG00000084885	chrX	+	152382458	152382530	152370022	152385644
165	ENSMUSG00000084885	chrX	+	152385644	152385752	152370022	152403312
166	ENSMUSG00000084885	chrX	+	152385644	152385752	152370022	152416290
167	ENSMUSG00000084885	chrX	+	152403312	152403477	152370022	152416290
168	ENSMUSG00000084885	chrX	+	152403312	152403477	152385752	152416290
175	ENSMUSG00000025332	chrX	+	152239629	152239752	152237710	152240025
176	ENSMUSG00000025332	chrX	+	152253423	152253605	152248820	152253698
177	ENSMUSG00000025332	chrX	+	152253698	152253861	152248820	152261936
178	ENSMUSG00000025332	chrX	+	152267894	152268000	152267230	152268764
179	ENSMUSG00000025332	chrX	+	152269714	152269853	152269123	152270351
180	ENSMUSG00000025332	chrX	+	152270693	152270831	152270531	152271011
181	ENSMUSG00000025332	chrX	+	152271859	152271929	152271593	152272074
182	ENSMUSG00000025332	chrX	+	152271859	152271938	152271593	152272074
183	ENSMUSG00000041133	chrX	+	152037369	152037486	152036478	152037590
184	ENSMUSG00000041133	chrX	+	152047857	152047968	152041468	152058778
185	ENSMUSG00000041133	chrX	+	152058778	152058935	152047968	152059357
186	ENSMUSG00000025261	chrX	+	151801153	151801366	151800946	151803175
187	ENSMUSG00000025261	chrX	+	151803755	151803802	151803569	151804445
188	ENSMUSG00000025261	chrX	+	151804445	151804540	151803569	151806271
189	ENSMUSG00000025261	chrX	+	151804445	151804540	151803569	151806275
190	ENSMUSG00000025261	chrX	+	151804445	151804540	151803802	151806271
191	ENSMUSG00000025261	chrX	+	151804445	151804540	151803802	151806275
192	ENSMUSG00000025261	chrX	+	151806271	151806407	151800946	151806719
193	ENSMUSG00000025261	chrX	+	151806271	151806407	151801366	151806719
194	ENSMUSG00000025261	chrX	+	151806271	151806407	151803569	151806719
195	ENSMUSG00000025261	chrX	+	151806271	151806407	151803802	151806719
196	ENSMUSG00000025261	chrX	+	151806275	151806407	151800946	151806719
197	ENSMUSG00000025261	chrX	+	151806275	151806407	151801366	151806719
198	ENSMUSG00000025261	chrX	+	151806275	151806407	151803569	151806719
199	ENSMUSG00000025261	chrX	+	151806275	151806407	151803802	151806719
200	ENSMUSG00000025261	chrX	+	151806719	151806860	151801366	151835223
201	ENSMUSG00000025261	chrX	+	151806719	151806860	151803569	151835223
202	ENSMUSG00000025261	chrX	+	151835223	151835292	151806860	151840055
203	ENSMUSG00000025261	chrX	+	151836221	151836329	151835292	151840055
204	ENSMUSG00000025261	chrX	+	151859454	151859688	151857913	151860166
205	ENSMUSG00000025261	chrX	+	151871479	151871656	151870516	151874532
206	ENSMUSG00000025261	chrX	+	151906264	151906363	151905431	151906950
207	ENSMUSG00000025261	chrX	+	151906950	151907084	151905431	151908727
208	ENSMUSG00000025261	chrX	+	151907275	151907444	151907084	151908727
209	ENSMUSG00000025261	chrX	+	151921045	151921161	151920185	151921261
210	ENSMUSG00000025261	chrX	+	151927630	151927789	151924761	151928152
211	ENSMUSG00000025262	chrX	+	151381910	151381993	151376994	151399674
212	ENSMUSG00000025262	chrX	+	151428916	151429016	151399803	151429836
213	ENSMUSG00000025262	chrX	+	151429836	151429913	151399803	151430390
214	ENSMUSG00000025262	chrX	+	151457721	151457836	151436394	151463968
215	ENSMUSG00000025262	chrX	+	151463968	151464178	151457836	151465282
216	ENSMUSG00000025262	chrX	+	151465282	151465484	151457836	151467299
234	ENSMUSG00000025271	chrX	+	150589795	150590084	150589044	150608585
235	ENSMUSG00000025271	chrX	+	150589952	150590084	150589044	150608585
236	ENSMUSG00000025271	chrX	+	150620768	150620825	150613951	150622081
237	ENSMUSG00000025271	chrX	+	150625156	150625364	150622203	150628739
238	ENSMUSG00000025271	chrX	+	150635942	150636062	150634627	150639580
242	ENSMUSG00000041380	chrX	+	146981547	146981605	146963074	147072384
243	ENSMUSG00000041380	chrX	+	146986982	146987116	146981605	147072384
244	ENSMUSG00000041380	chrX	+	147075730	147076047	147072487	147169569
246	ENSMUSG00000071679	chrX	+	145101160	145101241	144690519	145109430
247	ENSMUSG00000071679	chrX	+	145109430	145109485	144690519	145116854
248	ENSMUSG00000071679	chrX	+	145117927	145117990	145116966	145119332
251	ENSMUSG00000041718	chrX	+	144319512	144319664	144318121	144320002
252	ENSMUSG00000041718	chrX	+	144323354	144323527	144322150	144324015
253	ENSMUSG00000041718	chrX	+	144339724	144339771	144339014	144340719
254	ENSMUSG00000041718	chrX	+	144347959	144348060	144346746	144349291
255	ENSMUSG00000041718	chrX	+	144351771	144351913	144351376	144352629
256	ENSMUSG00000041718	chrX	+	144355583	144355652	144353628	144356795
257	ENSMUSG00000041718	chrX	+	144364935	144364975	144364107	144367898
258	ENSMUSG00000041718	chrX	+	144367898	144367939	144364107	144369560
259	ENSMUSG00000031284	chrX	+	143528539	143528699	143518763	143693286
260	ENSMUSG00000031284	chrX	+	143665732	143665843	143518763	143693286
261	ENSMUSG00000031284	chrX	+	143665732	143665843	143664614	143693286
262	ENSMUSG00000031284	chrX	+	143671012	143671043	143665843	143693286
263	ENSMUSG00000031284	chrX	+	143672601	143672893	143671043	143693286
264	ENSMUSG00000031284	chrX	+	143693286	143693488	143518763	143709647
265	ENSMUSG00000031284	chrX	+	143693286	143693488	143664614	143709647
266	ENSMUSG00000031284	chrX	+	143709647	143709748	143664614	143713893
267	ENSMUSG00000031284	chrX	+	143712277	143712340	143709748	143713893
268	ENSMUSG00000031284	chrX	+	143712277	143712340	143709748	143715135
269	ENSMUSG00000031284	chrX	+	143713893	143713938	143709748	143715135
270	ENSMUSG00000031284	chrX	+	143713893	143713938	143712340	143715135
271	ENSMUSG00000031284	chrX	+	143789309	143789447	143775134	143791234
272	ENSMUSG00000047045	chrX	+	142682290	142682949	142681556	142752039
273	ENSMUSG00000047045	chrX	+	142682290	142682949	142681556	142770966
274	ENSMUSG00000047045	chrX	+	142682290	142682949	142681556	142805989
275	ENSMUSG00000047045	chrX	+	142682290	142682949	142681556	142832500
276	ENSMUSG00000047045	chrX	+	142682290	142682949	142681939	142752039
277	ENSMUSG00000047045	chrX	+	142752034	142752089	142682949	142770966
278	ENSMUSG00000047045	chrX	+	142752039	142752089	142681556	142770966
279	ENSMUSG00000047045	chrX	+	142752039	142752089	142682949	142770966
280	ENSMUSG00000047045	chrX	+	142770966	142771033	142681556	142805989
281	ENSMUSG00000047045	chrX	+	142770966	142771033	142681556	142832500
282	ENSMUSG00000047045	chrX	+	142770966	142771033	142682949	142805989
283	ENSMUSG00000047045	chrX	+	142770966	142771033	142682949	142832500
284	ENSMUSG00000047045	chrX	+	142805989	142806068	142681556	142832500
285	ENSMUSG00000047045	chrX	+	142805989	142806068	142682949	142832500
286	ENSMUSG00000047045	chrX	+	142805989	142806068	142771033	142832500
287	ENSMUSG00000047045	chrX	+	142834184	142834393	142832601	142841582
295	ENSMUSG00000031274	chrX	+	141558794	141558839	141545753	141571837
296	ENSMUSG00000031274	chrX	+	141576385	141576412	141576041	141578671
297	ENSMUSG00000031274	chrX	+	141618117	141618268	141616644	141626830
298	ENSMUSG00000031274	chrX	+	141656684	141656870	141655302	141666841
299	ENSMUSG00000031274	chrX	+	141658531	141658540	141656870	141664675
300	ENSMUSG00000031274	chrX	+	141658531	141658540	141656870	141666841
301	ENSMUSG00000031274	chrX	+	141664675	141664684	141656870	141666841
302	ENSMUSG00000031274	chrX	+	141664675	141664684	141658540	141666841
304	ENSMUSG00000079418	chrX	+	140988165	140988237	140986389	140990157
305	ENSMUSG00000079418	chrX	+	140988279	140988365	140986389	140990157
306	ENSMUSG00000079418	chrX	+	140994602	140994682	140993141	140995261
307	ENSMUSG00000079418	chrX	+	140995562	140995641	140995440	141158726
308	ENSMUSG00000000266	chrX	+	140693066	140693162	140678711	140736434
312	ENSMUSG00000042515	chrX	+	139218147	139218308	139213238	139231285
313	ENSMUSG00000042515	chrX	+	139218147	139218308	139217214	139231285
314	ENSMUSG00000031428	chrX	+	136993706	136993761	136993352	136993930
315	ENSMUSG00000031428	chrX	+	136993706	136993761	136993404	136993930
326	ENSMUSG00000031425	chrX	+	136831070	136831257	136822917	136831952
327	ENSMUSG00000031425	chrX	+	136831952	136832109	136822917	136833267
328	ENSMUSG00000031425	chrX	+	136831952	136832214	136822917	136833267
329	ENSMUSG00000031425	chrX	+	136833267	136833436	136832109	136834154
330	ENSMUSG00000031425	chrX	+	136833267	136833436	136832214	136834154
332	ENSMUSG00000087368	chrX	+	136743423	136743460	136741950	136744492
333	ENSMUSG00000087368	chrX	+	136743542	136743672	136743460	136744492
334	ENSMUSG00000087368	chrX	+	136756493	136756620	136747448	136758100
335	ENSMUSG00000087368	chrX	+	136759855	136759918	136758758	136760417
336	ENSMUSG00000087368	chrX	+	136759855	136759918	136758758	136761990
337	ENSMUSG00000087368	chrX	+	136760417	136760575	136758758	136761990
338	ENSMUSG00000087368	chrX	+	136760417	136760575	136759918	136761990
339	ENSMUSG00000087368	chrX	+	136760417	136760575	136759918	136788520
340	ENSMUSG00000087368	chrX	+	136761990	136762088	136759918	136788520
341	ENSMUSG00000087368	chrX	+	136761990	136762088	136760575	136788520
342	ENSMUSG00000087368	chrX	+	136788520	136788617	136762088	136802851
347	ENSMUSG00000044550	chrX	+	136592858	136592963	136590931	136639726
348	ENSMUSG00000044550	chrX	+	136592905	136592963	136590931	136667123
349	ENSMUSG00000044550	chrX	+	136594201	136594250	136592963	136639726
350	ENSMUSG00000044550	chrX	+	136594201	136594250	136592963	136644994
351	ENSMUSG00000044550	chrX	+	136594201	136594250	136592963	136667123
352	ENSMUSG00000044550	chrX	+	136639726	136639846	136592963	136644994
353	ENSMUSG00000044550	chrX	+	136639726	136639846	136592963	136667123
354	ENSMUSG00000044550	chrX	+	136639726	136639846	136594250	136644994
355	ENSMUSG00000044550	chrX	+	136639726	136639846	136594250	136645745
356	ENSMUSG00000044550	chrX	+	136639726	136639846	136594250	136667123
357	ENSMUSG00000044550	chrX	+	136645745	136645867	136594250	136667123
358	ENSMUSG00000044550	chrX	+	136645745	136645867	136639846	136667123
359	ENSMUSG00000044550	chrX	+	136667059	136667190	136666555	136667510
360	ENSMUSG00000044550	chrX	+	136667123	136667190	136666555	136667510
361	ENSMUSG00000046432	chrX	+	136270809	136270882	136270401	136271308
362	ENSMUSG00000072966	chrX	+	135839744	135839872	135839262	135839996
363	ENSMUSG00000072966	chrX	+	135839744	135839872	135839262	135840392
364	ENSMUSG00000072966	chrX	+	135839782	135839872	135839262	135840392
365	ENSMUSG00000072966	chrX	+	135840852	135840924	135840690	135841220
366	ENSMUSG00000043384	chrX	+	135743562	135743614	135742978	135744498
367	ENSMUSG00000043384	chrX	+	135743441	135743522	135742978	135744498
368	ENSMUSG00000043384	chrX	+	135796141	135796336	135752017	135796948
369	ENSMUSG00000043384	chrX	+	135796141	135796336	135752017	135797552
370	ENSMUSG00000043384	chrX	+	135796141	135796336	135752017	135797787
371	ENSMUSG00000043384	chrX	+	135796948	135797037	135752017	135797552
372	ENSMUSG00000043384	chrX	+	135796948	135797037	135752017	135797787
373	ENSMUSG00000043384	chrX	+	135796948	135797037	135796336	135797552
374	ENSMUSG00000043384	chrX	+	135796948	135797037	135796336	135797787
375	ENSMUSG00000043384	chrX	+	135797552	135797629	135752017	135797787
376	ENSMUSG00000043384	chrX	+	135797552	135797629	135796336	135797787
377	ENSMUSG00000043384	chrX	+	135797552	135797629	135797037	135797787
378	ENSMUSG00000043384	chrX	+	135797787	135797864	135752017	135798390
379	ENSMUSG00000043384	chrX	+	135797787	135797864	135797629	135798022
380	ENSMUSG00000043384	chrX	+	135798022	135798094	135797864	135798390
384	ENSMUSG00000049047	chrX	+	134757235	134757342	134756730	134757731
385	ENSMUSG00000049047	chrX	+	134757263	134757342	134756730	134757731
388	ENSMUSG00000049804	chrX	+	134687147	134687225	134686637	134688016
389	ENSMUSG00000049804	chrX	+	134688016	134688106	134687225	134688449
390	ENSMUSG00000049804	chrX	+	134688449	134688532	134688106	134688819
391	ENSMUSG00000045427	chrX	+	134602691	134602762	134601333	134604854
392	ENSMUSG00000045427	chrX	+	134602917	134602962	134602762	134604854
393	ENSMUSG00000079435	chrX	+	134586510	134586578	134586183	134587450
394	ENSMUSG00000079435	chrX	+	134586511	134586578	134586183	134587450
402	ENSMUSG00000031256	chrX	+	134060643	134060722	134059422	134060944
403	ENSMUSG00000031256	chrX	+	134061693	134061830	134061114	134062367
404	ENSMUSG00000031256	chrX	+	134072414	134072474	134069907	134073135
405	ENSMUSG00000031256	chrX	+	134072414	134072474	134069907	134073213
406	ENSMUSG00000031256	chrX	+	134072677	134072764	134072474	134073135
407	ENSMUSG00000031256	chrX	+	134072677	134072764	134072474	134073213
412	ENSMUSG00000034480	chrX	+	129801394	129801427	129750116	129804012
413	ENSMUSG00000034480	chrX	+	129825926	129825947	129821343	129902899
414	ENSMUSG00000034480	chrX	+	129902899	129903039	129825947	129939244
415	ENSMUSG00000079450	chrX	+	123117453	123117569	123103637	123142609
416	ENSMUSG00000079450	chrX	+	123122897	123122938	123117569	123142609
417	ENSMUSG00000034755	chrX	+	120364785	120365369	120290651	120399401
418	ENSMUSG00000034755	chrX	+	120594704	120594785	120401897	120637594
419	ENSMUSG00000034755	chrX	+	120637594	120637624	120594785	120726500
420	ENSMUSG00000034755	chrX	+	120726500	120726699	120594785	120905697
421	ENSMUSG00000034755	chrX	+	120811139	120811163	120726699	120899554
422	ENSMUSG00000034755	chrX	+	120811139	120811163	120726699	120905697
423	ENSMUSG00000034755	chrX	+	120899554	120899700	120726699	120905697
424	ENSMUSG00000034755	chrX	+	120899554	120899700	120811163	120905697
425	ENSMUSG00000025597	chrX	+	114521614	114521779	114474845	114525631
426	ENSMUSG00000025597	chrX	+	114522298	114522435	114521779	114525631
427	ENSMUSG00000025597	chrX	+	114525631	114525828	114474845	114530022
428	ENSMUSG00000025597	chrX	+	114525631	114525828	114522435	114530022
429	ENSMUSG00000025597	chrX	+	114530022	114530154	114525828	114543001
430	ENSMUSG00000025597	chrX	+	114530022	114530235	114525828	114543001
431	ENSMUSG00000025592	chrX	+	113452457	113452496	113298077	113556247
432	ENSMUSG00000025592	chrX	+	113452457	113452496	113298935	113556247
433	ENSMUSG00000025592	chrX	+	113765785	113765875	113752903	113814842
434	ENSMUSG00000025592	chrX	+	113819948	113820014	113817769	113835398
435	ENSMUSG00000025529	chrX	+	112624738	112624876	112624107	112628103
436	ENSMUSG00000025529	chrX	+	112627169	112627304	112624876	112628103
437	ENSMUSG00000025529	chrX	+	112628103	112628148	112624876	112631825
438	ENSMUSG00000025525	chrX	+	112333800	112333905	112311436	112346237
439	ENSMUSG00000025525	chrX	+	112364156	112364270	112354252	112364461
450	ENSMUSG00000073007	chrX	+	107823408	107823479	107819755	107862956
451	ENSMUSG00000031241	chrX	+	107677605	107677777	107677037	107678551
452	ENSMUSG00000031241	chrX	+	107678551	107678653	107677037	107680107
453	ENSMUSG00000073010	chrX	+	106703863	106704021	106674666	106709075
454	ENSMUSG00000073010	chrX	+	106708734	106708833	106674666	106709075
455	ENSMUSG00000062070	chrX	+	106197841	106197961	106196946	106199646
456	ENSMUSG00000062070	chrX	+	106202438	106202616	106200336	106202836
478	ENSMUSG00000031226	chrX	+	105081937	105082078	105081430	105082693
485	ENSMUSG00000073016	chrX	+	104495735	104495778	104483349	104498274
486	ENSMUSG00000073016	chrX	+	104495735	104495778	104483349	104499403
487	ENSMUSG00000073016	chrX	+	104498274	104498344	104483349	104499403
488	ENSMUSG00000073016	chrX	+	104498274	104498344	104495778	104499403
489	ENSMUSG00000097571	chrX	+	103496437	103496530	103493700	103502859
505	ENSMUSG00000079481	chrX	+	102073351	102073479	102005143	102076161
506	ENSMUSG00000079481	chrX	+	102073351	102073479	102071479	102076161
507	ENSMUSG00000079481	chrX	+	102073781	102073974	102073479	102076161
508	ENSMUSG00000079481	chrX	+	102076161	102076293	102005143	102077481
509	ENSMUSG00000079481	chrX	+	102076161	102076293	102051016	102077481
510	ENSMUSG00000079481	chrX	+	102076161	102076293	102071479	102077481
512	ENSMUSG00000034160	chrX	+	101642975	101643156	101640322	101643946
513	ENSMUSG00000034160	chrX	+	101643005	101643156	101640322	101643946
514	ENSMUSG00000034160	chrX	+	101643946	101644190	101640322	101652139
515	ENSMUSG00000034160	chrX	+	101663358	101663554	101661331	101663842
516	ENSMUSG00000034160	chrX	+	101667515	101667617	101667431	101667979
517	ENSMUSG00000034160	chrX	+	101669756	101669915	101668159	101672447
518	ENSMUSG00000034160	chrX	+	101670030	101670120	101669915	101672447
519	ENSMUSG00000034160	chrX	+	101673042	101673213	101672573	101673322
520	ENSMUSG00000034160	chrX	+	101673322	101673439	101673213	101673541
521	ENSMUSG00000034160	chrX	+	101679223	101679347	101678961	101682155
522	ENSMUSG00000031314	chrX	+	101540759	101541001	101539187	101542463
523	ENSMUSG00000031314	chrX	+	101540822	101541001	101539187	101542463
524	ENSMUSG00000031314	chrX	+	101543947	101544155	101543269	101546958
525	ENSMUSG00000031314	chrX	+	101568458	101568557	101567525	101569794
526	ENSMUSG00000031314	chrX	+	101578371	101578456	101578292	101589947
538	ENSMUSG00000031302	chrX	+	101301784	101302431	101299296	101303071
539	ENSMUSG00000031302	chrX	+	101301784	101302431	101299296	101307074
540	ENSMUSG00000031302	chrX	+	101301784	101302431	101299296	101308756
541	ENSMUSG00000031302	chrX	+	101302287	101302431	101299296	101307074
542	ENSMUSG00000031302	chrX	+	101303071	101303131	101299296	101307074
543	ENSMUSG00000031302	chrX	+	101303071	101303131	101302431	101307074
544	ENSMUSG00000031302	chrX	+	101307074	101307134	101299296	101308756
545	ENSMUSG00000031302	chrX	+	101307074	101307134	101302431	101308756
546	ENSMUSG00000031302	chrX	+	101308756	101308906	101302431	101315131
547	ENSMUSG00000079487	chrX	+	101279344	101279471	101278559	101280555
548	ENSMUSG00000079487	chrX	+	101282049	101282100	101281882	101282400
549	ENSMUSG00000079487	chrX	+	101291194	101291356	101290460	101292543
558	ENSMUSG00000019359	chrX	+	100733373	100733472	100733131	100733645
559	ENSMUSG00000019359	chrX	+	100737750	100737833	100737612	100738116
560	ENSMUSG00000034311	chrX	+	100717936	100718035	100717408	100718493
564	ENSMUSG00000031216	chrX	+	99063364	99063446	99060799	99064393
565	ENSMUSG00000031216	chrX	+	99063364	99063446	99060799	99065557
566	ENSMUSG00000031216	chrX	+	99064393	99064457	99060799	99065557
567	ENSMUSG00000031216	chrX	+	99064393	99064457	99063446	99065557
568	ENSMUSG00000031216	chrX	+	99071273	99071498	99070336	99072433
569	ENSMUSG00000046532	chrX	+	98251685	98251837	98151334	98286588
570	ENSMUSG00000046532	chrX	+	98286588	98286705	98251837	98305236
571	ENSMUSG00000031209	chrX	+	96459574	96459769	96456615	96462890
575	ENSMUSG00000035045	chrX	+	95778894	95778969	95741971	95898264
576	ENSMUSG00000035045	chrX	+	95924444	95924679	95922492	95925263
579	ENSMUSG00000043929	chrX	+	94238048	94238157	94235420	94241944
580	ENSMUSG00000043929	chrX	+	94241944	94241995	94235420	94252414
581	ENSMUSG00000043929	chrX	+	94241944	94241995	94235919	94252414
582	ENSMUSG00000043929	chrX	+	94252414	94253126	94235420	94272355
589	ENSMUSG00000000881	chrX	+	100771306	100771360	100768428	100771614
590	ENSMUSG00000000881	chrX	+	100772366	100772536	100772181	100772822
591	ENSMUSG00000000881	chrX	+	100808052	100808152	100807255	100809861
592	ENSMUSG00000000881	chrX	+	100808052	100808152	100807255	100811501
593	ENSMUSG00000000881	chrX	+	100809861	100809907	100807255	100811501
594	ENSMUSG00000000881	chrX	+	100809861	100809907	100808152	100811501
595	ENSMUSG00000000881	chrX	+	100809861	100809907	100808152	100812725
596	ENSMUSG00000000881	chrX	+	100811501	100811543	100808152	100812725
597	ENSMUSG00000000881	chrX	+	100811501	100811543	100809907	100812725
598	ENSMUSG00000000881	chrX	+	100811501	100811543	100809907	100813336
599	ENSMUSG00000000881	chrX	+	100812725	100812776	100809907	100813336
600	ENSMUSG00000000881	chrX	+	100812725	100812776	100811543	100813336
605	ENSMUSG00000033460	chrX	+	134718369	134718461	134718050	134718655
606	ENSMUSG00000033460	chrX	+	134718369	134718461	134718050	134718725
607	ENSMUSG00000033460	chrX	+	134718369	134718461	134718050	134718919
608	ENSMUSG00000033460	chrX	+	134718369	134718818	134718050	134718919
609	ENSMUSG00000033460	chrX	+	134718655	134718818	134718050	134718919
