refseq_mrna_predicted	ensembl_transcript_id
XM_006519227	ENSMUST00000121091
XM_006519958	ENSMUST00000162585
XM_006520117	ENSMUST00000065308
XM_006520188	ENSMUST00000090339
XM_006520592	ENSMUST00000000500
XM_006521114	ENSMUST00000164932
XM_006521385	ENSMUST00000022908
XM_006521393	ENSMUST00000022953
XM_006521952	ENSMUST00000227756
XM_006521957	ENSMUST00000038053
XM_006521979	ENSMUST00000009241
XM_006522212	ENSMUST00000079158
XM_006522931	ENSMUST00000064797
XM_006522934	ENSMUST00000064797
XM_006522965	ENSMUST00000023600
XM_006522968	ENSMUST00000072182
XM_006523208	ENSMUST00000080283
XM_006523407	ENSMUST00000137386
XM_006523717	ENSMUST00000035471
XM_006523744	ENSMUST00000152455
XM_006524083	ENSMUST00000227120
XM_006524398	ENSMUST00000097284
XM_006524420	ENSMUST00000124543
XM_006524481	ENSMUST00000121226
XM_006524697	ENSMUST00000025170
XM_006526084	ENSMUST00000025228
XM_006526086	ENSMUST00000063775
XM_006526330	ENSMUST00000234812
XM_006526715	ENSMUST00000236990
XM_006526763	ENSMUST00000025800
XM_006527217	ENSMUST00000182276
XM_006527419	ENSMUST00000172175
XM_006527470	ENSMUST00000162528
XM_006527511	ENSMUST00000187467
XM_006527578	ENSMUST00000115677
XM_006527718	ENSMUST00000101339
XM_006527903	ENSMUST00000004326
XM_006528040	ENSMUST00000068451
XM_006528546	ENSMUST00000096313
XM_006528763	ENSMUST00000112334
XM_006528766	ENSMUST00000087085
XM_006529084	ENSMUST00000048432
XM_006529169	ENSMUST00000195275
XM_006529347	ENSMUST00000191418
XM_006529362	ENSMUST00000086521
XM_006529365	ENSMUST00000212510
XM_006529433	ENSMUST00000064679
XM_006529531	ENSMUST00000077730
XM_006529702	ENSMUST00000094698
XM_006530323	ENSMUST00000199808
XM_006530629	ENSMUST00000211903
XM_006531111	ENSMUST00000212161
XM_006531287	ENSMUST00000034313
XM_006532095	ENSMUST00000108076
XM_006532132	ENSMUST00000019734
XM_006532542	ENSMUST00000074875
XM_006533500	ENSMUST00000061469
XM_006533559	ENSMUST00000108659
XM_006533706	ENSMUST00000173655
XM_006533744	ENSMUST00000106354
XM_006533907	ENSMUST00000108515
XM_006534150	ENSMUST00000132685
XM_006534320	ENSMUST00000064104
XM_006534921	ENSMUST00000200214
XM_006535467	ENSMUST00000064718
XM_006535632	ENSMUST00000036092
XM_006535780	ENSMUST00000160246
XM_006536192	ENSMUST00000121184
XM_006537659	ENSMUST00000084578
XM_006537951	ENSMUST00000119374
XM_006538216	ENSMUST00000030110
XM_006538241	ENSMUST00000102823
XM_006538575	ENSMUST00000030547
XM_006538996	ENSMUST00000038661
XM_006539251	ENSMUST00000103176
XM_006539765	ENSMUST00000117550
XM_006539944	ENSMUST00000208330
XM_006539984	ENSMUST00000171749
XM_006540567	ENSMUST00000124899
XM_006540700	ENSMUST00000032633
XM_006540936	ENSMUST00000205506
XM_006541300	ENSMUST00000183659
XM_006541432	ENSMUST00000077775
XM_011238831	ENSMUST00000147604
XM_011238972	ENSMUST00000115066
XM_011239295	ENSMUST00000099576
XM_011240189	ENSMUST00000144344
XM_011240201	ENSMUST00000107802
XM_011240786	ENSMUST00000121010
XM_011241208	ENSMUST00000081028
XM_011241591	ENSMUST00000111728
XM_011242453	ENSMUST00000159569
XM_011242566	ENSMUST00000086361
XM_011243280	ENSMUST00000170054
XM_011243665	ENSMUST00000020702
XM_011243752	ENSMUST00000020699
XM_011244212	ENSMUST00000162159
XM_011244410	ENSMUST00000177530
XM_011244923	ENSMUST00000054661
XM_011245345	ENSMUST00000075132
XM_011245660	ENSMUST00000078673
XM_011245829	ENSMUST00000167778
XM_011246723	ENSMUST00000182485
XM_011247155	ENSMUST00000025705
XM_011247256	ENSMUST00000068156
XM_011247734	ENSMUST00000087541
XM_011247851	ENSMUST00000152426
XM_011247974	ENSMUST00000148201
XM_011248051	ENSMUST00000074783
XM_011248400	ENSMUST00000167294
XM_011248619	ENSMUST00000056129
XM_011249156	ENSMUST00000076493
XM_011249243	ENSMUST00000021311
XM_011249323	ENSMUST00000006103
XM_011249376	ENSMUST00000153273
XM_011250132	ENSMUST00000065111
XM_011250242	ENSMUST00000030898
XM_011250827	ENSMUST00000179243
XM_017312305	ENSMUST00000205671
XM_017312397	ENSMUST00000184945
XM_017312616	ENSMUST00000047714
XM_017312829	ENSMUST00000109242
XM_017312849	ENSMUST00000073149
XM_017313223	ENSMUST00000213392
XM_017313488	ENSMUST00000152459
XM_017314148	ENSMUST00000183156
XM_017314276	ENSMUST00000106554
XM_017314488	ENSMUST00000044152
XM_017314513	ENSMUST00000058902
XM_017314590	ENSMUST00000108829
XM_017315845	ENSMUST00000095529
XM_017315911	ENSMUST00000173780
XM_017316084	ENSMUST00000182964
XM_017316545	ENSMUST00000075132
XM_017316634	ENSMUST00000047348
XM_017316667	ENSMUST00000208854
XM_017316701	ENSMUST00000045766
XM_017317086	ENSMUST00000023435
XM_017317470	ENSMUST00000080905
XM_017317723	ENSMUST00000062519
XM_017317886	ENSMUST00000040506
XM_017318044	ENSMUST00000238954
XM_017318074	ENSMUST00000176018
XM_017318201	ENSMUST00000025986
XM_017318448	ENSMUST00000056725
XM_017319069	ENSMUST00000059825
XM_017320088	ENSMUST00000030490
XM_017320414	ENSMUST00000094761
XM_017320641	ENSMUST00000102560
XM_017320796	ENSMUST00000120129
XM_017321144	ENSMUST00000111164
XM_017321194	ENSMUST00000288627
XM_017321732	ENSMUST00000113753
XM_017322179	ENSMUST00000205276
XM_017322218	ENSMUST00000077609
XM_017322376	ENSMUST00000066873
XM_017322395	ENSMUST00000084513
XM_006495701	ENSMUST00000114510
XM_006495730	ENSMUST00000108044
XM_006495779	ENSMUST00000081154
XM_006496225	ENSMUST00000042125
XM_006496717	ENSMUST00000027871
XM_006496753	ENSMUST00000078308
XM_006497179	ENSMUST00000110974
XM_006497500	ENSMUST00000041105
XM_006497505	ENSMUST00000071564
XM_006497511	ENSMUST00000026927
XM_006497526	ENSMUST00000028105
XM_006497672	ENSMUST00000113952
XM_006497794	ENSMUST00000062069
XM_006498414	ENSMUST00000132484
XM_006498606	ENSMUST00000028781
XM_006498747	ENSMUST00000103234
XM_006498992	ENSMUST00000168621
XM_006499620	ENSMUST00000109125
XM_006499672	ENSMUST00000109339
XM_006500068	ENSMUST00000066640
XM_006500108	ENSMUST00000076463
XM_006500477	ENSMUST00000089027
XM_006500512	ENSMUST00000154193
XM_006500690	ENSMUST00000103053
XM_006500836	ENSMUST00000199300
XM_006501252	ENSMUST00000098873
XM_006501352	ENSMUST00000038942
XM_006501869	ENSMUST00000173135
XM_006501917	ENSMUST00000107802
XM_006501943	ENSMUST00000029382
XM_006501977	ENSMUST00000041913
XM_006502038	ENSMUST00000047923
XM_006502056	ENSMUST00000090178
XM_006502814	ENSMUST00000003828
XM_006503006	ENSMUST00000106525
XM_006503482	ENSMUST00000084289
XM_006503560	ENSMUST00000054865
XM_006503584	ENSMUST00000030691
XM_006503661	ENSMUST00000114399
XM_006503899	ENSMUST00000050709
XM_006504163	ENSMUST00000094833
XM_006504365	ENSMUST00000111103
XM_006504374	ENSMUST00000111288
XM_006504828	ENSMUST00000047257
XM_006505149	ENSMUST00000123098
XM_006505263	ENSMUST00000113438
XM_006505602	ENSMUST00000161779
XM_006505603	ENSMUST00000160962
XM_006505972	ENSMUST00000205228
XM_006506326	ENSMUST00000038907
XM_006506528	ENSMUST00000054351
XM_006507187	ENSMUST00000080817
XM_006507212	ENSMUST00000032902
XM_006507719	ENSMUST00000098048
XM_006508226	ENSMUST00000122116
XM_006508293	ENSMUST00000032879
XM_006508607	ENSMUST00000182226
XM_006508646	ENSMUST00000150867
XM_006509120	ENSMUST00000118896
XM_006509312	ENSMUST00000026021
XM_006509313	ENSMUST00000095326
XM_006509442	ENSMUST00000170263
XM_006509522	ENSMUST00000068999
XM_006510703	ENSMUST00000074989
XM_006510797	ENSMUST00000121227
XM_006511016	ENSMUST00000165607
XM_006511328	ENSMUST00000113250
XM_006511433	ENSMUST00000215784
XM_006511441	ENSMUST00000217550
XM_006511964	ENSMUST00000163979
XM_006512574	ENSMUST00000099934
XM_006512723	ENSMUST00000039484
XM_006512740	ENSMUST00000044053
XM_006512770	ENSMUST00000167488
XM_006513845	ENSMUST00000219817
XM_006514025	ENSMUST00000020365
XM_006514083	ENSMUST00000165028
XM_006514117	ENSMUST00000166088
XM_006514533	ENSMUST00000142396
XM_006514700	ENSMUST00000003459
XM_006515047	ENSMUST00000064595
XM_006515642	ENSMUST00000223272
XM_006515771	ENSMUST00000223502
XM_006515872	ENSMUST00000219063
XM_006515939	ENSMUST00000101432
XM_006516071	ENSMUST00000047357
XM_006516156	ENSMUST00000021331
XM_006516204	ENSMUST00000193053
XM_006516261	ENSMUST00000011302
XM_006516628	ENSMUST00000006391
XM_006517336	ENSMUST00000022040
XM_006517686	ENSMUST00000042517
XM_006517727	ENSMUST00000099241
XM_006518480	ENSMUST00000223803
XM_006518619	ENSMUST00000224503
XM_006518678	ENSMUST00000081857
XM_006518919	ENSMUST00000045976
XM_006519136	ENSMUST00000096000
XM_006519137	ENSMUST00000096000
XM_006519139	ENSMUST00000096000
XM_006519542	ENSMUST00000153488
XM_006520003	ENSMUST00000061656
XM_006520035	ENSMUST00000124470
XM_006520050	ENSMUST00000090247
XM_006520355	ENSMUST00000016902
XM_006520617	ENSMUST00000100249
XM_006521527	ENSMUST00000089770
XM_006521799	ENSMUST00000004222
XM_006521816	ENSMUST00000230703
XM_006522647	ENSMUST00000023344
XM_006522735	ENSMUST00000054034
XM_006522856	ENSMUST00000099512
XM_006522883	ENSMUST00000023572
XM_006522884	ENSMUST00000114229
XM_006523509	ENSMUST00000112352
XM_006524083	ENSMUST00000227120
XM_006524177	ENSMUST00000233283
XM_006524179	ENSMUST00000097288
XM_006524258	ENSMUST00000053896
XM_006524393	ENSMUST00000162854
XM_006524432	ENSMUST00000047098
XM_006524681	ENSMUST00000173033
XM_006525022	ENSMUST00000039734
XM_006525485	ENSMUST00000025992
XM_006525741	ENSMUST00000120223
XM_006526235	ENSMUST00000069597
XM_006526346	ENSMUST00000025208
XM_006526525	ENSMUST00000036229
XM_006526715	ENSMUST00000236990
XM_006527056	ENSMUST00000200910
XM_006527078	ENSMUST00000009522
XM_006527379	ENSMUST00000066285
XM_006527673	ENSMUST00000115675
XM_006527855	ENSMUST00000048962
XM_006528022	ENSMUST00000114438
XM_006528166	ENSMUST00000063577
XM_006528541	ENSMUST00000113043
XM_006528628	ENSMUST00000113154
XM_006528792	ENSMUST00000112819
XM_006529057	ENSMUST00000038361
XM_006529286	ENSMUST00000066427
XM_006529358	ENSMUST00000190997
XM_006529366	ENSMUST00000212510
XM_006529557	ENSMUST00000169295
XM_006529614	ENSMUST00000112844
XM_006529716	ENSMUST00000168527
XM_006529782	ENSMUST00000004565
XM_006529831	ENSMUST00000027592
XM_006529903	ENSMUST00000138762
XM_006531054	ENSMUST00000060632
XM_006531127	ENSMUST00000131717
XM_006531196	ENSMUST00000077440
XM_006531533	ENSMUST00000162907
XM_006531996	ENSMUST00000021045
XM_006532132	ENSMUST00000019734
XM_006532244	ENSMUST00000021259
XM_006532270	ENSMUST00000106203
XM_006532348	ENSMUST00000173727
XM_006532353	ENSMUST00000080461
XM_006532406	ENSMUST00000100335
XM_006532702	ENSMUST00000039627
XM_006532819	ENSMUST00000169547
XM_006532850	ENSMUST00000020830
XM_006533105	ENSMUST00000208602
XM_006533286	ENSMUST00000101085
XM_006533539	ENSMUST00000036796
XM_006533560	ENSMUST00000108659
XM_006533582	ENSMUST00000103076
XM_006533715	ENSMUST00000021030
XM_006533989	ENSMUST00000108173
XM_006534137	ENSMUST00000103108
XM_006534363	ENSMUST00000026671
XM_006534431	ENSMUST00000092794
XM_006534475	ENSMUST00000100330
XM_006534580	ENSMUST00000108703
XM_006534759	ENSMUST00000031295
XM_006534859	ENSMUST00000120963
XM_006534894	ENSMUST00000060531
XM_006535394	ENSMUST00000173495
XM_006535442	ENSMUST00000191774
XM_006535600	ENSMUST00000057062
XM_006537518	ENSMUST00000107777
XM_006537531	ENSMUST00000107647
XM_006538029	ENSMUST00000047023
XM_006538070	ENSMUST00000107420
XM_006538188	ENSMUST00000061135
XM_006538208	ENSMUST00000107720
XM_006538218	ENSMUST00000029995
XM_006538258	ENSMUST00000030087
XM_006538379	ENSMUST00000107178
XM_006538459	ENSMUST00000084117
XM_006538952	ENSMUST00000105608
XM_006539934	ENSMUST00000227379
XM_006539957	ENSMUST00000123355
XM_006539986	ENSMUST00000040844
XM_006539993	ENSMUST00000085948
XM_006540008	ENSMUST00000062181
XM_006540102	ENSMUST00000249896
XM_006540350	ENSMUST00000207576
XM_006540554	ENSMUST00000058745
XM_006540637	ENSMUST00000164095
XM_011238666	ENSMUST00000186648
XM_011239332	ENSMUST00000110333
XM_011239422	ENSMUST00000036450
XM_011240779	ENSMUST00000031106
XM_011241273	ENSMUST00000036877
XM_011241300	ENSMUST00000205228
XM_011241396	ENSMUST00000100993
XM_011241434	ENSMUST00000112703
XM_011241589	ENSMUST00000111728
XM_011242115	ENSMUST00000209935
XM_011242367	ENSMUST00000212221
XM_011242636	ENSMUST00000207857
XM_011242754	ENSMUST00000163401
XM_011243660	ENSMUST00000109514
XM_011243751	ENSMUST00000020756
XM_011244457	ENSMUST00000151524
XM_011244507	ENSMUST00000121871
XM_011245632	ENSMUST00000100203
XM_011245806	ENSMUST00000005719
XM_011246015	ENSMUST00000042065
XM_011246047	ENSMUST00000230875
XM_011246080	ENSMUST00000121759
XM_011246439	ENSMUST00000080905
XM_011246494	ENSMUST00000162854
XM_011246855	ENSMUST00000025393
XM_011247256	ENSMUST00000068156
XM_011247645	ENSMUST00000156473
XM_011247807	ENSMUST00000165829
XM_011247851	ENSMUST00000152426
XM_011247966	ENSMUST00000040311
XM_011248025	ENSMUST00000187861
XM_011248167	ENSMUST00000111752
XM_011248233	ENSMUST00000031382
XM_011248523	ENSMUST00000098519
XM_011248700	ENSMUST00000107788
XM_011248960	ENSMUST00000134102
XM_011249210	ENSMUST00000041282
XM_011249276	ENSMUST00000154617
XM_011249301	ENSMUST00000133670
XM_011250054	ENSMUST00000107929
XM_011250132	ENSMUST00000065111
XM_011250460	ENSMUST00000049912
XM_011250499	ENSMUST00000002336
XM_011250679	ENSMUST00000085585
XM_011250741	ENSMUST00000128090
XM_011250775	ENSMUST00000032748
XM_011250831	ENSMUST00000209858
XM_017312570	ENSMUST00000033999
XM_017312746	ENSMUST00000041382
XM_017312870	ENSMUST00000040330
XM_017313221	ENSMUST00000084787
XM_017313281	ENSMUST00000098500
XM_017313501	ENSMUST00000034409
XM_017313872	ENSMUST00000105342
XM_017314453	ENSMUST00000021288
XM_017314532	ENSMUST00000107680
XM_017314820	ENSMUST00000118112
XM_017314828	ENSMUST00000118112
XM_017315358	ENSMUST00000060148
XM_017315573	ENSMUST00000022228
XM_017315881	ENSMUST00000145596
XM_017316165	ENSMUST00000136826
XM_017316450	ENSMUST00000067205
XM_017316534	ENSMUST00000048372
XM_017316570	ENSMUST00000109515
XM_017316624	ENSMUST00000023812
XM_017316929	ENSMUST00000232217
XM_017317076	ENSMUST00000114960
XM_017317407	ENSMUST00000089185
XM_017317850	ENSMUST00000109566
XM_017318219	ENSMUST00000077200
XM_017318252	ENSMUST00000235784
XM_017318255	ENSMUST00000223586
XM_017318277	ENSMUST00000112637
XM_017318448	ENSMUST00000056725
XM_017318645	ENSMUST00000069509
XM_017319359	ENSMUST00000239474
XM_017319751	ENSMUST00000097778
XM_017320130	ENSMUST00000212756
XM_017320319	ENSMUST00000045142
XM_017321012	ENSMUST00000031354
XM_017321145	ENSMUST00000177559
XM_017321165	ENSMUST00000078690
XM_017322082	ENSMUST00000036865
XM_017322164	ENSMUST00000159975
XM_017322292	ENSMUST00000191471
XM_006495550	ENSMUST00000070533
XM_006495757	ENSMUST00000114013
XM_006495759	ENSMUST00000114018
XM_006495760	ENSMUST00000114018
XM_006496017	ENSMUST00000132615
XM_006496030	ENSMUST00000160834
XM_006496416	ENSMUST00000027421
XM_006496739	ENSMUST00000111299
XM_006496742	ENSMUST00000192069
XM_006496783	ENSMUST00000040357
XM_006496818	ENSMUST00000111159
XM_006497172	ENSMUST00000061611
XM_006497437	ENSMUST00000091497
XM_006497632	ENSMUST00000102939
XM_006497685	ENSMUST00000113560
XM_006497950	ENSMUST00000069817
XM_006498124	ENSMUST00000100143
XM_006498260	ENSMUST00000028300
XM_006498546	ENSMUST00000053666
XM_006499189	ENSMUST00000038584
XM_006499358	ENSMUST00000109485
XM_006500184	ENSMUST00000039782
XM_006500342	ENSMUST00000111338
XM_006500365	ENSMUST00000056149
XM_006500615	ENSMUST00000087517
XM_006500616	ENSMUST00000087517
XM_006501055	ENSMUST00000038695
XM_006501407	ENSMUST00000169449
XM_006501429	ENSMUST00000029796
XM_006501507	ENSMUST00000238317
XM_006501519	ENSMUST00000029374
XM_006501917	ENSMUST00000107802
XM_006502647	ENSMUST00000143432
XM_006502841	ENSMUST00000107062
XM_006503582	ENSMUST00000030691
XM_006503697	ENSMUST00000161771
XM_006503829	ENSMUST00000076623
XM_006503931	ENSMUST00000169035
XM_006504050	ENSMUST00000050556
XM_006504825	ENSMUST00000041804
XM_006504901	ENSMUST00000038900
XM_006505358	ENSMUST00000101497
XM_006505435	ENSMUST00000112790
XM_006505496	ENSMUST00000113918
XM_006505574	ENSMUST00000053880
XM_006505624	ENSMUST00000032192
XM_006505777	ENSMUST00000186548
XM_006506112	ENSMUST00000046373
XM_006506388	ENSMUST00000032335
XM_006506667	ENSMUST00000090243
XM_006506814	ENSMUST00000009256
XM_006506930	ENSMUST00000032421
XM_006507630	ENSMUST00000038359
XM_006507655	ENSMUST00000078482
XM_006507678	ENSMUST00000032891
XM_006507927	ENSMUST00000033058
XM_006507954	ENSMUST00000037991
XM_006508044	ENSMUST00000106267
XM_006508129	ENSMUST00000033018
XM_006508205	ENSMUST00000084935
XM_006508509	ENSMUST00000039926
XM_006508524	ENSMUST00000105902
XM_006508681	ENSMUST00000004684
XM_006509054	ENSMUST00000168630
XM_006509166	ENSMUST00000163663
XM_006509556	ENSMUST00000119698
XM_006510435	ENSMUST00000073822
XM_006510629	ENSMUST00000170998
XM_006510897	ENSMUST00000074468
XM_006510928	ENSMUST00000184666
XM_006511030	ENSMUST00000159050
XM_006511083	ENSMUST00000118163
XM_006511108	ENSMUST00000042824
XM_006511206	ENSMUST00000048409
XM_006512145	ENSMUST00000093772
XM_006512163	ENSMUST00000078626
XM_006512687	ENSMUST00000037341
XM_006512973	ENSMUST00000105369
XM_006513035	ENSMUST00000174408
XM_006513063	ENSMUST00000020496
XM_006513371	ENSMUST00000170810
XM_006513563	ENSMUST00000239120
XM_006514072	ENSMUST00000105361
XM_006514970	ENSMUST00000159334
XM_006515279	ENSMUST00000168361
XM_006515418	ENSMUST00000009099
XM_006515827	ENSMUST00000095737
XM_006515989	ENSMUST00000040179
XM_006516012	ENSMUST00000040583
XM_006516315	ENSMUST00000021631
XM_006516757	ENSMUST00000037232
XM_006516767	ENSMUST00000223490
XM_006516911	ENSMUST00000131942
XM_006516931	ENSMUST00000048716
XM_006517134	ENSMUST00000099490
XM_006517140	ENSMUST00000099490
XM_006517151	ENSMUST00000224402
XM_006517187	ENSMUST00000198607
XM_006517569	ENSMUST00000035532
XM_006518882	ENSMUST00000177326
XM_006518906	ENSMUST00000071370
XM_006518940	ENSMUST00000210135
XM_006519120	ENSMUST00000066807
XM_006520262	ENSMUST00000230414
XM_006520392	ENSMUST00000177374
XM_006521089	ENSMUST00000068387
XM_006521527	ENSMUST00000089770
XM_006521560	ENSMUST00000183997
XM_006521754	ENSMUST00000205765
XM_006521816	ENSMUST00000230703
XM_006521882	ENSMUST00000075869
XM_006522019	ENSMUST00000090300
XM_006522109	ENSMUST00000009713
XM_006523199	ENSMUST00000024575
XM_006523200	ENSMUST00000024575
XM_006523518	ENSMUST00000182597
XM_006523519	ENSMUST00000182597
XM_006523935	ENSMUST00000086538
XM_006523939	ENSMUST00000234131
XM_006524185	ENSMUST00000148486
XM_006524237	ENSMUST00000201702
XM_006524321	ENSMUST00000118489
XM_006524621	ENSMUST00000025253
XM_006524851	ENSMUST00000086693
XM_006525085	ENSMUST00000057610
XM_006525793	ENSMUST00000126977
XM_006525804	ENSMUST00000167020
XM_006525917	ENSMUST00000180611
XM_006526298	ENSMUST00000025264
XM_006526314	ENSMUST00000182213
XM_006526430	ENSMUST00000079618
XM_006526456	ENSMUST00000047865
XM_006526682	ENSMUST00000169850
XM_006526769	ENSMUST00000013807
XM_006526917	ENSMUST00000167487
XM_006527256	ENSMUST00000092956
XM_006527886	ENSMUST00000037391
XM_006527920	ENSMUST00000121153
XM_006528090	ENSMUST00000101527
XM_006529381	ENSMUST00000027559
XM_006529451	ENSMUST00000111836
XM_006529701	ENSMUST00000049027
XM_006529826	ENSMUST00000111815
XM_006530216	ENSMUST00000161938
XM_006530346	ENSMUST00000117177
XM_006530348	ENSMUST00000117177
XM_006530588	ENSMUST00000238701
XM_006530592	ENSMUST00000238701
XM_006530605	ENSMUST00000238701
XM_006530871	ENSMUST00000098473
XM_006530881	ENSMUST00000041769
XM_006531291	ENSMUST00000034431
XM_006531406	ENSMUST00000173078
XM_006531612	ENSMUST00000113615
XM_006532085	ENSMUST00000107793
XM_006532275	ENSMUST00000055619
XM_006532321	ENSMUST00000102554
XM_006532436	ENSMUST00000071325
XM_006532440	ENSMUST00000108251
XM_006532959	ENSMUST00000058496
XM_006533045	ENSMUST00000107132
XM_006533322	ENSMUST00000068853
XM_006533440	ENSMUST00000072031
XM_006534036	ENSMUST00000018821
XM_006534156	ENSMUST00000108633
XM_006534489	ENSMUST00000018887
XM_006534700	ENSMUST00000077220
XM_006534815	ENSMUST00000086831
XM_006535155	ENSMUST00000212480
XM_006535222	ENSMUST00000174598
XM_006535374	ENSMUST00000198389
XM_006535716	ENSMUST00000030872
XM_006535743	ENSMUST00000197354
XM_006536211	ENSMUST00000211537
XM_006537528	ENSMUST00000035645
XM_006538070	ENSMUST00000107420
XM_006538493	ENSMUST00000180572
XM_006538592	ENSMUST00000060537
XM_006538686	ENSMUST00000030669
XM_006539070	ENSMUST00000078886
XM_006539077	ENSMUST00000103221
XM_006539201	ENSMUST00000105799
XM_006539526	ENSMUST00000172467
XM_006539615	ENSMUST00000079258
XM_006539809	ENSMUST00000075845
XM_006540601	ENSMUST00000032710
XM_006540661	ENSMUST00000208651
XM_006540778	ENSMUST00000102592
XM_006541310	ENSMUST00000184945
XM_011238482	ENSMUST00000185912
XM_011238718	ENSMUST00000168574
XM_011238787	ENSMUST00000028016
XM_011239398	ENSMUST00000080210
XM_011239710	ENSMUST00000249876
XM_011239787	ENSMUST00000110368
XM_011240024	ENSMUST00000118317
XM_011240452	ENSMUST00000106307
XM_011240988	ENSMUST00000037048
XM_011241262	ENSMUST00000052266
XM_011242036	ENSMUST00000001319
XM_011242104	ENSMUST00000167004
XM_011242436	ENSMUST00000174008
XM_011242654	ENSMUST00000038890
XM_011243751	ENSMUST00000020756
XM_011244900	ENSMUST00000159855
XM_011245401	ENSMUST00000151288
XM_011245861	ENSMUST00000044783
XM_011246006	ENSMUST00000114488
XM_011246113	ENSMUST00000232395
XM_011247032	ENSMUST00000225661
XM_011247382	ENSMUST00000025729
XM_011247852	ENSMUST00000026292
XM_011248090	ENSMUST00000047714
XM_011248173	ENSMUST00000111752
XM_011248326	ENSMUST00000109762
XM_011248334	ENSMUST00000238518
XM_011248396	ENSMUST00000047239
XM_011248708	ENSMUST00000093132
XM_011248918	ENSMUST00000092973
XM_011248930	ENSMUST00000058496
XM_011249220	ENSMUST00000106113
XM_011249419	ENSMUST00000200299
XM_011249684	ENSMUST00000046515
XM_011249899	ENSMUST00000107757
XM_011250028	ENSMUST00000107866
XM_011250269	ENSMUST00000105631
XM_011250513	ENSMUST00000085715
XM_011250912	ENSMUST00000003961
XM_011251005	ENSMUST00000016294
XM_017312882	ENSMUST00000177517
XM_017313186	ENSMUST00000164930
XM_017313763	ENSMUST00000040275
XM_017314080	ENSMUST00000190348
XM_017314154	ENSMUST00000183156
XM_017314600	ENSMUST00000108400
XM_017314669	ENSMUST00000107596
XM_017314716	ENSMUST00000183034
XM_017314833	ENSMUST00000064297
XM_017315741	ENSMUST00000149964
XM_017315780	ENSMUST00000159855
XM_017315875	ENSMUST00000225431
XM_017315983	ENSMUST00000071370
XM_017316200	ENSMUST00000073687
XM_017316517	ENSMUST00000108909
