	GeneID	chr	strand	RiStart	RiEnd
536	ENSMUSG00000015656	chr9	+	40801917	40802623
537	ENSMUSG00000015656	chr9	+	40802417	40802891
538	ENSMUSG00000015656	chr9	+	40802417	40802891
540	ENSMUSG00000037720	chr5	+	67260695	67261033
541	ENSMUSG00000037720	chr5	+	67286095	67291461
542	ENSMUSG00000053253	chr14	+	105298002	105304836
543	ENSMUSG00000034579	chr11	+	3491891	3492242
544	ENSMUSG00000029528	chr5	+	115545371	115545805
551	ENSMUSG00000039768	chr4	+	151968498	151970930
552	ENSMUSG00000039768	chr4	+	151977998	151979586
553	ENSMUSG00000039768	chr4	+	151979271	151979586
557	ENSMUSG00000061878	chr11	+	116534848	116535174
562	ENSMUSG00000028582	chr4	+	108626300	108626590
564	ENSMUSG00000006390	chr4	+	118431408	118431733
565	ENSMUSG00000006390	chr4	+	118431897	118432613
568	ENSMUSG00000034771	chr10	+	81580256	81580667
569	ENSMUSG00000034771	chr10	+	81580256	81580667
570	ENSMUSG00000034771	chr10	+	81582412	81582886
571	ENSMUSG00000034771	chr10	+	81587091	81587800
572	ENSMUSG00000049339	chr1	+	75146429	75147909
573	ENSMUSG00000032936	chr9	+	107945789	107946217
577	ENSMUSG00000035697	chr10	+	80021545	80021859
578	ENSMUSG00000035697	chr10	+	80022076	80022355
589	ENSMUSG00000020697	chr11	+	82795364	82795786
593	ENSMUSG00000023175	chr10	+	79710637	79710920
594	ENSMUSG00000005899	chr16	+	17625719	17626538
595	ENSMUSG00000005899	chr16	+	17625719	17626538
596	ENSMUSG00000005899	chr16	+	17639744	17640289
597	ENSMUSG00000005899	chr16	+	17639744	17640289
608	ENSMUSG00000004864	chr17	+	28776134	28776416
610	ENSMUSG00000022587	chr15	+	74957776	74958388
611	ENSMUSG00000022587	chr15	+	74958268	74959331
612	ENSMUSG00000030058	chr6	+	87892632	87893953
613	ENSMUSG00000030058	chr6	+	87908535	87909802
617	ENSMUSG00000013787	chr17	+	34905609	34906058
618	ENSMUSG00000067768	chrX	+	73214773	73215355
619	ENSMUSG00000067768	chrX	+	73214773	73215355
620	ENSMUSG00000068882	chr2	+	69867271	69867552
624	ENSMUSG00000032185	chr9	+	21587507	21589467
625	ENSMUSG00000032185	chr9	+	21587850	21589467
627	ENSMUSG00000027937	chr3	+	90232194	90232511
628	ENSMUSG00000019823	chr10	+	41478009	41478635
629	ENSMUSG00000019823	chr10	+	41486593	41487030
635	ENSMUSG00000027247	chr2	+	91651497	91651823
636	ENSMUSG00000027247	chr2	+	91669384	91669729
637	ENSMUSG00000005883	chr2	+	172988930	172990000
638	ENSMUSG00000002014	chrX	+	73787183	73788953
639	ENSMUSG00000002014	chrX	+	73789799	73790424
647	ENSMUSG00000041460	chr6	+	119241152	119242940
648	ENSMUSG00000054708	chr10	+	81635687	81636426
649	ENSMUSG00000054708	chr10	+	81639306	81639936
650	ENSMUSG00000054708	chr10	+	81640027	81640812
651	ENSMUSG00000040455	chr4	+	21834234	21837872
652	ENSMUSG00000024186	chr17	+	26203295	26203512
653	ENSMUSG00000024186	chr17	+	26203461	26204383
658	ENSMUSG00000017734	chr2	+	164490135	164490767
661	ENSMUSG00000006728	chr10	+	127065154	127066003
662	ENSMUSG00000048617	chr8	+	84949881	84950676
664	ENSMUSG00000055775	chr11	+	67284882	67286289
665	ENSMUSG00000011877	chr11	+	77503355	77504018
666	ENSMUSG00000011877	chr11	+	77505503	77505753
667	ENSMUSG00000033276	chr1	+	74633506	74634756
676	ENSMUSG00000039994	chr10	+	128239833	128240291
680	ENSMUSG00000037593	chr11	+	78292953	78293411
682	ENSMUSG00000047284	chr11	+	69903007	69903719
683	ENSMUSG00000047284	chr11	+	69903007	69903719
691	ENSMUSG00000055491	chr19	+	46072182	46072801
698	ENSMUSG00000032942	chr7	+	100479373	100480681
699	ENSMUSG00000032942	chr7	+	100480085	100480681
702	ENSMUSG00000041119	chr17	+	31459900	31460261
704	ENSMUSG00000033964	chr1	+	139429125	139429333
707	ENSMUSG00000060950	chr12	+	111678104	111678962
710	ENSMUSG00000045752	chr7	+	143069935	143071087
711	ENSMUSG00000031311	chrX	+	101444687	101445334
716	ENSMUSG00000026999	chr2	+	80655948	80657353
717	ENSMUSG00000019302	chr11	+	101027266	101029258
718	ENSMUSG00000026553	chr1	+	172091163	172092354
726	ENSMUSG00000015452	chr17	+	34597874	34598247
727	ENSMUSG00000015452	chr17	+	34598379	34598794
728	ENSMUSG00000015452	chr17	+	34599995	34600137
729	ENSMUSG00000015452	chr17	+	34599995	34600860
730	ENSMUSG00000015452	chr17	+	34599995	34600621
731	ENSMUSG00000015452	chr17	+	34599995	34600860
746	ENSMUSG00000039934	chr5	+	21270555	21271248
748	ENSMUSG00000033793	chr1	+	5093362	5095728
750	ENSMUSG00000060073	chr12	+	70984492	70984745
752	ENSMUSG00000037805	chr17	+	28328966	28329522
753	ENSMUSG00000037805	chr17	+	28328966	28329522
754	ENSMUSG00000006360	chr12	+	113153617	113153879
755	ENSMUSG00000023495	chr9	+	106462188	106462414
756	ENSMUSG00000023495	chr9	+	106462188	106462414
757	ENSMUSG00000020812	chr11	+	116674299	116675798
765	ENSMUSG00000020892	chr11	+	69130004	69132836
766	ENSMUSG00000026708	chr1	+	161082907	161086338
768	ENSMUSG00000030330	chr6	+	125047481	125047940
769	ENSMUSG00000030330	chr6	+	125047481	125047940
770	ENSMUSG00000030330	chr6	+	125047481	125048237
774	ENSMUSG00000031812	chr8	+	121593489	121596092
775	ENSMUSG00000031812	chr8	+	121593489	121596092
777	ENSMUSG00000024019	chr17	+	29698637	29699288
786	ENSMUSG00000069835	chr11	+	69622051	69622332
789	ENSMUSG00000026197	chr1	+	75168833	75169279
790	ENSMUSG00000026197	chr1	+	75170538	75170753
793	ENSMUSG00000068284	chr16	+	44198903	44199167
794	ENSMUSG00000019312	chr11	+	98451594	98451919
795	ENSMUSG00000019312	chr11	+	98453180	98453593
801	ENSMUSG00000060216	chr11	+	70437943	70438391
802	ENSMUSG00000006005	chr1	+	150440066	150440529
803	ENSMUSG00000006005	chr1	+	150445867	150446241
804	ENSMUSG00000006005	chr1	+	150447511	150449238
814	ENSMUSG00000028542	chr4	+	117864404	117864888
815	ENSMUSG00000039318	chr1	+	185266900	185267279
816	ENSMUSG00000039318	chr1	+	185266900	185267279
817	ENSMUSG00000039318	chr1	+	185275911	185277221
823	ENSMUSG00000006576	chr1	+	75550754	75551382
826	ENSMUSG00000028519	chr4	+	104680069	104680382
831	ENSMUSG00000028059	chr3	+	88631910	88632333
832	ENSMUSG00000028059	chr3	+	88632912	88633367
833	ENSMUSG00000028059	chr3	+	88632912	88633367
834	ENSMUSG00000028059	chr3	+	88642925	88643216
839	ENSMUSG00000025915	chr1	+	9885666	9886142
840	ENSMUSG00000025915	chr1	+	9885666	9886142
843	ENSMUSG00000059248	chr11	+	117356612	117359470
844	ENSMUSG00000028047	chr3	+	89216680	89217941
845	ENSMUSG00000028047	chr3	+	89223002	89223523
846	ENSMUSG00000028047	chr3	+	89224576	89225006
847	ENSMUSG00000028047	chr3	+	89224576	89225006
848	ENSMUSG00000021866	chr14	+	25872511	25874031
849	ENSMUSG00000021866	chr14	+	25874209	25874784
850	ENSMUSG00000026201	chr1	+	75212599	75213006
852	ENSMUSG00000015094	chr2	+	25408606	25409001
858	ENSMUSG00000020897	chr11	+	69048173	69048644
859	ENSMUSG00000040997	chr14	+	54262650	54263023
860	ENSMUSG00000026349	chr1	+	127791604	127795800
861	ENSMUSG00000033105	chr10	+	76535558	76536365
862	ENSMUSG00000033105	chr10	+	76544464	76545501
864	ENSMUSG00000056211	chr1	+	128181985	128184654
865	ENSMUSG00000059183	chr9	+	65440345	65441688
866	ENSMUSG00000006575	chr11	+	102399194	102399463
867	ENSMUSG00000006575	chr11	+	102399614	102400045
868	ENSMUSG00000039254	chr2	+	32241652	32243004
869	ENSMUSG00000039254	chr2	+	32243618	32244389
870	ENSMUSG00000004933	chr10	+	81259586	81260973
871	ENSMUSG00000004933	chr10	+	81261630	81262156
872	ENSMUSG00000004933	chr10	+	81261630	81262534
873	ENSMUSG00000020464	chr11	+	29153231	29154215
875	ENSMUSG00000026048	chr1	+	44173337	44174031
876	ENSMUSG00000001909	chr8	+	84690516	84690947
877	ENSMUSG00000001909	chr8	+	84690516	84690947
878	ENSMUSG00000001909	chr8	+	84690516	84690947
879	ENSMUSG00000001909	chr8	+	84690516	84690947
880	ENSMUSG00000001909	chr8	+	84695427	84696975
881	ENSMUSG00000001909	chr8	+	84697114	84697348
882	ENSMUSG00000001909	chr8	+	84699340	84699786
883	ENSMUSG00000007850	chr11	+	50379467	50379964
884	ENSMUSG00000007850	chr11	+	50379467	50379964
885	ENSMUSG00000007850	chr11	+	50379820	50382715
886	ENSMUSG00000041354	chr17	+	33932039	33932371
891	ENSMUSG00000029464	chr5	+	122381189	122381494
892	ENSMUSG00000054199	chr3	+	88898104	88899074
897	ENSMUSG00000042436	chr11	+	61486909	61487261
898	ENSMUSG00000004270	chr6	+	124700006	124700278
901	ENSMUSG00000073702	chr1	+	39367928	39368255
902	ENSMUSG00000073702	chr1	+	39370953	39371366
910	ENSMUSG00000017119	chr11	+	101574998	101575416
916	ENSMUSG00000032596	chr9	+	107975796	107976189
917	ENSMUSG00000032596	chr9	+	107977328	107978022
918	ENSMUSG00000032596	chr9	+	107979393	107979691
919	ENSMUSG00000032596	chr9	+	107981203	107981581
920	ENSMUSG00000032596	chr9	+	107981203	107981581
921	ENSMUSG00000000085	chr4	+	120529133	120530184
924	ENSMUSG00000034211	chr5	+	129715683	129716866
925	ENSMUSG00000034211	chr5	+	129715683	129716866
926	ENSMUSG00000034211	chr5	+	129715683	129716866
927	ENSMUSG00000034211	chr5	+	129715683	129716866
928	ENSMUSG00000034211	chr5	+	129715683	129716866
932	ENSMUSG00000020059	chr10	+	88472675	88473236
933	ENSMUSG00000026269	chr1	+	92916710	92917746
934	ENSMUSG00000026269	chr1	+	92916710	92917746
935	ENSMUSG00000026269	chr1	+	92917146	92917746
936	ENSMUSG00000026269	chr1	+	92918017	92919103
937	ENSMUSG00000026269	chr1	+	92918017	92919103
938	ENSMUSG00000026269	chr1	+	92918017	92919103
939	ENSMUSG00000025979	chr1	+	55150145	55151082
940	ENSMUSG00000036764	chr10	+	63395784	63397378
942	ENSMUSG00000020357	chr11	+	49626255	49626837
945	ENSMUSG00000073725	chr1	+	24743882	24744358
947	ENSMUSG00000079179	chr12	+	3235525	3237412
948	ENSMUSG00000007564	chr17	+	20958939	20959523
950	ENSMUSG00000026127	chr1	+	34443768	34444091
951	ENSMUSG00000016487	chr6	+	147010862	147012518
952	ENSMUSG00000038822	chr10	+	45700953	45709994
953	ENSMUSG00000045482	chr5	+	144784257	144785565
954	ENSMUSG00000005373	chr5	+	135133251	135133659
955	ENSMUSG00000005373	chr5	+	135133753	135134121
956	ENSMUSG00000005373	chr5	+	135133753	135134121
957	ENSMUSG00000005373	chr5	+	135133753	135134121
958	ENSMUSG00000025907	chr1	+	6239951	6240378
