	GeneID	chr	strand	shortSplice	longSplice	shareSplice
183	ENSMUSG00000032745	chr13	-	111453372	111453023	111448999
185	ENSMUSG00000025816	chr2	-	5876363	5876359	5874418
186	ENSMUSG00000025816	chr2	-	5895259	5895256	5893221
187	ENSMUSG00000046110	chr2	-	121453997	121453993	121453804
193	ENSMUSG00000035173	chr19	-	56808060	56807977	56801989
194	ENSMUSG00000035173	chr19	-	56808060	56807977	56807085
197	ENSMUSG00000036775	chr17	-	26090096	26089963	26087459
198	ENSMUSG00000036775	chr17	-	26090096	26089963	26088997
201	ENSMUSG00000024163	chr17	-	24906173	24906146	24905298
202	ENSMUSG00000024163	chr17	-	24912747	24912735	24908428
203	ENSMUSG00000024163	chr17	-	24918087	24917994	24914705
204	ENSMUSG00000073437	chr17	-	24413700	24413504	24412574
205	ENSMUSG00000030246	chr6	-	142505447	142505411	142501457
206	ENSMUSG00000045655	chr14	-	78086651	78086569	78085178
208	ENSMUSG00000059208	chr17	-	33658899	33658869	33658465
209	ENSMUSG00000059208	chr17	-	33666646	33666493	33665645
210	ENSMUSG00000038347	chr17	-	13727921	13727910	13554092
211	ENSMUSG00000038347	chr17	-	13727921	13727910	13717633
214	ENSMUSG00000022425	chr15	-	54862509	54862497	54860094
216	ENSMUSG00000014039	chr16	-	97816863	97816848	97816630
219	ENSMUSG00000022940	chr16	-	94370894	94370740	94370192
224	ENSMUSG00000022864	chr16	-	78576390	78576190	78576054
225	ENSMUSG00000022864	chr16	-	78576423	78576190	78576054
226	ENSMUSG00000022864	chr16	-	78576423	78576390	78576054
227	ENSMUSG00000039660	chr2	-	30176738	30176727	30176664
228	ENSMUSG00000039660	chr2	-	30177592	30177322	30176828
234	ENSMUSG00000073418	chr17	-	34735735	34735704	34735607
236	ENSMUSG00000022668	chr16	-	44745394	44745282	44742603
238	ENSMUSG00000020439	chr11	-	3520847	3520751	3517827
239	ENSMUSG00000061751	chr16	-	34256190	34256151	34252399
246	ENSMUSG00000015090	chr2	-	25467319	25467286	25466831
248	ENSMUSG00000048939	chr16	-	29348717	29348675	29348570
253	ENSMUSG00000064202	chr19	-	28944232	28944223	28941814
254	ENSMUSG00000032577	chr9	-	107263624	107262422	107261957
255	ENSMUSG00000029759	chr6	-	5246277	5246047	5240978
256	ENSMUSG00000026889	chr2	-	36127180	36127124	36122938
257	ENSMUSG00000035713	chr7	-	97315086	97315079	97314927
267	ENSMUSG00000022756	chr16	-	17574473	17573945	17573664
272	ENSMUSG00000022789	chr16	-	16345997	16345979	16341468
273	ENSMUSG00000022789	chr16	-	16345997	16345979	16342735
275	ENSMUSG00000022710	chr16	-	8712132	8711993	8710177
276	ENSMUSG00000036591	chr2	-	20855580	20855353	20855040
277	ENSMUSG00000036591	chr2	-	20967347	20967329	20914811
279	ENSMUSG00000038425	chr18	-	70525375	70524730	70523399
280	ENSMUSG00000010064	chr9	-	107655963	107655934	107655685
281	ENSMUSG00000030346	chr6	-	126934713	126934706	126930102
283	ENSMUSG00000002107	chr2	-	6560670	6560658	6553964
284	ENSMUSG00000002107	chr2	-	6560670	6560658	6553982
285	ENSMUSG00000002107	chr2	-	6607881	6604023	6600097
287	ENSMUSG00000025728	chr17	-	25932104	25931673	25931038
288	ENSMUSG00000025728	chr17	-	25932104	25931673	25931573
289	ENSMUSG00000026754	chr2	-	39047585	39047022	39041352
290	ENSMUSG00000026754	chr2	-	39047596	39047585	39047134
291	ENSMUSG00000009739	chr15	-	100586643	100585735	100584159
292	ENSMUSG00000023030	chr15	-	100412233	100412190	100410231
293	ENSMUSG00000022538	chr16	-	30577898	30577798	30574606
297	ENSMUSG00000036529	chr15	-	89302181	89301842	89300951
301	ENSMUSG00000022442	chr15	-	83509662	83509652	83506327
302	ENSMUSG00000000902	chr10	-	75906029	75904383	75897576
303	ENSMUSG00000000902	chr10	-	75916799	75916772	75915193
306	ENSMUSG00000031285	chrX	-	143875769	143875754	143870704
307	ENSMUSG00000022433	chr15	-	79441760	79441220	79438859
308	ENSMUSG00000022555	chr15	-	76504543	76504485	76504369
314	ENSMUSG00000024050	chr17	-	32381083	32381055	32368147
315	ENSMUSG00000024050	chr17	-	32381083	32381055	32379118
317	ENSMUSG00000079020	chr15	-	73587544	73587520	73587085
318	ENSMUSG00000022335	chr15	-	68110476	68110443	68105079
319	ENSMUSG00000022335	chr15	-	68212613	68212592	68187236
320	ENSMUSG00000022377	chr15	-	64158917	64158881	64152930
321	ENSMUSG00000022377	chr15	-	64158917	64158881	64153852
323	ENSMUSG00000073399	chr17	-	36883250	36883148	36882664
326	ENSMUSG00000028599	chr4	-	145229074	145229003	145227596
328	ENSMUSG00000026825	chr2	-	32312709	32312683	32312342
329	ENSMUSG00000026825	chr2	-	32333152	32333065	32328047
335	ENSMUSG00000024120	chr17	-	84773207	84773203	84773102
337	ENSMUSG00000025007	chr19	-	40574216	40574210	40573861
338	ENSMUSG00000022124	chr14	-	103095336	103095192	103092426
342	ENSMUSG00000026987	chr2	-	59907543	59907438	59907051
346	ENSMUSG00000038187	chr7	-	113329943	113329854	113328459
347	ENSMUSG00000036422	chr14	-	79768787	79768496	79768321
349	ENSMUSG00000029211	chr5	-	71657170	71657092	71642326
352	ENSMUSG00000048668	chr6	-	128362838	128362367	128359354
354	ENSMUSG00000033400	chr3	-	116785103	116785059	116784640
355	ENSMUSG00000002320	chr14	-	55641269	55640966	55640570
356	ENSMUSG00000032786	chr9	-	106238074	106237968	106236708
365	ENSMUSG00000001750	chr19	-	3904613	3904584	3904295
366	ENSMUSG00000061904	chr10	-	91122206	91122107	91119706
367	ENSMUSG00000020079	chr10	-	62443394	62443378	62441246
368	ENSMUSG00000031601	chr8	-	40500751	40499294	40495915
371	ENSMUSG00000096370	chr19	-	4793925	4793815	4792820
374	ENSMUSG00000028439	chr4	-	41569209	41569176	41524414
377	ENSMUSG00000033004	chr14	-	103138728	103138719	103136639
378	ENSMUSG00000034071	chr7	-	12421807	12421762	12418666
379	ENSMUSG00000031402	chrX	-	75125787	75125736	75125449
380	ENSMUSG00000052934	chr8	-	121556241	121556119	121555359
381	ENSMUSG00000022983	chr16	-	90249638	90249626	90248703
382	ENSMUSG00000027082	chr2	-	84458095	84458022	84452595
385	ENSMUSG00000058690	chr14	-	36890341	36890293	36885790
386	ENSMUSG00000031591	chr8	-	41374509	41374505	41354917
391	ENSMUSG00000042286	chr14	-	31140147	31139925	31139848
392	ENSMUSG00000021948	chr14	-	30602736	30602658	30602414
397	ENSMUSG00000021782	chr14	-	24164397	24164382	24164134
398	ENSMUSG00000022861	chr16	-	22575311	22575058	22572716
399	ENSMUSG00000023951	chr17	-	46022294	46022276	46021122
401	ENSMUSG00000046876	chr13	-	45566572	45566548	45557585
403	ENSMUSG00000089917	chr2	-	181569710	181569695	181569624
404	ENSMUSG00000089917	chr2	-	181570308	181570306	181570195
412	ENSMUSG00000085024	chr13	-	23430228	23430135	23428415
413	ENSMUSG00000085024	chr13	-	23430228	23430135	23428412
417	ENSMUSG00000041073	chr11	-	6599079	6599035	6598952
418	ENSMUSG00000073436	chr17	-	24894820	24894570	24894223
419	ENSMUSG00000049550	chr5	-	123630452	123630224	123623270
420	ENSMUSG00000049550	chr5	-	123630452	123630224	123627410
421	ENSMUSG00000049550	chr5	-	123653531	123653451	123647965
423	ENSMUSG00000021693	chr13	-	106988009	106987952	106987369
424	ENSMUSG00000070953	chr2	-	34797374	34797370	34790655
425	ENSMUSG00000070953	chr2	-	34797374	34797370	34795329
431	ENSMUSG00000021635	chr13	-	100650949	100650821	100649781
432	ENSMUSG00000049658	chr13	-	100049859	100049635	100046839
433	ENSMUSG00000024136	chr17	-	24442457	24442404	24442316
434	ENSMUSG00000026956	chr2	-	25363311	25363243	25362848
436	ENSMUSG00000048154	chr15	-	98856077	98856068	98855898
437	ENSMUSG00000024858	chr19	-	4287822	4287557	4287466
438	ENSMUSG00000027669	chr3	-	32589996	32589708	32587777
442	ENSMUSG00000097333	chr13	-	67521192	67521147	67520721
443	ENSMUSG00000069206	chr13	-	67448820	67448708	67443334
460	ENSMUSG00000087174	chrX	-	105068570	105068463	105066877
467	ENSMUSG00000064329	chr2	-	66324603	66324570	66323444
468	ENSMUSG00000064329	chr2	-	66324654	66324570	66323444
469	ENSMUSG00000064329	chr2	-	66324654	66324603	66323444
470	ENSMUSG00000064329	chr2	-	66337877	66337875	66335527
471	ENSMUSG00000022974	chr16	-	91030432	91030415	91027329
472	ENSMUSG00000022757	chr16	-	56697470	56697458	56694489
473	ENSMUSG00000026792	chr2	-	32940240	32940235	32938884
474	ENSMUSG00000026792	chr2	-	32961043	32960935	32959613
475	ENSMUSG00000026792	chr2	-	32961043	32960935	32960371
476	ENSMUSG00000026792	chr2	-	32961569	32961539	32961255
477	ENSMUSG00000044816	chr1	-	65121356	65121338	65117209
478	ENSMUSG00000044816	chr1	-	65121356	65121338	65119621
481	ENSMUSG00000048495	chr1	-	57393669	57393584	57393487
482	ENSMUSG00000048495	chr1	-	57401387	57401368	57396796
486	ENSMUSG00000038174	chr1	-	58565856	58565767	58558057
487	ENSMUSG00000038174	chr1	-	58565856	58565767	58562787
488	ENSMUSG00000029471	chr5	-	122764259	122763773	122759000
489	ENSMUSG00000021493	chr13	-	55507329	55506305	55506168
491	ENSMUSG00000020184	chr10	-	117709699	117709653	117705229
492	ENSMUSG00000038838	chr17	-	35658131	35657923	35657318
493	ENSMUSG00000038838	chr17	-	35659261	35659259	35659179
494	ENSMUSG00000034354	chr11	-	4487233	4487224	4485451
496	ENSMUSG00000025420	chr18	-	76997611	76997598	76994504
497	ENSMUSG00000025420	chr18	-	77011989	77011983	77011045
500	ENSMUSG00000038766	chr3	-	95204640	95203730	95200291
501	ENSMUSG00000005981	chr16	-	4068856	4068662	4068338
502	ENSMUSG00000024293	chr18	-	10595675	10593745	10586041
503	ENSMUSG00000024293	chr18	-	10595675	10593745	10588550
504	ENSMUSG00000020599	chr11	-	109259835	109259826	109258699
505	ENSMUSG00000024431	chr18	-	39428616	39428613	39424499
511	ENSMUSG00000032376	chr9	-	66520608	66520272	66520164
515	ENSMUSG00000013858	chr10	-	79978547	79978391	79978320
516	ENSMUSG00000027318	chr2	-	131055950	131055913	131055827
517	ENSMUSG00000025877	chr13	-	55014482	55014426	55014327
518	ENSMUSG00000025199	chr19	-	44077262	44077245	44075530
520	ENSMUSG00000068245	chr14	-	59353317	59352650	59351218
524	ENSMUSG00000020262	chr10	-	77312377	77312347	77311274
525	ENSMUSG00000024170	chr17	-	25106988	25106771	25106068
526	ENSMUSG00000028294	chr4	-	34730063	34730059	34728908
527	ENSMUSG00000028294	chr4	-	34730066	34730059	34728908
528	ENSMUSG00000028294	chr4	-	34730066	34730063	34728908
529	ENSMUSG00000023764	chr11	-	3134658	3134625	3134501
530	ENSMUSG00000023764	chr11	-	3188940	3188877	3187410
531	ENSMUSG00000079478	chr19	-	5731443	5731438	5731325
532	ENSMUSG00000053166	chr2	-	165142115	165142053	165135320
533	ENSMUSG00000039637	chr16	-	4634761	4634588	4634430
534	ENSMUSG00000020910	chr11	-	67041480	67041392	67040335
535	ENSMUSG00000037012	chr10	-	62374948	62374703	62358430
539	ENSMUSG00000060985	chr1	-	156301744	156301513	156300790
544	ENSMUSG00000005125	chr15	-	66948462	66948450	66944834
545	ENSMUSG00000019877	chr10	-	57525365	57525324	57524399
546	ENSMUSG00000039153	chr17	-	44814489	44814456	44814292
548	ENSMUSG00000001891	chr11	-	21329034	21328870	21323303
549	ENSMUSG00000020069	chr10	-	63018085	63018040	63017610
552	ENSMUSG00000087177	chr10	-	39640379	39640275	39633016
553	ENSMUSG00000087177	chr10	-	39640379	39640275	39639766
558	ENSMUSG00000026577	chr1	-	164303903	164303847	164302720
559	ENSMUSG00000054770	chr1	-	57965350	57965328	57963261
561	ENSMUSG00000079018	chr15	-	75048784	75048753	75047469
562	ENSMUSG00000079018	chr15	-	75048784	75048753	75048539
566	ENSMUSG00000027944	chr3	-	89997737	89997386	89996298
567	ENSMUSG00000027944	chr3	-	89997801	89997386	89996298
568	ENSMUSG00000027944	chr3	-	89997801	89997737	89996298
569	ENSMUSG00000027944	chr3	-	89997801	89997737	89997565
570	ENSMUSG00000027944	chr3	-	89997801	89997737	89997574
571	ENSMUSG00000003778	chr18	-	34609804	34608417	34608055
572	ENSMUSG00000005378	chr5	-	135057619	135057611	135056927
573	ENSMUSG00000026095	chr1	-	53348445	53347014	53346761
574	ENSMUSG00000021189	chr12	-	101932967	101932955	101926581
576	ENSMUSG00000036872	chr8	-	86509090	86509080	86507976
578	ENSMUSG00000020740	chr11	-	115587958	115587935	115587716
579	ENSMUSG00000002885	chr8	-	83734301	83734295	83734125
580	ENSMUSG00000048796	chr3	-	108200759	108200626	108200162
581	ENSMUSG00000020329	chr10	-	79737799	79737599	79737509
586	ENSMUSG00000028651	chr4	-	123136871	123136800	123135677
588	ENSMUSG00000029020	chr4	-	147904657	147904449	147903497
589	ENSMUSG00000028600	chr4	-	108028633	108028607	108027295
591	ENSMUSG00000028107	chr3	-	95750338	95748486	95748140
592	ENSMUSG00000028107	chr3	-	95750866	95750837	95750765
593	ENSMUSG00000028107	chr3	-	95754371	95754318	95753130
595	ENSMUSG00000028394	chr4	-	62524749	62524609	62524436
596	ENSMUSG00000001305	chr1	-	186739603	186737587	186736314
597	ENSMUSG00000027709	chr3	-	35989843	35989832	35985093
601	ENSMUSG00000062906	chr15	-	89126640	89126629	89126437
602	ENSMUSG00000000416	chr6	-	18433982	18433819	18427642
604	ENSMUSG00000020451	chr11	-	3358109	3357971	3355916
605	ENSMUSG00000051736	chr10	-	39133822	39133811	39132378
606	ENSMUSG00000051736	chr10	-	39133878	39133811	39132378
607	ENSMUSG00000051736	chr10	-	39133878	39133822	39132378
608	ENSMUSG00000022760	chr16	-	17530777	17530677	17530385
611	ENSMUSG00000042520	chr3	-	90031310	90031295	90028377
612	ENSMUSG00000042520	chr3	-	90038847	90038814	90038465
614	ENSMUSG00000097589	chr14	-	61648617	61648481	61643455
617	ENSMUSG00000060924	chr8	-	15945004	15944993	15932636
618	ENSMUSG00000041406	chr1	-	163990719	163990715	163989793
619	ENSMUSG00000026694	chr1	-	162546227	162545767	162544385
623	ENSMUSG00000033416	chr10	-	75512071	75511902	75511286
626	ENSMUSG00000036473	chr17	-	24205493	24205473	24190053
627	ENSMUSG00000022621	chr15	-	89584343	89584278	89584007
628	ENSMUSG00000022641	chr16	-	50432241	50432110	50428981
629	ENSMUSG00000026938	chr2	-	25626087	25626011	25625563
633	ENSMUSG00000062963	chr1	-	171289883	171289854	171289594
635	ENSMUSG00000062729	chr1	-	171280387	171280358	171280255
637	ENSMUSG00000031161	chrX	-	7947649	7947574	7947244
638	ENSMUSG00000026107	chr1	-	51477824	51477721	51477616
639	ENSMUSG00000026107	chr1	-	51478300	51477721	51477616
640	ENSMUSG00000026107	chr1	-	51478371	51477721	51477616
641	ENSMUSG00000026107	chr1	-	51478300	51477824	51477616
642	ENSMUSG00000026107	chr1	-	51478371	51477824	51477616
643	ENSMUSG00000026107	chr1	-	51478371	51478300	51477616
644	ENSMUSG00000049659	chr11	-	20698312	20696750	20692588
645	ENSMUSG00000020659	chr12	-	31494590	31494581	31492176
646	ENSMUSG00000020659	chr12	-	31494590	31494581	31492179
647	ENSMUSG00000023015	chr15	-	99643421	99643392	99642971
648	ENSMUSG00000047090	chr10	-	128802404	128801935	128801511
649	ENSMUSG00000064284	chr15	-	85810901	85810842	85809324
654	ENSMUSG00000042350	chr12	-	84941760	84941730	84935123
655	ENSMUSG00000042350	chr12	-	84941760	84941730	84940397
659	ENSMUSG00000039781	chr11	-	120073127	120073124	120072976
663	ENSMUSG00000020918	chr11	-	100710444	100710249	100709489
665	ENSMUSG00000001248	chr7	-	31135596	31135525	31134517
666	ENSMUSG00000001248	chr7	-	31135707	31135525	31134517
667	ENSMUSG00000001248	chr7	-	31135707	31135596	31134517
672	ENSMUSG00000030854	chr7	-	47091376	47090726	47090504
673	ENSMUSG00000004031	chr1	-	158267829	158266461	158251476
674	ENSMUSG00000004031	chr1	-	158267829	158266461	158255079
676	ENSMUSG00000026471	chr1	-	155137593	155137513	155136850
677	ENSMUSG00000026471	chr1	-	155137698	155137513	155136850
678	ENSMUSG00000026471	chr1	-	155137698	155137593	155136850
679	ENSMUSG00000037989	chr13	-	49068098	49068072	49067962
681	ENSMUSG00000024667	chr19	-	10555712	10555698	10555164
682	ENSMUSG00000033029	chr15	-	79140880	79140768	79135765
683	ENSMUSG00000033029	chr15	-	79140880	79140768	79139300
684	ENSMUSG00000022617	chr15	-	89428713	89428410	89428229
685	ENSMUSG00000055541	chr7	-	4055917	4055796	4010846
686	ENSMUSG00000055541	chr7	-	4055917	4055796	4029036
688	ENSMUSG00000020775	chr11	-	116135190	116134907	116134505
689	ENSMUSG00000021933	chr14	-	62419078	62419033	62417311
690	ENSMUSG00000034799	chr8	-	71643094	71643091	71642206
691	ENSMUSG00000034799	chr8	-	71658023	71658002	71656301
692	ENSMUSG00000034799	chr8	-	71662839	71662480	71661851
693	ENSMUSG00000034799	chr8	-	71662854	71662480	71661851
694	ENSMUSG00000034799	chr8	-	71662854	71662839	71661851
695	ENSMUSG00000034799	chr8	-	71662854	71662839	71662535
696	ENSMUSG00000004040	chr11	-	100893076	100893073	100889928
697	ENSMUSG00000025735	chr17	-	25836410	25836398	25836193
698	ENSMUSG00000093460	chr17	-	85615593	85614647	85611910
706	ENSMUSG00000024787	chr19	-	6124152	6123829	6122155
707	ENSMUSG00000001143	chr1	-	36443519	36443490	36439726
708	ENSMUSG00000062012	chr17	-	23581077	23581056	23580862
709	ENSMUSG00000079657	chr17	-	24530390	24530054	24529970
715	ENSMUSG00000020964	chr12	-	91833204	91833054	91831674
716	ENSMUSG00000021156	chr13	-	9690445	9690277	9689724
719	ENSMUSG00000039233	chr13	-	14003542	14003532	14000117
720	ENSMUSG00000039233	chr13	-	14003542	14003532	14001178
721	ENSMUSG00000044768	chr1	-	97661554	97660730	97654689
722	ENSMUSG00000053644	chr18	-	56542252	56542224	56538742
723	ENSMUSG00000038552	chr5	-	31293413	31293394	31293164
724	ENSMUSG00000003848	chr8	-	107424751	107424737	107418771
725	ENSMUSG00000003848	chr8	-	107424751	107424737	107421612
726	ENSMUSG00000020538	chr11	-	60206187	60206172	60206077
730	ENSMUSG00000003528	chr16	-	17927245	17927153	17926740
731	ENSMUSG00000022772	chr16	-	31977679	31977598	31968937
732	ENSMUSG00000040813	chr9	-	106684946	106684928	106662528
733	ENSMUSG00000040813	chr9	-	106684946	106684928	106673738
734	ENSMUSG00000040813	chr9	-	106684946	106684928	106682163
735	ENSMUSG00000024124	chr17	-	23974219	23973940	23973848
741	ENSMUSG00000004364	chr1	-	80322986	80322858	80304193
742	ENSMUSG00000005625	chr3	-	95033917	95033908	95033764
745	ENSMUSG00000063142	chr14	-	23435949	23435940	23386353
746	ENSMUSG00000063142	chr14	-	23435949	23435940	23391007
747	ENSMUSG00000063142	chr14	-	23435949	23435940	23425740
750	ENSMUSG00000021266	chr12	-	108888375	108888311	108881151
751	ENSMUSG00000021266	chr12	-	108888375	108888311	108882908
752	ENSMUSG00000015087	chr2	-	25598144	25598127	25596524
753	ENSMUSG00000031583	chr8	-	33385451	33385341	33353399
755	ENSMUSG00000036459	chr7	-	34119138	34118936	34118805
766	ENSMUSG00000031730	chr8	-	109608539	109608351	109606420
767	ENSMUSG00000026260	chr1	-	92470950	92470816	92470078
768	ENSMUSG00000040701	chr14	-	55104830	55104581	55104458
770	ENSMUSG00000040263	chr8	-	121821302	121821279	121820220
771	ENSMUSG00000040723	chr1	-	165664952	165664948	165659444
772	ENSMUSG00000031878	chr8	-	104530055	104527377	104527162
773	ENSMUSG00000040929	chr19	-	27830652	27830610	27826152
775	ENSMUSG00000020232	chr10	-	81350133	81350011	81349488
776	ENSMUSG00000034664	chr11	-	102465304	102464939	102461819
777	ENSMUSG00000058407	chr1	-	37995632	37993991	37990457
778	ENSMUSG00000034032	chr2	-	119787220	119787186	119783970
780	ENSMUSG00000022565	chr15	-	76185608	76185604	76185489
782	ENSMUSG00000020866	chr11	-	94425784	94425763	94418970
783	ENSMUSG00000020866	chr11	-	94425784	94425763	94423724
796	ENSMUSG00000016763	chr15	-	83614869	83614863	83613605
798	ENSMUSG00000026313	chr1	-	91968352	91968337	91964826
800	ENSMUSG00000024018	chr17	-	29704369	29704254	29690046
808	ENSMUSG00000028099	chr3	-	96723796	96723513	96722625
809	ENSMUSG00000038569	chr5	-	122352545	122352543	122351710
810	ENSMUSG00000089872	chr1	-	190905082	190904942	190899571
815	ENSMUSG00000058715	chr1	-	171230995	171230921	171230087
816	ENSMUSG00000039795	chr3	-	10351241	10351168	10347204
817	ENSMUSG00000039795	chr3	-	10351241	10351168	10348552
818	ENSMUSG00000036510	chr8	-	99030875	99030838	99029911
821	ENSMUSG00000006014	chr1	-	150456250	150454051	150453540
823	ENSMUSG00000030979	chr7	-	133691085	133690507	133689680
824	ENSMUSG00000000384	chr11	-	6626022	6625964	6625213
827	ENSMUSG00000030960	chr7	-	132850594	132850590	132831576
828	ENSMUSG00000030960	chr7	-	132850594	132850590	132837207
834	ENSMUSG00000038671	chr2	-	181361390	181361000	181359739
835	ENSMUSG00000038671	chr2	-	181364310	181364013	181361472
838	ENSMUSG00000063887	chr3	-	25439891	25439864	25436642
841	ENSMUSG00000022992	chr15	-	98524560	98524458	98520425
842	ENSMUSG00000022992	chr15	-	98529289	98529285	98529025
845	ENSMUSG00000021418	chr13	-	35903687	35901305	35899013
846	ENSMUSG00000015790	chr2	-	26915954	26915595	26915514
847	ENSMUSG00000029454	chr5	-	121526744	121526738	121525767
848	ENSMUSG00000020905	chr11	-	67879810	67879795	67876531
849	ENSMUSG00000025465	chr7	-	140112978	140112935	140112546
850	ENSMUSG00000000731	chr10	-	78039942	78039930	78039742
851	ENSMUSG00000028329	chr4	-	46184287	46184280	46183235
854	ENSMUSG00000055214	chr1	-	176074438	176074413	175994049
855	ENSMUSG00000055214	chr1	-	176074438	176074413	176044962
856	ENSMUSG00000055214	chr1	-	176139961	176139954	176044962
857	ENSMUSG00000055214	chr1	-	176139961	176139954	176074525
858	ENSMUSG00000055214	chr1	-	176139961	176139954	176090039
862	ENSMUSG00000010453	chr1	-	36367768	36367749	36365585
863	ENSMUSG00000010453	chr1	-	36367768	36367749	36365652
864	ENSMUSG00000066456	chr9	-	83111033	83110992	83110429
866	ENSMUSG00000024109	chr17	-	90059484	90059475	90037384
867	ENSMUSG00000024109	chr17	-	90701987	90701966	90700905
870	ENSMUSG00000024446	chr17	-	36257441	36257412	36256069
871	ENSMUSG00000022537	chr16	-	30543401	30540738	30539538
872	ENSMUSG00000036923	chr10	-	62666125	62663954	62659667
