	GeneID	chr	strand	1stExonStart	1stExonEnd	2ndExonStart	2ndExonEnd	upstreamEE	downstreamES
63	ENSMUSG00000025597	chrX	+	114525631	114525828	114530022	114530235	114522435	114543001
64	ENSMUSG00000025529	chrX	+	112624738	112624876	112628103	112628148	112624107	112631825
70	ENSMUSG00000073016	chrX	+	104495735	104495778	104498274	104498344	104483349	104499403
75	ENSMUSG00000034160	chrX	+	101673042	101673213	101673322	101673439	101672573	101673541
79	ENSMUSG00000031302	chrX	+	101301784	101302431	101308756	101308906	101299296	101315131
80	ENSMUSG00000031302	chrX	+	101302287	101302431	101308756	101308906	101299296	101315131
83	ENSMUSG00000031216	chrX	+	99063364	99063446	99064393	99064457	99060799	99065557
84	ENSMUSG00000046532	chrX	+	98251685	98251837	98286588	98286705	98151334	98305236
85	ENSMUSG00000000881	chrX	+	100808052	100808152	100809861	100809907	100807255	100811501
86	ENSMUSG00000000881	chrX	+	100808052	100808152	100809861	100809907	100807255	100812725
87	ENSMUSG00000000881	chrX	+	100808052	100808152	100811501	100811543	100807255	100812725
88	ENSMUSG00000000881	chrX	+	100809861	100809907	100811501	100811543	100807255	100812725
89	ENSMUSG00000000881	chrX	+	100811501	100811543	100812725	100812776	100808152	100813336
90	ENSMUSG00000000881	chrX	+	100811501	100811543	100812725	100812776	100809907	100813336
91	ENSMUSG00000031403	chrX	+	75100989	75101120	75104339	75104460	75100559	75105653
93	ENSMUSG00000015291	chrX	+	74306844	74306944	74307102	74307237	74306686	74307671
94	ENSMUSG00000019087	chrX	+	74300577	74300688	74301960	74302021	74300324	74302361
95	ENSMUSG00000019087	chrX	+	74300577	74300771	74301960	74302021	74300324	74303221
96	ENSMUSG00000019087	chrX	+	74302361	74302600	74303221	74303269	74302021	74303357
114	ENSMUSG00000031385	chrX	+	73763977	73764147	73764361	73764513	73763876	73765266
115	ENSMUSG00000031378	chrX	+	73734008	73734154	73734461	73734607	73730888	73736789
122	ENSMUSG00000059401	chrX	+	71121357	71121468	71146185	71146435	71119394	71152189
124	ENSMUSG00000031189	chrX	+	69523435	69523568	69544408	69545269	69360838	69693943
125	ENSMUSG00000031189	chrX	+	69544408	69545269	69693943	69693988	69523568	69725041
126	ENSMUSG00000071753	chrX	+	61122011	61122159	61133365	61133503	61119424	61134720
131	ENSMUSG00000031105	chrX	+	48623961	48624206	48625595	48625640	48623828	48628135
132	ENSMUSG00000031105	chrX	+	48629251	48629345	48630888	48631036	48623828	48634756
133	ENSMUSG00000031105	chrX	+	48629251	48629345	48630888	48631036	48624197	48634756
135	ENSMUSG00000036959	chrX	+	48367768	48371032	48375022	48375188	48367509	48376996
136	ENSMUSG00000036959	chrX	+	48375022	48375188	48376996	48377077	48371032	48383921
137	ENSMUSG00000001173	chrX	+	47943505	47943641	47947002	47947113	47941218	47947706
138	ENSMUSG00000001173	chrX	+	47947002	47947113	47947706	47947872	47943641	47948124
139	ENSMUSG00000025860	chrX	+	42068356	42068482	42094366	42095272	42068056	42096612
144	ENSMUSG00000017057	chrX	+	36152017	36152114	36155542	36155627	36149111	36168813
145	ENSMUSG00000031065	chrX	+	20696730	20696836	20696921	20696964	20696645	20697119
146	ENSMUSG00000031065	chrX	+	20696921	20696964	20697119	20697210	20696836	20698450
147	ENSMUSG00000031060	chrX	+	20645436	20645597	20645768	20645866	20645041	20645958
148	ENSMUSG00000031060	chrX	+	20645768	20645866	20645958	20646046	20645597	20647321
149	ENSMUSG00000037369	chrX	+	18208735	18208785	18216937	18216996	18199266	18222756
150	ENSMUSG00000025037	chrX	+	16658567	16658672	16659444	16659536	16639201	16662316
157	ENSMUSG00000022295	chr15	+	38672856	38673020	38673896	38673964	38662083	38676027
159	ENSMUSG00000005621	chr7	+	81009433	81009539	81023270	81025509	80993762	81029448
167	ENSMUSG00000097284	chr14	+	69739406	69739495	69740724	69740849	69738387	69743412
172	ENSMUSG00000041921	chr2	+	71515636	71515800	71522532	71522630	71512168	71523801
173	ENSMUSG00000041921	chr2	+	71522532	71522630	71523801	71523849	71512168	71524716
174	ENSMUSG00000041921	chr2	+	71522532	71522630	71523801	71523849	71515800	71524716
175	ENSMUSG00000034738	chr2	+	69152334	69152418	69158768	69158831	69144855	69161069
176	ENSMUSG00000022761	chr16	+	17522557	17522723	17523276	17523433	17522476	17524095
177	ENSMUSG00000044647	chr2	+	65877964	65878052	65948958	65949129	65845884	66002302
178	ENSMUSG00000044647	chr2	+	65948958	65949129	66002302	66002562	65878052	66019439
184	ENSMUSG00000026977	chr2	+	60245211	60245260	60247487	60247512	60243670	60247889
189	ENSMUSG00000006494	chr2	+	71885981	71886059	71887381	71887458	71883932	71888895
190	ENSMUSG00000026827	chr2	+	57267972	57268082	57289844	57290016	57237988	57304360
191	ENSMUSG00000026827	chr2	+	57289844	57290016	57304360	57304485	57268082	57305807
192	ENSMUSG00000060988	chr2	+	54732985	54733154	54854601	54854768	54516681	54855027
193	ENSMUSG00000060988	chr2	+	54880054	54880172	54933388	54933569	54857965	55060464
194	ENSMUSG00000060988	chr2	+	54933388	54933569	55060464	55060604	54880172	55073897
195	ENSMUSG00000060988	chr2	+	55060464	55060604	55073897	55073996	54933569	55098562
196	ENSMUSG00000060988	chr2	+	55060464	55060604	55073897	55074104	54933569	55098562
197	ENSMUSG00000060988	chr2	+	55073897	55073996	55098562	55098697	55060604	55112820
198	ENSMUSG00000060988	chr2	+	55073897	55074104	55098562	55098697	55060604	55112820
199	ENSMUSG00000023826	chr17	+	11067128	11067292	11237461	11237702	10840489	11303589
200	ENSMUSG00000023826	chr17	+	11067128	11067292	11237461	11237702	10840489	11303592
201	ENSMUSG00000023826	chr17	+	11838601	11838663	11854726	11854876	11635446	12004044
202	ENSMUSG00000023826	chr17	+	11854726	11854876	12004044	12004128	11838663	12050625
203	ENSMUSG00000023826	chr17	+	12004044	12004128	12050625	12050743	11854876	12061540
204	ENSMUSG00000020594	chr12	+	8744614	8744743	8747156	8747294	8744466	8748110
209	ENSMUSG00000025487	chr7	+	140889304	140889476	140894480	140894543	140887105	140897607
210	ENSMUSG00000025487	chr7	+	140897416	140897497	140897607	140897724	140894543	140898192
211	ENSMUSG00000026087	chr1	+	37893938	37894015	37895329	37895410	37893023	37897687
215	ENSMUSG00000057110	chr2	+	35129620	35129815	35133957	35134111	35128037	35135467
216	ENSMUSG00000020707	chr11	+	80189223	80189367	80193885	80194048	80184255	80196872
217	ENSMUSG00000024193	chr17	+	26936286	26936391	26936511	26936680	26936191	26936770
219	ENSMUSG00000023118	chr7	+	19030678	19030752	19034406	19034533	19030596	19035825
220	ENSMUSG00000026930	chr2	+	26324797	26324913	26325336	26325492	26324536	26326213
223	ENSMUSG00000046854	chr2	+	32577871	32577925	32578108	32578263	32576851	32578479
224	ENSMUSG00000002546	chr2	+	32293314	32293395	32296625	32296721	32292215	32296964
226	ENSMUSG00000026843	chr2	+	31583154	31583260	31592462	31592496	31572953	31594842
227	ENSMUSG00000026843	chr2	+	31583154	31583260	31592465	31592496	31572953	31594842
228	ENSMUSG00000026843	chr2	+	31583154	31583260	31592462	31592496	31572953	31595259
229	ENSMUSG00000000194	chr2	+	31171941	31172081	31174201	31174239	31168879	31176897
230	ENSMUSG00000000194	chr2	+	31174201	31174239	31176897	31176954	31172081	31177784
238	ENSMUSG00000039515	chr2	+	30428315	30428402	30431960	30432086	30426496	30435563
239	ENSMUSG00000039515	chr2	+	30431960	30432086	30435563	30435681	30428402	30437569
240	ENSMUSG00000039515	chr2	+	30439663	30439764	30443289	30443397	30438353	30446376
242	ENSMUSG00000019715	chr2	+	29936009	29936237	29938494	29938605	29935598	29939134
243	ENSMUSG00000069020	chr2	+	29832691	29832762	29841401	29841483	29820206	29842720
244	ENSMUSG00000069020	chr2	+	29832691	29832762	29841401	29841483	29827435	29842720
245	ENSMUSG00000069020	chr2	+	29841401	29841483	29842720	29842769	29832762	29843102
246	ENSMUSG00000026799	chr2	+	29471292	29471386	29500218	29500326	29413518	29509422
247	ENSMUSG00000026799	chr2	+	29500218	29500326	29509422	29509464	29471386	29522773
248	ENSMUSG00000040875	chr9	+	115175927	115176082	115207513	115207663	115167292	115216548
249	ENSMUSG00000043535	chr2	+	29125851	29125963	29126873	29127063	29125549	29130179
250	ENSMUSG00000043535	chr2	+	29133921	29134031	29139219	29139439	29130390	29140268
251	ENSMUSG00000043535	chr2	+	29133921	29134031	29140268	29140388	29130390	29143889
252	ENSMUSG00000043535	chr2	+	29139219	29139439	29140268	29140388	29134031	29143889
253	ENSMUSG00000043535	chr2	+	29173556	29173721	29174318	29174483	29172408	29176876
254	ENSMUSG00000043535	chr2	+	29176876	29176975	29177514	29177602	29173721	29179399
255	ENSMUSG00000026414	chr1	+	135841900	135841911	135843773	135843814	135840912	135845554
256	ENSMUSG00000026414	chr1	+	135842014	135842026	135843784	135843814	135841911	135845554
257	ENSMUSG00000026803	chr2	+	29073888	29074019	29074573	29074808	29071376	29079388
258	ENSMUSG00000026803	chr2	+	29081011	29081077	29083532	29083618	29079478	29084636
260	ENSMUSG00000026812	chr2	+	28652168	28652231	28658604	28658790	28641319	28661581
261	ENSMUSG00000056755	chr6	+	111207742	111207883	111246174	111246375	111080473	111253992
262	ENSMUSG00000056755	chr6	+	111358144	111359080	111495652	111495899	111254132	111566017
274	ENSMUSG00000021981	chr14	+	59496802	59496944	59499543	59499708	59461702	59506264
275	ENSMUSG00000021981	chr14	+	59526755	59526815	59528841	59528907	59519734	59539061
276	ENSMUSG00000021981	chr14	+	59528841	59528907	59539061	59539205	59526815	59546985
278	ENSMUSG00000036646	chr2	+	25349169	25349367	25349450	25349582	25348691	25350361
279	ENSMUSG00000029208	chr5	+	69560431	69560515	69561134	69561199	69559627	69561653
280	ENSMUSG00000029208	chr5	+	69564523	69564647	69565429	69565562	69561857	69566360
281	ENSMUSG00000029208	chr5	+	69565429	69565562	69566360	69566504	69564647	69567127
282	ENSMUSG00000029208	chr5	+	69566360	69566504	69567127	69567261	69565562	69568395
284	ENSMUSG00000071037	chr17	+	85431470	85431545	85439526	85439590	85402492	85452195
285	ENSMUSG00000026991	chr2	+	59214677	59214814	59289217	59289252	59161128	59305065
286	ENSMUSG00000026991	chr2	+	59214677	59214814	59266387	59266500	59161128	59305065
288	ENSMUSG00000023094	chr2	+	19378161	19378262	19393207	19393355	19371779	19394250
294	ENSMUSG00000097451	chr12	+	109606213	109606341	109617210	109617349	109604066	109620312
295	ENSMUSG00000097451	chr12	+	109637838	109637926	109640266	109640328	109627153	109643413
296	ENSMUSG00000097451	chr12	+	109637838	109637926	109640266	109640328	109635457	109642564
297	ENSMUSG00000097451	chr12	+	109640266	109640328	109643413	109643461	109627153	109645261
298	ENSMUSG00000097451	chr12	+	109640266	109640328	109643413	109643461	109637926	109645261
299	ENSMUSG00000097451	chr12	+	109642564	109642652	109643413	109643461	109640328	109645261
300	ENSMUSG00000097451	chr12	+	109650840	109651099	109651858	109651938	109650157	109654285
301	ENSMUSG00000097451	chr12	+	109651012	109651099	109651858	109651938	109650157	109654285
302	ENSMUSG00000097451	chr12	+	109655848	109655934	109656787	109656831	109654432	109658052
303	ENSMUSG00000097451	chr12	+	109655848	109655934	109656787	109656840	109654432	109658052
304	ENSMUSG00000097451	chr12	+	109656787	109656831	109658052	109658121	109655934	109659722
305	ENSMUSG00000097451	chr12	+	109656787	109656831	109659722	109659807	109655934	109660745
306	ENSMUSG00000097451	chr12	+	109656787	109656840	109658052	109658121	109655934	109659722
307	ENSMUSG00000097451	chr12	+	109658052	109658121	109659722	109659807	109656831	109660745
308	ENSMUSG00000097451	chr12	+	109658052	109658121	109659722	109659807	109656840	109660745
309	ENSMUSG00000026743	chr2	+	18065034	18065194	18071124	18071204	18055371	18101457
310	ENSMUSG00000026743	chr2	+	18065034	18065194	18071124	18071204	18064838	18101457
311	ENSMUSG00000026743	chr2	+	18071124	18071204	18101457	18101512	18065194	18109781
312	ENSMUSG00000026743	chr2	+	18082510	18082725	18092783	18092834	18071204	18101457
313	ENSMUSG00000026743	chr2	+	18082510	18082725	18092783	18092834	18071204	18109781
314	ENSMUSG00000026743	chr2	+	18082510	18082725	18101457	18101512	18071204	18109781
315	ENSMUSG00000026743	chr2	+	18092783	18092834	18101457	18101512	18071204	18109781
316	ENSMUSG00000026743	chr2	+	18101457	18101512	18109781	18109891	18071204	18122244
317	ENSMUSG00000026743	chr2	+	18101457	18101512	18146776	18146872	18071204	18159455
318	ENSMUSG00000026743	chr2	+	18101457	18101512	18109781	18109891	18092834	18122244
319	ENSMUSG00000026743	chr2	+	18109781	18109891	18122244	18122348	18071204	18123718
320	ENSMUSG00000026743	chr2	+	18109781	18109891	18122244	18122348	18101512	18123718
321	ENSMUSG00000026743	chr2	+	18126133	18126229	18146776	18146872	18123812	18159455
322	ENSMUSG00000026743	chr2	+	18146776	18146872	18159455	18159711	18126229	18162316
323	ENSMUSG00000026743	chr2	+	18171042	18171075	18186217	18186396	18170298	18196582
324	ENSMUSG00000017428	chr11	+	80465013	80465076	80469801	80469927	80462671	80470382
325	ENSMUSG00000017428	chr11	+	80469801	80469927	80470382	80470418	80465076	80470625
326	ENSMUSG00000026748	chr2	+	16548116	16548263	16565335	16565405	16512233	16638586
329	ENSMUSG00000057914	chr2	+	14967941	14968075	14968217	14968237	14963982	14971561
330	ENSMUSG00000026718	chr2	+	14115816	14115892	14117388	14117535	14102485	14128545
350	ENSMUSG00000023206	chr2	+	11720012	11720105	11723412	11723610	11718458	11724095
352	ENSMUSG00000071723	chrX	+	94638245	94638380	94639092	94639234	94636575	94640925
353	ENSMUSG00000019906	chr10	+	107323910	107324029	107380079	107380151	107271942	107411952
354	ENSMUSG00000019906	chr10	+	107382503	107382713	107411952	107412171	107380151	107419988
355	ENSMUSG00000026156	chr1	+	23815220	23815365	23844872	23845021	23763228	23845100
357	ENSMUSG00000037262	chr2	+	10085729	10085824	10090112	10090156	10080744	10090240
358	ENSMUSG00000029442	chr5	+	123256003	123256246	123262016	123262154	123254758	123264790
359	ENSMUSG00000029442	chr5	+	123298466	123298630	123302373	123302464	123297535	123302693
360	ENSMUSG00000022885	chr16	+	23256958	23257101	23317563	23317698	23226179	23321032
362	ENSMUSG00000039046	chr2	+	6336367	6336459	6391054	6391122	6322954	6400279
363	ENSMUSG00000039046	chr2	+	6391054	6391122	6400279	6400319	6336459	6408928
364	ENSMUSG00000039046	chr2	+	6394472	6394555	6400279	6400319	6391122	6408928
367	ENSMUSG00000003228	chr19	+	60987701	60987797	61031751	61031864	60890631	61046076
371	ENSMUSG00000055024	chr15	+	81616725	81616863	81619999	81620117	81616125	81621061
372	ENSMUSG00000050919	chr13	+	99228318	99229655	99234096	99234288	99184864	99243913
373	ENSMUSG00000024976	chr19	+	53987453	53988383	54003008	54003146	53945013	54017548
374	ENSMUSG00000024976	chr19	+	54003008	54003146	54017548	54017679	53988383	54026349
375	ENSMUSG00000074797	chr2	+	130671400	130671458	130672059	130672133	130667935	130674238
376	ENSMUSG00000074797	chr2	+	130671400	130671458	130672059	130672338	130667935	130674238
377	ENSMUSG00000074797	chr2	+	130671555	130671620	130672059	130672133	130671458	130674238
378	ENSMUSG00000074797	chr2	+	130671555	130671620	130672059	130672338	130671458	130674238
379	ENSMUSG00000074797	chr2	+	130672059	130672133	130674238	130674270	130671620	130679334
385	ENSMUSG00000003559	chr19	+	46708967	46709118	46709546	46709683	46708197	46712220
396	ENSMUSG00000014074	chr16	+	32282310	32282387	32285369	32285549	32278415	32289118
397	ENSMUSG00000014074	chr16	+	32285369	32285549	32289118	32289240	32282387	32291902
398	ENSMUSG00000014074	chr16	+	32289118	32289240	32291902	32291981	32285549	32298387
401	ENSMUSG00000025217	chr19	+	45423132	45423240	45456532	45456610	45363886	45471014
402	ENSMUSG00000025217	chr19	+	45423132	45423240	45456532	45456610	45363886	45502931
403	ENSMUSG00000025217	chr19	+	45423132	45423240	45471014	45471104	45363886	45502931
404	ENSMUSG00000025217	chr19	+	45456532	45456610	45471014	45471104	45363886	45502931
405	ENSMUSG00000025217	chr19	+	45456532	45456610	45471014	45471104	45423240	45502931
406	ENSMUSG00000025217	chr19	+	45471014	45471104	45502931	45503163	45456610	45507683
408	ENSMUSG00000093456	chr9	+	108031998	108032209	108040904	108041086	108024450	108044724
409	ENSMUSG00000057738	chr2	+	30014157	30014172	30015588	30015720	30013838	30015933
417	ENSMUSG00000025019	chr19	+	41545874	41546007	41552448	41552736	41528640	41555607
418	ENSMUSG00000025019	chr19	+	41545874	41546007	41555607	41555701	41528640	41558310
424	ENSMUSG00000023307	chr19	+	37210670	37210873	37217182	37217313	37207904	37220302
425	ENSMUSG00000040565	chr19	+	36983448	36983652	36986454	36986881	36981821	36987980
427	ENSMUSG00000041180	chr19	+	36595208	36595254	36597076	36597186	36587430	36598886
428	ENSMUSG00000070306	chr9	+	44241621	44241687	44243571	44243664	44241076	44245711
429	ENSMUSG00000091512	chr3	+	137925111	137925170	137926808	137926942	137919955	137927346
436	ENSMUSG00000004837	chr11	+	61660221	61660319	61664184	61664307	61653424	61669835
437	ENSMUSG00000038658	chr19	+	29584174	29584213	29584466	29584577	29579968	29585780
438	ENSMUSG00000050587	chr2	+	96568569	96568750	96830680	96830769	96318583	97094613
439	ENSMUSG00000050587	chr2	+	96830680	96830769	97094613	97094750	96568750	97231536
440	ENSMUSG00000050587	chr2	+	96830680	96830769	97094613	97094750	96568750	97426610
441	ENSMUSG00000050587	chr2	+	97094613	97094750	97231536	97231752	96830769	97426610
442	ENSMUSG00000000861	chr11	+	24085320	24085650	24158252	24158354	24078445	24163145
443	ENSMUSG00000000861	chr11	+	24158252	24158354	24163145	24164888	24085650	24172698
444	ENSMUSG00000000861	chr11	+	24158252	24158354	24163145	24163288	24085650	24172698
461	ENSMUSG00000027018	chr2	+	71434033	71434206	71438695	71438812	71421739	71441167
462	ENSMUSG00000027018	chr2	+	71434054	71434206	71438695	71438812	71421739	71441167
463	ENSMUSG00000062054	chr12	+	21319769	21319931	21321333	21321455	21318046	21323288
474	ENSMUSG00000028621	chr4	+	107073872	107073960	107077675	107077780	107071018	107080890
475	ENSMUSG00000022884	chr16	+	23108584	23108633	23108718	23108851	23107820	23109119
476	ENSMUSG00000022884	chr16	+	23108587	23108633	23108718	23108851	23107820	23109119
477	ENSMUSG00000022884	chr16	+	23108718	23108851	23109119	23109259	23108633	23109984
478	ENSMUSG00000022884	chr16	+	23110579	23110723	23111125	23111263	23110343	23111502
479	ENSMUSG00000022884	chr16	+	23110579	23111263	23111502	23111592	23110343	23111816
480	ENSMUSG00000022884	chr16	+	23111125	23111263	23111502	23111592	23110723	23111816
484	ENSMUSG00000039126	chr19	+	17193255	17193429	17199112	17199215	17178990	17199780
485	ENSMUSG00000039126	chr19	+	17211677	17211713	17212291	17212330	17208329	17216325
486	ENSMUSG00000039126	chr19	+	17211677	17211713	17216325	17216373	17208329	17220783
487	ENSMUSG00000039126	chr19	+	17212291	17212330	17216325	17216373	17211713	17220783
493	ENSMUSG00000026096	chr1	+	53314855	53315099	53319942	53320296	53313858	53321079
501	ENSMUSG00000043789	chr19	+	10650560	10650648	10653049	10653135	10648508	10654233
509	ENSMUSG00000022351	chr15	+	59323806	59323978	59324461	59324557	59323727	59326034
517	ENSMUSG00000034300	chr18	+	34763072	34763130	34768167	34768952	34762724	34770597
520	ENSMUSG00000029206	chr5	+	66276976	66277160	66278629	66278840	66276667	66283591
521	ENSMUSG00000029206	chr5	+	66284187	66284289	66289418	66289536	66283735	66294788
527	ENSMUSG00000024843	chr19	+	3875734	3875788	3882009	3882120	3864759	3884471
541	ENSMUSG00000034006	chr18	+	80263419	80263553	80283275	80283492	80257118	80291575
542	ENSMUSG00000034006	chr18	+	80263419	80263553	80272461	80272515	80257118	80283275
543	ENSMUSG00000070498	chr5	+	125749234	125749378	125778636	125778842	125698750	125783329
544	ENSMUSG00000039840	chr18	+	77974978	77975098	77975836	77976093	77972659	77979123
545	ENSMUSG00000039840	chr18	+	77975836	77976093	77979123	77979264	77975098	77980940
546	ENSMUSG00000039840	chr18	+	77997206	77997369	78009569	78009712	77995683	78010833
548	ENSMUSG00000022200	chr15	+	12339627	12339759	12343036	12343151	12321956	12349367
550	ENSMUSG00000057982	chr9	+	22235019	22235146	22236201	22236294	22225832	22237674
551	ENSMUSG00000057982	chr9	+	22235019	22235146	22237674	22237784	22225832	22238541
562	ENSMUSG00000047022	chr12	+	57332288	57332459	57364126	57364234	57332029	57414315
567	ENSMUSG00000042439	chr18	+	65622983	65625334	65638749	65638931	65583006	65644192
568	ENSMUSG00000042439	chr18	+	65622983	65625334	65651559	65651722	65583006	65656350
569	ENSMUSG00000042439	chr18	+	65638749	65638931	65644192	65644369	65625334	65651559
570	ENSMUSG00000042439	chr18	+	65638749	65638931	65651559	65651722	65625334	65656350
571	ENSMUSG00000042439	chr18	+	65638749	65638931	65644192	65644369	65625334	65682894
572	ENSMUSG00000042439	chr18	+	65638749	65638931	65656350	65656632	65625334	65682894
573	ENSMUSG00000042439	chr18	+	65644192	65644369	65656350	65656632	65625334	65682894
574	ENSMUSG00000042439	chr18	+	65644192	65644369	65651559	65651722	65638931	65656350
575	ENSMUSG00000042439	chr18	+	65644192	65644369	65656350	65656632	65638931	65682894
576	ENSMUSG00000040560	chr18	+	63796157	63796281	63825124	63825238	63794343	63865284
577	ENSMUSG00000040560	chr18	+	63825124	63825238	63865284	63865506	63796281	63904029
578	ENSMUSG00000040560	chr18	+	63865284	63865506	63904029	63904216	63825238	63924811
579	ENSMUSG00000040560	chr18	+	63935848	63935948	63979319	63979424	63927348	63987155
580	ENSMUSG00000026764	chr2	+	49671751	49671842	49680164	49680238	49619787	49688652
581	ENSMUSG00000026764	chr2	+	49680164	49680238	49688652	49688757	49671842	49693693
582	ENSMUSG00000026764	chr2	+	49757338	49757555	49758809	49758922	49752353	49771163
596	ENSMUSG00000057246	chr17	+	34417241	34417533	34417971	34418104	34416604	34418854
597	ENSMUSG00000057246	chr17	+	34417462	34417533	34417971	34418104	34416604	34418854
598	ENSMUSG00000057246	chr17	+	34417478	34417533	34417971	34418104	34416604	34418854
599	ENSMUSG00000057246	chr17	+	34421957	34421987	34428094	34428145	34421882	34429930
600	ENSMUSG00000057246	chr17	+	34422079	34422100	34429930	34429981	34421987	34434526
601	ENSMUSG00000057246	chr17	+	34428094	34428145	34434526	34434547	34422100	34435782
602	ENSMUSG00000024603	chr18	+	60534592	60534663	60538263	60538442	60526365	60541571
603	ENSMUSG00000024603	chr18	+	60538263	60538442	60541571	60541615	60534663	60544038
604	ENSMUSG00000028576	chr4	+	94632676	94632736	94635773	94635835	94627312	94652926
605	ENSMUSG00000021906	chr14	+	32092067	32092131	32095364	32095471	32091759	32096486
606	ENSMUSG00000048000	chr1	+	87334269	87334334	87354403	87354486	87327092	87364103
607	ENSMUSG00000048000	chr1	+	87373996	87374111	87378971	87379083	87365279	87379967
608	ENSMUSG00000035342	chr19	+	45021386	45021836	45023541	45024204	45018230	45024718
609	ENSMUSG00000020589	chr12	+	12276342	12276415	12304180	12304322	12262238	12340678
610	ENSMUSG00000020589	chr12	+	12304180	12304322	12340678	12340758	12262238	12358044
611	ENSMUSG00000020589	chr12	+	12304180	12304322	12340678	12340758	12276415	12358044
612	ENSMUSG00000020589	chr12	+	12340678	12340758	12358044	12358166	12304322	12359212
623	ENSMUSG00000022231	chr15	+	32347219	32347316	32417311	32417509	32245299	32460218
624	ENSMUSG00000022231	chr15	+	32417311	32417509	32460218	32460318	32347316	32474377
625	ENSMUSG00000022231	chr15	+	32460218	32460318	32474377	32474423	32417509	32538664
626	ENSMUSG00000022231	chr15	+	32474377	32474423	32538664	32538727	32460318	32548714
627	ENSMUSG00000036452	chr18	+	38617609	38617774	38676717	38676805	38601697	38788625
